Name,Type,green electricity,nongreen electricity,BUURTCODE
Bosweide,Buurt,973.4127971935036,549.4164710991794,108
De Venen,Buurt,1268.354522020821,650.334936668638,111
Morgenweide,Buurt,787.549982856937,422.6812715228808,112
Singels,Buurt,817.4103462530778,457.2634696539821,113
Waterbuurt,Buurt,803.7957701646204,427.7434968510864,114
De Bras,Buurt,764.6236965129208,397.60516770569575,115
Vlietzoom-Oost,Buurt,1168.7509008914276,901.2490991085724,116
De Lanen,Buurt,777.2719963164994,413.70802271299624,118
De Velden,Buurt,774.1443353954239,452.0168020453345,119
De Vissen,Buurt,787.3770379311762,465.16264460850624,120
Rietbuurt,Buurt,736.0561626639237,382.00191356112157,121
