Name,Type,green gas,nongreen gas,BUURTCODE
Vlietzoom-West,Buurt,589.7972698606574,420.20273013934263,106
Bosweide,Buurt,0.0,0.0,108
De Venen,Buurt,8.531532659332877,4.374450246650031,111
Morgenweide,Buurt,0.0,0.0,112
Singels,Buurt,140.26568071798377,78.46532911222178,113
Waterbuurt,Buurt,24.80851142483396,13.20195977935452,114
De Bras,Buurt,10.590355907381175,5.506996782627365,115
Vlietzoom-Oost,Buurt,637.7314698342356,491.76853016576445,116
De Lanen,Buurt,216.61678585869657,115.29567846099894,118
De Velden,Buurt,225.79209782366527,131.83823392988924,119
De Vissen,Buurt,231.0536607034506,136.5007190731514,120
Rietbuurt,Buurt,234.30015988701476,121.59820671915581,121
