Name,BUURTCODE,Household_size,Food,Green_electricity,nongreen_electricity,Gas,Energy,Water,Car,Train,bustram,Public Transport,Mobility,GWP clothes,GWP household cleaning,GWP footwear,GWP_furniture,GWP_paper,GWP personal care,BoP,Waste per capita,Waste per house,Total per capita
De Venen,111,2.3,2390.48576,38.69715401,1072.795935,8.240211967,1119.733301,12.18790937,5756.610177,203.1807788,135.4199774,338.6007562,6095.210933,377.9026914,116.4131444,11.20438508,600.6400223,118.6408245,139.2071807,1364.008248,681.2929619,1566.973812,12548.59996
De Vissen,120,2.7,2846.691257,28.20051491,900.7842684,275.4893587,1204.474142,12.31949346,6550.187062,247.3689348,167.9611333,415.3300681,6965.517129,478.779009,145.0865003,13.28522931,688.2759483,155.5236219,181.5336692,1662.483978,591.3775835,1596.719475,14288.20547
Dreven en Gaarden,98,2.1,2237.088015,18.3996289,499.5799838,263.8844038,781.8640164,10.56199276,4990.387427,194.5583974,132.5314398,327.0898372,5317.477263,356.2697246,129.1341691,10.25688746,249.8965751,82.15714469,151.3850614,979.0995623,810.3562024,1701.748025,11027.83887
Duindorp,100,2.1,2249.865956,25.67312828,741.8229842,206.096673,973.5927854,11.5433496,5275.737163,189.0314716,125.8937848,314.9252564,5590.66242,364.1329868,105.8171781,12.51115037,496.1105938,86.63624107,156.1936847,1221.401835,886.3627564,1861.361789,11908.42813
Duinzigt,76,1.7,1749.600237,17.37681666,857.1241837,487.8555751,1362.356576,12.52941899,3761.401504,168.5600313,115.0700984,283.6301297,4045.031634,347.0492836,100.8151214,12.10350503,426.3956441,96.41434958,124.5974359,1107.37534,677.6093697,1151.935928,9428.829134
Duttendel,74,2.1,2178.922393,25.74823583,1129.154074,567.3692094,1722.27152,12.86521796,4897.017819,199.7636429,135.0255885,334.7892314,5231.807051,427.6176099,130.8795732,15.67545918,497.6413029,107.6847041,148.3936461,1327.892295,650.140768,1365.295613,11839.05409
Erasmus Veld,101,2.5,2643.701853,23.28161605,783.700838,215.3815313,1022.363985,10.96668755,6030.791948,236.2256956,160.6264438,396.8521394,6427.644088,503.7392377,124.0484186,16.25645227,583.7314,137.9390179,150.2007554,1515.915282,664.5332785,1661.333196,13281.92509
Eykenduinen,83,2,2105.153384,19.18042119,673.1716242,361.5647818,1053.916827,12.06845473,5088.23617,181.9159101,120.2350236,302.1509337,5390.387104,399.0585002,125.2494049,13.7112341,436.4365014,110.5691161,119.8471874,1204.871944,682.2889561,1364.577912,11130.97563
Geuzenkwartier,8,2,2075.892112,17.61385099,686.3430746,354.5185968,1058.475522,11.86443417,4956.730088,185.5819823,124.5498788,310.1318611,5266.86195,394.6083858,129.4949304,14.4732647,432.6604436,97.69129454,114.9688116,1183.897131,673.1215646,1346.243129,10943.23428
Groente- en Fruitmarkt,21,2.5,2681.647758,23.51859528,586.5515783,318.7046473,928.7748208,11.22494778,6114.156205,232.8930494,160.7274404,393.6204898,6507.776695,405.087748,137.5719817,11.53757608,273.0959325,97.72508938,186.3037326,1111.32206,801.743448,2004.35862,13245.1049
Haagse Bos,49,1.4,1515.143396,9.755387795,387.8176019,235.378673,632.9516627,10.37916926,3615.653563,133.9647874,88.7056788,222.6704662,3838.324029,285.8610083,83.87756671,9.032853308,344.911412,79.66197926,100.32348,903.6682995,853.0009748,1194.201365,8094.667922
Heesterbuurt,54,1.8,1907.638619,17.34184481,529.1130125,304.4229725,850.8778297,11.14535799,4654.00125,164.893765,109.8636563,274.7574213,4928.758672,349.2919116,112.4919148,10.65657438,406.0921158,55.36909022,105.5495174,1039.451124,644.4817822,1160.067208,9897.938811
Hoge Veld,102,2.8,2913.344162,27.31474742,766.5155677,52.37354704,846.2038623,12.47157443,6519.96011,248.5437933,168.3250054,416.8687987,6936.828909,466.8339295,160.9901037,13.67667279,725.3689789,141.1119716,147.8346912,1655.816348,586.0060271,1640.816876,14005.48173
Houtwijk,86,2.2,2350.229884,21.69513006,695.0403031,265.8204056,982.5558389,11.44818279,5394.655097,204.354815,137.9710694,342.3258844,5736.980982,453.353971,127.4453182,12.73175111,502.7620055,103.9707451,124.2897426,1324.553533,693.9037732,1526.588301,11932.35672
Huygenspark,18,1.5,1596.102302,17.21224802,487.5797297,210.0459785,714.8379561,10.38429766,3610.195177,158.6171208,115.4947051,274.1118259,3884.307003,299.507226,81.71901257,9.654196596,200.6907884,73.38506109,106.7317332,771.6880178,722.5992879,1083.898932,8061.218508
Kampen,67,1.6,1709.425717,15.85831863,521.594745,288.4416651,825.8947286,10.74272295,4117.268104,146.4347939,96.84464184,243.2794357,4360.547539,320.6759006,96.04731667,10.10441959,382.5417226,53.9046884,89.42412323,952.698171,741.6251936,1186.60031,9045.909188
Kijkduin,91,2,2130.864542,25.47259266,1111.495823,424.728,1561.696416,12.96083519,4758.791836,193.5485225,131.5405842,325.0891067,5083.880942,418.4806394,125.9547639,15.07398174,469.6365062,120.7816639,144.0876448,1294.0152,673.8101326,1347.620265,11431.0382
Kom Loosduinen,95,1.7,1815.578736,16.76900186,585.5131514,250.8812092,853.1633624,10.59630891,4147.811458,160.3998879,107.3014423,267.7013302,4415.512789,346.0936342,99.55878606,10.99955686,383.7055229,84.40109252,93.20307406,1017.961667,717.0663845,1219.012854,9331.825717
Koningsplein en omgeving,44,1.8,1908.553919,20.84019991,700.10766,403.2467073,1124.194567,12.05448883,4790.763608,165.1570325,109.5682218,274.7252543,5065.488862,347.4129506,102.9899921,13.82873966,438.9430295,88.21438718,98.0789953,1089.468094,651.5274607,1172.749429,10372.50936
Kortenbos,11,1.6,1712.728958,17.06893779,571.9119742,221.0543109,810.0352229,11.21602863,4254.197318,150.2118267,100.8114584,251.0232851,4505.220603,314.7162366,57.1196303,11.42224381,397.3440997,89.20282301,101.7157872,971.5208206,741.465819,1186.34531,9197.066944
Kraayenstein,97,2.2,2345.799575,24.01711998,814.673875,326.1192825,1164.810277,11.93456719,5529.673246,199.7708613,133.2787214,333.0495827,5862.722829,458.5648472,103.2127818,11.3708599,516.7861338,123.7618359,155.5072158,1369.203674,654.2685053,1439.390712,12193.86163
Laakhaven-Oost,19,1.7,1815.008512,18.47395969,460.7375584,165.3467852,644.5583033,10.49915572,4144.273428,170.398759,120.6451273,291.0438863,4435.317315,339.8472266,98.5288127,11.54734815,228.5023133,63.95250289,130.4972352,872.8754389,925.9059646,1574.04014,9352.298864
Laakhaven-West,22,1.8,1928.812644,19.00776339,492.7660105,230.8956892,742.6694632,10.58870017,4469.741186,172.0073316,119.1153466,291.1226782,4760.863864,338.3698691,84.19625354,10.84480841,212.3127911,65.53248129,134.9873739,846.2435773,822.7453536,1480.941636,9770.119885
Laakkwartier-Oost,25,1.9,2051.149531,18.97626231,498.5768038,323.5989868,841.1520529,10.59447168,4885.775866,177.0005807,120.2231188,297.2236995,5182.999565,365.1390959,89.39059377,11.56421995,271.1797817,66.18956483,141.8627981,945.3260542,884.17119,1679.925261,10711.14694
Laakkwartier-West,24,2.1,2266.056542,20.57953639,545.923871,349.1414858,915.6448932,11.16673748,5395.273498,193.7681677,131.320299,325.0884667,5720.361965,394.7708447,99.23988335,12.85249628,285.9179383,73.35835937,156.0117334,1022.151255,868.4599573,1823.76591,11759.1473
Lage Veld,104,2.6,2755.331077,26.12765441,812.8439836,262.0401475,1101.011786,12.45739437,6410.407689,237.8574039,160.4693515,398.3267554,6808.734444,511.6572869,115.6785922,15.15816816,623.5113352,145.5613264,153.0219981,1564.588707,645.0128469,1677.033402,13919.15681
Landen,61,1.7,1808.369402,16.2006077,522.9159506,250.9048962,790.0214544,10.5678433,4242.056599,157.0735589,105.0456374,262.1191963,4504.175796,338.7312534,100.7795227,10.031211,390.1330391,55.48317387,98.87144164,994.0296418,674.0906696,1145.954138,9253.118276
Leyenburg,84,1.9,2038.134056,20.15410875,603.1904012,235.7738162,859.1183262,11.30162501,4799.201363,177.4527491,119.2340234,296.6867725,5095.888135,381.0378169,108.0092397,12.7749459,444.8692285,75.41628154,125.7973809,1147.904893,728.039265,1383.274603,10535.62164
Marlot,68,2.6,2716.456829,33.68246552,1151.828766,739.3332869,1924.844519,14.76617781,5977.693327,240.7831306,165.4309032,406.2140338,6383.907361,462.1444391,122.3171479,12.59544865,645.241141,137.6930608,203.918655,1583.909893,624.1427354,1622.771112,14246.65589
Moerwijk-Noord,38,2,2149.881044,18.88141301,499.6634066,308.0146122,826.5594318,10.6838819,4996.094156,183.0357435,123.9386725,306.974416,5303.068572,335.5935484,109.8078975,9.790222114,249.6434506,74.7078415,148.0996958,927.642656,920.0905347,1840.181069,11058.01666
Moerwijk-Oost,20,1.8,1943.071517,16.12309068,445.4251909,217.7319253,679.2802069,9.931879017,4520.719508,163.8143278,110.6873283,274.5016561,4795.221164,299.9769568,100.628023,8.79507533,212.5437527,67.87418738,133.1272812,822.9452765,845.445511,1521.80192,9772.251964
Moerwijk-West,37,1.9,2034.596798,15.10594685,414.3790938,250.369175,679.8542156,10.11070399,4658.956598,171.6172267,115.4049077,287.0221344,4945.978732,316.5493873,107.0028017,9.058931053,226.4257877,71.25447963,138.3648632,868.6562506,750.9656175,1426.834673,9966.031373
Moerwijk-Zuid,39,1.9,2037.365641,15.86890079,413.7683949,237.9155712,667.5528668,10.61657299,4685.611937,173.1079831,117.4604752,290.5684583,4976.180397,304.308047,103.5561643,9.383780061,221.189871,67.18260021,140.2932945,845.9137571,800.0012909,1520.002453,10057.63169
Morgenstond-Oost,89,1.7,1833.257433,15.11624752,428.6536716,245.2116691,688.9815882,10.52395303,4346.900862,154.7724143,103.3563416,258.1287559,4605.029618,328.8209447,91.95496318,10.25509121,240.2756543,60.93106785,125.5086499,857.7463711,960.9679402,1633.645498,9629.184462
