"TIME","GEO","CROPS","STRUCPRO","Value","Flag and Footnotes"
"2012","Latvia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","238.80",""
"2012","Lithuania","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","542.40",""
"2012","Luxembourg","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","20.61",""
"2012","Hungary","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","547.71",""
"2012","Malta","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","12.69",""
"2012","Netherlands","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","6 766.00",""
"2012","Austria","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","665.42",""
"2012","Poland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","9 041.30",""
"2012","Portugal","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","445.65",""
"2012","Romania","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","2 465.15",""
"2012","Slovenia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","79.25",""
"2012","Slovakia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","165.67",""
"2012","Finland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","489.60",""
"2012","Sweden","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","805.30",""
"2012","United Kingdom","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","4 553.00",""
"2012","Iceland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","9.70",""
"2012","Norway","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","305.00",""
"2012","Switzerland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","452.20",""
"2012","Montenegro","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","15.66",""
"2012","North Macedonia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","169.98",""
"2012","Albania","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","233.00",""
"2012","Serbia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","577.97",""
"2012","Turkey","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","4 822.00",""
"2012","Bosnia and Herzegovina","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","299.94","e"
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","33.40",""
"2013","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","53 719.80",""
"2013","European Union - 27 countries (from 2020)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","48 197.31",""
"2013","European Union - 28 countries (2013-2020)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","53 882.31",""
"2013","Belgium","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","3 428.00",""
"2013","Bulgaria","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","186.53",""
"2013","Czechia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","536.45",""
"2013","Denmark","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","1 646.30",""
"2013","Germany (until 1990 former territory of the FRG)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","9 669.70",""
"2013","Estonia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","92.60",""
"2013","Ireland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","410.15",""
"2013","Greece","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","667.72",""
"2013","Spain","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","2 167.61",""
"2013","France","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","6 953.28",""
"2013","Croatia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","162.50",""
"2013","Italy","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","1 272.21",""
"2013","Cyprus","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","105.48",""
"2013","Latvia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","236.80",""
"2013","Lithuania","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","420.70",""
"2013","Luxembourg","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","17.54",""
"2013","Hungary","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","487.36",""
"2013","Malta","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","12.64",""
"2013","Netherlands","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","6 577.00",""
"2013","Austria","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","604.05",""
"2013","Poland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","7 110.90",""
"2013","Portugal","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","487.65",""
"2013","Romania","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","3 289.72",""
"2013","Slovenia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","62.16",""
"2013","Slovakia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","164.46",""
"2013","Finland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","621.70",""
"2013","Sweden","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","806.10",""
"2013","United Kingdom","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","5 685.00",""
"2013","Iceland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","6.00",""
"2013","Norway","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","318.00",""
"2013","Switzerland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","341.20",""
"2013","Montenegro","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","20.04",""
"2013","North Macedonia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","190.88",""
"2013","Albania","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)",":",""
"2013","Serbia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","766.83",""
"2013","Turkey","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","3 955.00",""
"2013","Bosnia and Herzegovina","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","371.14","e"
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","50.80",""
"2014","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","59 064.98",""
"2014","European Union - 27 countries (from 2020)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","53 143.98",""
"2014","European Union - 28 countries (2013-2020)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","59 064.98",""
"2014","Belgium","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","4 121.45",""
"2014","Bulgaria","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","132.65",""
"2014","Czechia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","697.54",""
"2014","Denmark","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","964.50",""
"2014","Germany (until 1990 former territory of the FRG)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","11 607.30",""
"2014","Estonia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","82.30",""
"2014","Ireland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","383.01",""
"2014","Greece","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","612.64",""
"2014","Spain","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","2 543.93",""
"2014","France","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","8 054.52",""
"2014","Croatia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","160.85",""
"2014","Italy","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","1 365.44",""
"2014","Cyprus","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","117.50",""
