,Sex,Age,Education,Food,MeanConsumption_total,5PercentileConsumption,50PercentileConsuption,95PercentileConsumption,ConsumptionDays,MeanConsumptiononConsumptionDays,5percentileConsumptiondays,50percentileConsumptiondays,95percentileConsumptiondays
0,Total male and female,1 to 79 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
1,Male,1 to 79 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
2,Female,1 to 79 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
3,Total male and female,1 to 18 years,Education: lower,01. Potatoes and other tubers,67.7,0.0,60.0,182.0,55.5,123.8,25.2,105.0,256.0
4,Male,1 to 18 years,Education: lower,01. Potatoes and other tubers,80.1,0.0,73.2,242.0,58.1,142.0,18.0,140.0,349.0
5,Female,1 to 18 years,Education: lower,01. Potatoes and other tubers,54.5,0.0,49.1,130.0,52.9,102.7,25.2,93.3,194.7
6,Total male and female,19 to 79 years,Education: lower,01. Potatoes and other tubers,84.4,0.0,70.0,228.5,52.3,162.0,51.4,140.0,342.0
7,Male,19 to 79 years,Education: lower,01. Potatoes and other tubers,101.7,0.0,80.0,267.3,54.7,187.0,56.0,150.0,378.0
8,Female,19 to 79 years,Education: lower,01. Potatoes and other tubers,70.1,0.0,70.0,189.0,50.3,139.5,48.1,140.0,265.0
9,Total male and female,1 to 3 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
10,Male,1 to 3 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
11,Female,1 to 3 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
12,Total male and female,4 to 8 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
13,Male,4 to 8 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
14,Female,4 to 8 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
15,Total male and female,9 to 13 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
16,Male,9 to 13 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
17,Female,9 to 13 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
18,Total male and female,14 to 18 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
19,Male,14 to 18 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
20,Female,14 to 18 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
21,Total male and female,19 to 30 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
22,Male,19 to 30 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
23,Female,19 to 30 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
24,Total male and female,31 to 50 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
25,Male,31 to 50 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
26,Female,31 to 50 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
27,Total male and female,51 to 70 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
28,Male,51 to 70 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
29,Female,51 to 70 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
30,Total male and female,71 to 79 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
31,Male,71 to 79 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
32,Female,71 to 79 years,Education: lower,01. Potatoes and other tubers,,,,,,,,,
33,Total male and female,1 to 79 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
34,Male,1 to 79 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
35,Female,1 to 79 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
36,Total male and female,1 to 18 years,Education: intermediate,01. Potatoes and other tubers,64.6,0.0,50.0,197.8,53.1,121.5,30.0,101.6,270.6
37,Male,1 to 18 years,Education: intermediate,01. Potatoes and other tubers,66.7,0.0,56.0,204.0,51.5,129.3,30.0,110.3,300.0
38,Female,1 to 18 years,Education: intermediate,01. Potatoes and other tubers,62.4,0.0,48.5,181.0,54.7,113.7,30.0,97.0,256.0
39,Total male and female,19 to 79 years,Education: intermediate,01. Potatoes and other tubers,78.5,0.0,70.0,224.0,51.3,154.7,41.3,140.0,308.0
40,Male,19 to 79 years,Education: intermediate,01. Potatoes and other tubers,94.0,0.0,81.8,238.8,53.4,178.5,60.7,165.1,318.0
41,Female,19 to 79 years,Education: intermediate,01. Potatoes and other tubers,61.8,0.0,55.0,164.0,49.2,126.8,40.4,120.0,240.0
42,Total male and female,1 to 3 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
43,Male,1 to 3 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
44,Female,1 to 3 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
45,Total male and female,4 to 8 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
46,Male,4 to 8 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
47,Female,4 to 8 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
48,Total male and female,9 to 13 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
49,Male,9 to 13 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
50,Female,9 to 13 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
51,Total male and female,14 to 18 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
52,Male,14 to 18 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
53,Female,14 to 18 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
54,Total male and female,19 to 30 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
55,Male,19 to 30 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
56,Female,19 to 30 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
57,Total male and female,31 to 50 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
58,Male,31 to 50 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
59,Female,31 to 50 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
60,Total male and female,51 to 70 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
61,Male,51 to 70 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
62,Female,51 to 70 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
63,Total male and female,71 to 79 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
64,Male,71 to 79 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
65,Female,71 to 79 years,Education: intermediate,01. Potatoes and other tubers,,,,,,,,,
66,Total male and female,1 to 79 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
67,Male,1 to 79 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
68,Female,1 to 79 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
69,Total male and female,1 to 18 years,Education: higher,01. Potatoes and other tubers,50.5,0.0,36.5,149.5,46.4,109.5,23.0,97.0,237.0
70,Male,1 to 18 years,Education: higher,01. Potatoes and other tubers,54.5,0.0,40.0,154.8,47.2,116.5,24.7,98.0,258.0
71,Female,1 to 18 years,Education: higher,01. Potatoes and other tubers,46.3,0.0,36.5,139.1,45.5,101.9,22.4,83.1,226.0
72,Total male and female,19 to 79 years,Education: higher,01. Potatoes and other tubers,63.4,0.0,52.8,205.0,42.9,147.7,33.6,140.0,308.0
73,Male,19 to 79 years,Education: higher,01. Potatoes and other tubers,71.9,0.0,60.0,224.0,45.5,158.6,44.5,140.0,315.1
74,Female,19 to 79 years,Education: higher,01. Potatoes and other tubers,54.4,0.0,37.5,166.9,40.1,134.6,24.0,130.0,262.5
75,Total male and female,1 to 3 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
76,Male,1 to 3 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
77,Female,1 to 3 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
78,Total male and female,4 to 8 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
79,Male,4 to 8 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
80,Female,4 to 8 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
81,Total male and female,9 to 13 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
82,Male,9 to 13 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
83,Female,9 to 13 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
84,Total male and female,14 to 18 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
85,Male,14 to 18 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
86,Female,14 to 18 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
87,Total male and female,19 to 30 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
88,Male,19 to 30 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
89,Female,19 to 30 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
90,Total male and female,31 to 50 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
91,Male,31 to 50 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
92,Female,31 to 50 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
93,Total male and female,51 to 70 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
94,Male,51 to 70 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
95,Female,51 to 70 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
96,Total male and female,71 to 79 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
97,Male,71 to 79 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
98,Female,71 to 79 years,Education: higher,01. Potatoes and other tubers,,,,,,,,,
99,Total male and female,1 to 79 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
100,Male,1 to 79 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
101,Female,1 to 79 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
102,Total male and female,1 to 18 years,Education: lower,0100. Unclassified and other tubers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Male,1 to 18 years,Education: lower,0100. Unclassified and other tubers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Female,1 to 18 years,Education: lower,0100. Unclassified and other tubers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Total male and female,19 to 79 years,Education: lower,0100. Unclassified and other tubers,0.3,0.0,0.0,0.0,0.3,119.6,75.6,75.6,166.3
106,Male,19 to 79 years,Education: lower,0100. Unclassified and other tubers,0.7,0.0,0.0,0.0,0.7,119.6,75.6,75.6,166.3
107,Female,19 to 79 years,Education: lower,0100. Unclassified and other tubers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Total male and female,1 to 3 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
109,Male,1 to 3 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
110,Female,1 to 3 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
111,Total male and female,4 to 8 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
112,Male,4 to 8 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
113,Female,4 to 8 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
114,Total male and female,9 to 13 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
115,Male,9 to 13 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
116,Female,9 to 13 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
117,Total male and female,14 to 18 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
118,Male,14 to 18 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
119,Female,14 to 18 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
120,Total male and female,19 to 30 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
121,Male,19 to 30 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
122,Female,19 to 30 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
123,Total male and female,31 to 50 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
124,Male,31 to 50 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
125,Female,31 to 50 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
126,Total male and female,51 to 70 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
127,Male,51 to 70 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
128,Female,51 to 70 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
129,Total male and female,71 to 79 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
130,Male,71 to 79 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
131,Female,71 to 79 years,Education: lower,0100. Unclassified and other tubers,,,,,,,,,
132,Total male and female,1 to 79 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
133,Male,1 to 79 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
134,Female,1 to 79 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
135,Total male and female,1 to 18 years,Education: intermediate,0100. Unclassified and other tubers,0.1,0.0,0.0,0.0,0.2,28.4,13.8,28.6,38.5
136,Male,1 to 18 years,Education: intermediate,0100. Unclassified and other tubers,0.1,0.0,0.0,0.0,0.3,28.4,13.8,37.8,38.5
137,Female,1 to 18 years,Education: intermediate,0100. Unclassified and other tubers,0.0,0.0,0.0,0.0,0.2,28.6,28.6,28.6,28.6
138,Total male and female,19 to 79 years,Education: intermediate,0100. Unclassified and other tubers,0.1,0.0,0.0,0.0,0.2,47.0,8.6,48.0,75.6
139,Male,19 to 79 years,Education: intermediate,0100. Unclassified and other tubers,0.2,0.0,0.0,0.0,0.3,63.6,48.0,75.6,75.6
140,Female,19 to 79 years,Education: intermediate,0100. Unclassified and other tubers,0.0,0.0,0.0,0.0,0.2,8.6,8.6,8.6,8.6
141,Total male and female,1 to 3 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
142,Male,1 to 3 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
143,Female,1 to 3 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
144,Total male and female,4 to 8 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
145,Male,4 to 8 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
146,Female,4 to 8 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
147,Total male and female,9 to 13 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
148,Male,9 to 13 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
149,Female,9 to 13 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
150,Total male and female,14 to 18 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
151,Male,14 to 18 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
152,Female,14 to 18 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
153,Total male and female,19 to 30 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
154,Male,19 to 30 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
155,Female,19 to 30 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
156,Total male and female,31 to 50 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
157,Male,31 to 50 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
158,Female,31 to 50 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
159,Total male and female,51 to 70 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
160,Male,51 to 70 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
161,Female,51 to 70 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
162,Total male and female,71 to 79 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
163,Male,71 to 79 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
164,Female,71 to 79 years,Education: intermediate,0100. Unclassified and other tubers,,,,,,,,,
165,Total male and female,1 to 79 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
166,Male,1 to 79 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
167,Female,1 to 79 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
168,Total male and female,1 to 18 years,Education: higher,0100. Unclassified and other tubers,0.6,0.0,0.0,0.0,0.7,71.4,13.6,50.4,233.3
169,Male,1 to 18 years,Education: higher,0100. Unclassified and other tubers,0.9,0.0,0.0,0.0,0.9,89.8,20.0,77.5,233.3
170,Female,1 to 18 years,Education: higher,0100. Unclassified and other tubers,0.2,0.0,0.0,0.0,0.5,36.5,13.6,27.2,73.0
171,Total male and female,19 to 79 years,Education: higher,0100. Unclassified and other tubers,1.4,0.0,0.0,0.0,0.8,196.1,9.4,188.0,480.0
172,Male,19 to 79 years,Education: higher,0100. Unclassified and other tubers,0.7,0.0,0.0,0.0,0.5,154.5,102.5,148.0,199.9
173,Female,19 to 79 years,Education: higher,0100. Unclassified and other tubers,2.2,0.0,0.0,0.0,1.0,220.4,9.4,205.8,480.0
174,Total male and female,1 to 3 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
175,Male,1 to 3 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
176,Female,1 to 3 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
177,Total male and female,4 to 8 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
178,Male,4 to 8 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
179,Female,4 to 8 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
180,Total male and female,9 to 13 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
181,Male,9 to 13 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
182,Female,9 to 13 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
183,Total male and female,14 to 18 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
184,Male,14 to 18 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
185,Female,14 to 18 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
186,Total male and female,19 to 30 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
187,Male,19 to 30 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
188,Female,19 to 30 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
189,Total male and female,31 to 50 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
190,Male,31 to 50 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
191,Female,31 to 50 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
192,Total male and female,51 to 70 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
193,Male,51 to 70 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
194,Female,51 to 70 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
195,Total male and female,71 to 79 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
196,Male,71 to 79 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
197,Female,71 to 79 years,Education: higher,0100. Unclassified and other tubers,,,,,,,,,
198,Total male and female,1 to 79 years,Education: lower,0101. Potatoes,,,,,,,,,
199,Male,1 to 79 years,Education: lower,0101. Potatoes,,,,,,,,,
200,Female,1 to 79 years,Education: lower,0101. Potatoes,,,,,,,,,
201,Total male and female,1 to 18 years,Education: lower,0101. Potatoes,67.7,0.0,60.0,182.0,55.5,123.8,25.2,105.0,256.0
202,Male,1 to 18 years,Education: lower,0101. Potatoes,80.1,0.0,73.2,242.0,58.1,142.0,18.0,140.0,349.0
203,Female,1 to 18 years,Education: lower,0101. Potatoes,54.5,0.0,49.1,130.0,52.9,102.7,25.2,93.3,194.7
204,Total male and female,19 to 79 years,Education: lower,0101. Potatoes,84.1,0.0,70.0,228.5,52.0,162.2,49.6,140.0,342.0
205,Male,19 to 79 years,Education: lower,0101. Potatoes,101.0,0.0,80.0,267.3,54.1,187.9,56.0,150.0,378.0
206,Female,19 to 79 years,Education: lower,0101. Potatoes,70.1,0.0,70.0,189.0,50.3,139.5,48.1,140.0,265.0
207,Total male and female,1 to 3 years,Education: lower,0101. Potatoes,,,,,,,,,
208,Male,1 to 3 years,Education: lower,0101. Potatoes,,,,,,,,,
209,Female,1 to 3 years,Education: lower,0101. Potatoes,,,,,,,,,
210,Total male and female,4 to 8 years,Education: lower,0101. Potatoes,,,,,,,,,
211,Male,4 to 8 years,Education: lower,0101. Potatoes,,,,,,,,,
212,Female,4 to 8 years,Education: lower,0101. Potatoes,,,,,,,,,
213,Total male and female,9 to 13 years,Education: lower,0101. Potatoes,,,,,,,,,
214,Male,9 to 13 years,Education: lower,0101. Potatoes,,,,,,,,,
215,Female,9 to 13 years,Education: lower,0101. Potatoes,,,,,,,,,
216,Total male and female,14 to 18 years,Education: lower,0101. Potatoes,,,,,,,,,
217,Male,14 to 18 years,Education: lower,0101. Potatoes,,,,,,,,,
218,Female,14 to 18 years,Education: lower,0101. Potatoes,,,,,,,,,
219,Total male and female,19 to 30 years,Education: lower,0101. Potatoes,,,,,,,,,
220,Male,19 to 30 years,Education: lower,0101. Potatoes,,,,,,,,,
221,Female,19 to 30 years,Education: lower,0101. Potatoes,,,,,,,,,
222,Total male and female,31 to 50 years,Education: lower,0101. Potatoes,,,,,,,,,
223,Male,31 to 50 years,Education: lower,0101. Potatoes,,,,,,,,,
224,Female,31 to 50 years,Education: lower,0101. Potatoes,,,,,,,,,
225,Total male and female,51 to 70 years,Education: lower,0101. Potatoes,,,,,,,,,
226,Male,51 to 70 years,Education: lower,0101. Potatoes,,,,,,,,,
227,Female,51 to 70 years,Education: lower,0101. Potatoes,,,,,,,,,
228,Total male and female,71 to 79 years,Education: lower,0101. Potatoes,,,,,,,,,
229,Male,71 to 79 years,Education: lower,0101. Potatoes,,,,,,,,,
230,Female,71 to 79 years,Education: lower,0101. Potatoes,,,,,,,,,
231,Total male and female,1 to 79 years,Education: intermediate,0101. Potatoes,,,,,,,,,
232,Male,1 to 79 years,Education: intermediate,0101. Potatoes,,,,,,,,,
233,Female,1 to 79 years,Education: intermediate,0101. Potatoes,,,,,,,,,
234,Total male and female,1 to 18 years,Education: intermediate,0101. Potatoes,64.5,0.0,50.0,197.8,53.0,121.5,30.0,103.1,270.6
235,Male,1 to 18 years,Education: intermediate,0101. Potatoes,66.6,0.0,56.0,204.0,51.4,129.4,30.0,112.0,300.0
236,Female,1 to 18 years,Education: intermediate,0101. Potatoes,62.4,0.0,48.5,181.0,54.7,113.7,30.0,97.0,256.0
237,Total male and female,19 to 79 years,Education: intermediate,0101. Potatoes,78.3,0.0,70.0,224.0,51.2,154.7,41.3,140.0,308.0
238,Male,19 to 79 years,Education: intermediate,0101. Potatoes,93.8,0.0,81.8,238.8,53.2,178.8,50.5,165.4,318.0
239,Female,19 to 79 years,Education: intermediate,0101. Potatoes,61.7,0.0,55.0,164.0,49.2,126.8,40.4,120.0,240.0
240,Total male and female,1 to 3 years,Education: intermediate,0101. Potatoes,,,,,,,,,
241,Male,1 to 3 years,Education: intermediate,0101. Potatoes,,,,,,,,,
242,Female,1 to 3 years,Education: intermediate,0101. Potatoes,,,,,,,,,
243,Total male and female,4 to 8 years,Education: intermediate,0101. Potatoes,,,,,,,,,
244,Male,4 to 8 years,Education: intermediate,0101. Potatoes,,,,,,,,,
245,Female,4 to 8 years,Education: intermediate,0101. Potatoes,,,,,,,,,
246,Total male and female,9 to 13 years,Education: intermediate,0101. Potatoes,,,,,,,,,
247,Male,9 to 13 years,Education: intermediate,0101. Potatoes,,,,,,,,,
248,Female,9 to 13 years,Education: intermediate,0101. Potatoes,,,,,,,,,
249,Total male and female,14 to 18 years,Education: intermediate,0101. Potatoes,,,,,,,,,
250,Male,14 to 18 years,Education: intermediate,0101. Potatoes,,,,,,,,,
251,Female,14 to 18 years,Education: intermediate,0101. Potatoes,,,,,,,,,
252,Total male and female,19 to 30 years,Education: intermediate,0101. Potatoes,,,,,,,,,
253,Male,19 to 30 years,Education: intermediate,0101. Potatoes,,,,,,,,,
254,Female,19 to 30 years,Education: intermediate,0101. Potatoes,,,,,,,,,
255,Total male and female,31 to 50 years,Education: intermediate,0101. Potatoes,,,,,,,,,
256,Male,31 to 50 years,Education: intermediate,0101. Potatoes,,,,,,,,,
257,Female,31 to 50 years,Education: intermediate,0101. Potatoes,,,,,,,,,
258,Total male and female,51 to 70 years,Education: intermediate,0101. Potatoes,,,,,,,,,
259,Male,51 to 70 years,Education: intermediate,0101. Potatoes,,,,,,,,,
260,Female,51 to 70 years,Education: intermediate,0101. Potatoes,,,,,,,,,
261,Total male and female,71 to 79 years,Education: intermediate,0101. Potatoes,,,,,,,,,
262,Male,71 to 79 years,Education: intermediate,0101. Potatoes,,,,,,,,,
263,Female,71 to 79 years,Education: intermediate,0101. Potatoes,,,,,,,,,
264,Total male and female,1 to 79 years,Education: higher,0101. Potatoes,,,,,,,,,
265,Male,1 to 79 years,Education: higher,0101. Potatoes,,,,,,,,,
266,Female,1 to 79 years,Education: higher,0101. Potatoes,,,,,,,,,
267,Total male and female,1 to 18 years,Education: higher,0101. Potatoes,50.0,0.0,36.5,149.5,45.7,109.8,24.0,97.0,239.5
268,Male,1 to 18 years,Education: higher,0101. Potatoes,53.6,0.0,37.5,154.0,46.3,116.8,24.7,98.0,258.0
269,Female,1 to 18 years,Education: higher,0101. Potatoes,46.1,0.0,36.5,139.1,45.1,102.3,23.0,83.1,226.0
270,Total male and female,19 to 79 years,Education: higher,0101. Potatoes,62.0,0.0,50.0,199.0,42.2,146.7,35.0,140.0,308.0
271,Male,19 to 79 years,Education: higher,0101. Potatoes,71.1,0.0,60.0,224.0,45.0,158.6,44.5,140.0,317.8
272,Female,19 to 79 years,Education: higher,0101. Potatoes,52.2,0.0,36.5,161.6,39.2,132.0,31.0,130.0,258.0
273,Total male and female,1 to 3 years,Education: higher,0101. Potatoes,,,,,,,,,
274,Male,1 to 3 years,Education: higher,0101. Potatoes,,,,,,,,,
275,Female,1 to 3 years,Education: higher,0101. Potatoes,,,,,,,,,
276,Total male and female,4 to 8 years,Education: higher,0101. Potatoes,,,,,,,,,
277,Male,4 to 8 years,Education: higher,0101. Potatoes,,,,,,,,,
278,Female,4 to 8 years,Education: higher,0101. Potatoes,,,,,,,,,
279,Total male and female,9 to 13 years,Education: higher,0101. Potatoes,,,,,,,,,
280,Male,9 to 13 years,Education: higher,0101. Potatoes,,,,,,,,,
281,Female,9 to 13 years,Education: higher,0101. Potatoes,,,,,,,,,
282,Total male and female,14 to 18 years,Education: higher,0101. Potatoes,,,,,,,,,
283,Male,14 to 18 years,Education: higher,0101. Potatoes,,,,,,,,,
284,Female,14 to 18 years,Education: higher,0101. Potatoes,,,,,,,,,
285,Total male and female,19 to 30 years,Education: higher,0101. Potatoes,,,,,,,,,
286,Male,19 to 30 years,Education: higher,0101. Potatoes,,,,,,,,,
287,Female,19 to 30 years,Education: higher,0101. Potatoes,,,,,,,,,
288,Total male and female,31 to 50 years,Education: higher,0101. Potatoes,,,,,,,,,
289,Male,31 to 50 years,Education: higher,0101. Potatoes,,,,,,,,,
290,Female,31 to 50 years,Education: higher,0101. Potatoes,,,,,,,,,
291,Total male and female,51 to 70 years,Education: higher,0101. Potatoes,,,,,,,,,
292,Male,51 to 70 years,Education: higher,0101. Potatoes,,,,,,,,,
293,Female,51 to 70 years,Education: higher,0101. Potatoes,,,,,,,,,
294,Total male and female,71 to 79 years,Education: higher,0101. Potatoes,,,,,,,,,
295,Male,71 to 79 years,Education: higher,0101. Potatoes,,,,,,,,,
296,Female,71 to 79 years,Education: higher,0101. Potatoes,,,,,,,,,
297,Total male and female,1 to 79 years,Education: lower,02. Vegetables,,,,,,,,,
