Name,BUURTCODE,Population,Male,Female,0 to 15 year,15 to 25 year,25 to 45 year,45 to 65 year,65 or older,Primary,Secondary,Tertiary,Activity rate,Income
Valkenboskwartier,55,11435,0.499344119,0.500655881,0.146480105,0.12111937,0.390905116,0.243987757,0.097070398,0.26,0.37,0.37,0.644,28200
Rond de Energiecentrale,10,5955,0.504617968,0.495382032,0.135180521,0.125104954,0.396305626,0.235936188,0.108312343,0.22,0.28,0.5,0.601,27000
Koningsplein en omgeving,44,7575,0.495709571,0.504290429,0.145214521,0.105610561,0.421782178,0.232343234,0.095049505,0.22,0.28,0.5,0.66,33800
Zeeheldenkwartier,45,11845,0.504854369,0.494723512,0.124525116,0.128746306,0.391304348,0.249050232,0.106796117,0.19,0.3,0.51,0.604,35700
Willemspark,47,1490,0.510067114,0.486577181,0.104026846,0.090604027,0.342281879,0.27852349,0.187919463,0.12,0.28,0.61,0.645,57000
Haagse Bos,49,425,0.494117647,0.505882353,0.058823529,0.035294118,0.305882353,0.2,0.4,0.33,0.36,0.31,0.609,43900
Landen,61,5155,0.482056256,0.517943744,0.160038797,0.087293889,0.323957323,0.227934045,0.200775946,0.3,0.39,0.31,0.489,27200
Kampen,67,2455,0.49287169,0.50509165,0.146639511,0.071283096,0.350305499,0.234215886,0.199592668,0.3,0.39,0.31,0.514,27200
Marlot,68,805,0.50310559,0.49068323,0.211180124,0.124223602,0.161490683,0.291925466,0.217391304,0.3,0.39,0.31,0.52,89900
Burgen en Horsten,69,6285,0.465393795,0.53381066,0.139220366,0.071599045,0.296738266,0.23786794,0.255369928,0.3,0.39,0.31,0.556,30600
Bezuidenhout-West,64,3580,0.466480447,0.533519553,0.145251397,0.244413408,0.304469274,0.219273743,0.086592179,0.17,0.29,0.53,0.457,27300
Bezuidenhout-Midden,65,4285,0.491248541,0.507584597,0.175029172,0.095682614,0.36756126,0.235705951,0.128354726,0.17,0.29,0.53,0.692,48500
Bezuidenhout-Oost,66,9010,0.481132075,0.518312986,0.123751387,0.083795782,0.432297447,0.227524972,0.13318535,0.17,0.29,0.53,0.703,39000
Huygenspark,18,7895,0.500316656,0.499683344,0.115896137,0.309689677,0.343255225,0.162127929,0.069664345,0.29,0.38,0.33,0.431,21200
Rivierenbuurt-Zuid,62,850,0.547058824,0.452941176,0.064705882,0.247058824,0.458823529,0.164705882,0.058823529,0.29,0.38,0.33,0.502,21700
Rivierenbuurt-Noord,63,3690,0.533875339,0.466124661,0.146341463,0.139566396,0.39295393,0.219512195,0.10298103,0.29,0.38,0.33,0.564,30400
Kortenbos,11,7275,0.503092784,0.496219931,0.114776632,0.127835052,0.370446735,0.2604811,0.125773196,0.24,0.33,0.43,0.565,32000
Voorhout,12,2355,0.541401274,0.458598726,0.070063694,0.129511677,0.435244161,0.214437367,0.152866242,0.24,0.33,0.43,0.639,52700
Uilebomen,13,3180,0.520440252,0.479559748,0.125786164,0.083333333,0.426100629,0.246855346,0.117924528,0.24,0.33,0.43,0.576,35000
Zuidwal,14,6885,0.515613653,0.484386347,0.094408134,0.135076253,0.422657952,0.241103849,0.106027596,0.24,0.33,0.43,0.566,27900
Schildersbuurt-West,15,14115,0.50407368,0.49592632,0.201558626,0.165072618,0.295784626,0.248671626,0.089266738,0.59,0.3,0.1,0.399,17900
Schildersbuurt-Noord,16,9985,0.494241362,0.505758638,0.205307962,0.154732098,0.269404106,0.262894342,0.108162243,0.59,0.3,0.1,0.361,18000
Schildersbuurt-Oost,17,7230,0.493775934,0.506224066,0.20746888,0.172890733,0.261410788,0.260719225,0.097510373,0.59,0.3,0.1,0.37,17200
Transvaalkwartier-Noord,32,3945,0.491761724,0.508238276,0.187579214,0.154626109,0.314321926,0.245880862,0.098859316,0.61,0.3,0.1,0.405,18100
Transvaalkwartier-Midden,33,5005,0.5004995,0.498501499,0.231768232,0.124875125,0.317682318,0.210789211,0.115884116,0.61,0.3,0.1,0.491,20000
Transvaalkwartier-Zuid,34,7235,0.515549413,0.484450587,0.214236351,0.158258466,0.310988252,0.246717346,0.07049067,0.61,0.3,0.1,0.498,19800
Rustenburg,30,6100,0.519672131,0.480327869,0.174590164,0.11147541,0.372131148,0.23442623,0.108196721,0.45,0.38,0.17,0.617,24700
Oostbroek-Noord,31,4500,0.518888889,0.481111111,0.178888889,0.125555556,0.402222222,0.223333333,0.071111111,0.45,0.38,0.17,0.626,24500
Oostbroek-Zuid,35,8055,0.512725016,0.487274984,0.194289261,0.143389199,0.382371198,0.217877095,0.062693979,0.45,0.38,0.17,0.605,22800
Leyenburg,84,14910,0.484238766,0.515761234,0.143192488,0.109657948,0.301140174,0.263916834,0.182427901,0.33,0.46,0.21,0.626,28000
"Venen, Oorden en Raden",87,8585,0.495049505,0.504368084,0.212580082,0.122888759,0.299941759,0.234129295,0.130460105,0.52,0.35,0.13,0.474,21600
"Zijden, Steden en Zichten",96,7850,0.498089172,0.501273885,0.207643312,0.105732484,0.315286624,0.243949045,0.127388535,0.52,0.35,0.13,0.493,22800
Dreven en Gaarden,98,10815,0.485436893,0.514563107,0.207119741,0.116967175,0.299583911,0.21174295,0.165048544,0.52,0.35,0.13,0.498,22900
De Uithof,99,1380,0.460144928,0.539855072,0.130434783,0.065217391,0.155797101,0.22826087,0.420289855,0.52,0.35,0.13,0.371,26700
Morgenstond-Zuid,80,5930,0.505059022,0.494940978,0.189713322,0.103709949,0.351602024,0.245362563,0.109612142,0.45,0.39,0.16,0.499,21700
Morgenstond-West,88,7405,0.490884537,0.509115463,0.19513842,0.108710331,0.307900068,0.241728562,0.14652262,0.45,0.39,0.16,0.554,26000
Morgenstond-Oost,89,5560,0.514388489,0.485611511,0.176258993,0.097122302,0.346223022,0.242805755,0.138489209,0.45,0.39,0.16,0.485,23000
Moerwijk-Oost,20,3265,0.534456355,0.465543645,0.200612557,0.116385911,0.336906585,0.234303216,0.11179173,0.5,0.37,0.13,0.452,19900
Moerwijk-West,37,6240,0.508012821,0.491987179,0.211538462,0.101762821,0.305288462,0.24599359,0.135416667,0.5,0.37,0.13,0.398,19400
Moerwijk-Noord,38,6975,0.516845878,0.483154122,0.199283154,0.125448029,0.3390681,0.235842294,0.100358423,0.5,0.37,0.13,0.525,22000
Moerwijk-Zuid,39,4600,0.527173913,0.472826087,0.226086957,0.120652174,0.377173913,0.186956522,0.090217391,0.5,0.37,0.13,0.486,21700
Groente- en Fruitmarkt,21,5315,0.52116651,0.47883349,0.210724365,0.167450611,0.315145814,0.241768579,0.065851364,0.52,0.38,0.1,0.499,21100
Laakhaven-Oost,19,4050,0.486419753,0.512345679,0.141975309,0.238271605,0.32345679,0.213580247,0.083950617,0.44,0.41,0.15,0.454,21900
