,Name,BUURTCODE,Population,Food_consumed,green electricity,nongreen electricity,Gas,water_per_capita,car km per capita,train km per capita,tram km per capita,Clothes,Detergent,Footwear,Furniture,Paper,Personalcare,Household_size,Waste_generated_per_household,waste per capita
43,Koningsplein en omgeving,44,7575,3111.69524752475,872.808259,542.3006518999999,807.009901,38.51028314,22.02052799,5.4176846329999995,1.769448329,16.05316433,114.77765749999999,2.986910752,1.72165106,34.03332839,106.26685659999998,1.8,934.5131713,519.173984
44,Zeeheldenkwartier,45,11845,3132.65677501055,797.2850131,511.35154239999997,619.2655129,39.57389974,22.05130801,5.527523885,1.825541206,16.40290105,72.51795809999999,3.123857947,1.768138736,39.95764619,130.7058056,1.7,935.8612612,550.5066242
45,Willemspark,47,1490,3197.96187919463,902.6227126,670.2631934,580.4697987000001,46.22276005,22.19024445,5.477799786,1.7857760269999998,17.36462048,101.6325934,3.0011375630000003,1.631782316,39.49574215,134.5293552,1.6,955.9560257000002,597.4725161
46,Haagse Bos,49,425,3190.55694117647,525.2982744,386.23113739999997,605.6470588999999,42.6319283,21.36752727,5.650043332,1.8418283969999998,16.98298548,120.1856523,2.508470929,1.7393581280000001,39.51487067,139.755492,1.4,951.6072884,679.7194917
47,Landen,61,5155,3072.91703200775,718.4091513999999,428.8750387,531.6682833000001,35.74685687,20.64538701,5.455610008,1.796200761,16.57270885,118.920907,2.29412245,1.620217401,22.66469521,113.42695570000001,1.7,913.1611654999999,537.1536267999999
48,Kampen,67,2455,3089.57543788187,747.1823916000001,454.52840269999996,649.4093686000001,38.60955631,21.29044095,5.403976512000001,1.7594680759999999,16.66991915,120.4204071,2.455294213,1.687983936,23.39613212,109.0006378,1.6,945.5503373,590.9689607999999
49,Marlot,68,805,2965.65813664596,976.6073705,617.6783437000001,1024.347826,32.65841954,19.02198233,5.468168184,1.849562748,14.7839858,94.37323345,1.88344284,1.7520971580000002,36.77699273,152.9600233,2.6,1293.1159380000001,497.35228380000007
50,Burgen en Horsten,69,6285,3099.16127287191,805.58646,504.69993610000006,589.9124901,37.33124167,20.56415428,5.488644742999999,1.79853315,16.54161535,123.07033200000001,2.560129437,1.7337302540000001,25.50484011,113.5495581,1.7,940.6735294,553.3373702
51,Bezuidenhout-West,64,3580,3025.18606145251,768.0964371,472.168926,275.61452510000004,38.19536128,19.83722174,5.946634285,2.076343751,16.08973317,110.62136229999999,3.0835202760000002,1.662238101,23.257319100000004,142.4344715,1.7,893.2620713,525.4482772
52,Bezuidenhout-Midden,65,4285,3045.88375729288,813.77167,531.0357978999999,710.0583429999999,39.19974567,21.15645689,5.379538064,1.762829475,16.77116996,116.58873529999998,2.764677128,1.692471431,35.08073214,128.41909669999998,1.9,915.4210326,481.80054349999995
53,Bezuidenhout-Oost,66,9010,3117.56947835738,723.460159,469.9083205,704.3784684,40.21063025,22.23980139,5.421422552,1.7540507730000001,17.03520014,115.28102290000001,2.97953338,1.709468204,38.94368859,131.5276344,1.7,911.7426899000001,536.3192293999999
54,Huygenspark,18,7895,3054.12043065231,865.0392391,453.21281919999996,504.43318550000004,39.80946006,19.91291839,6.2437852629999995,2.238188149,16.60745937,109.286543,2.5022864830000002,0.944595044,33.97456532,138.77033400000002,1.5,863.7120620999999,575.8080414
55,Rivierenbuurt-Zuid,62,850,3135.70199999999,1017.334482,559.959636,918.882353,42.76205801,22.247109,6.019977034,2.089379631,16.691785199999998,101.28368309999999,2.543259112,0.963691435,34.11434971,141.08767519999998,1.4,879.0638962999999,627.9027831000001
56,Rivierenbuurt-Noord,63,3690,3081.5125203252,792.0947772999999,455.8591523,374.9457994,36.87938843,21.735702,5.549536465,1.852911846,16.10892604,96.82479419,2.535687442,1.813541988,23.63968399,125.2660743,1.8,983.4944437999999,546.3858021000001
57,Kortenbos,11,7275,3131.78064604811,804.2220655,498.3758726,497.6907216,40.31062617,21.9985035,5.54336276,1.83153698,16.36011377,71.61438102,2.7755150960000003,1.7533001430000001,38.71650304,123.98316340000001,1.6,945.3471392999999,590.841962
58,Voorhout,12,2355,3190.47193205944,1006.039995,650.4355889,726.029724,50.47731836,23.04327027,5.685227134,1.881960483,17.16660891,90.8430958,2.7499016889999996,1.7825764480000001,40.26535819,142.2916742,1.4,962.0603973,687.185998
59,Uilebomen,13,3180,3137.40040880503,809.8630707000001,502.6369293000001,215.83333330000002,39.224895399999994,22.72466484,5.365151303999999,1.7309872659999999,16.48592579,99.11709143,2.661369271,1.730229517,39.0927443,129.29648459999999,1.7,962.0603973,565.9178807
60,Zuidwal,14,6885,3160.03093681917,805.9220987000001,492.5092739,445.9259259,41.59932715,22.67744089,5.591641495,1.846764551,16.38986153,93.36198436,2.75087668,1.6987669980000002,32.8857636,128.374052,1.5,938.2597876,625.506525
61,Schildersbuurt-West,15,14115,2942.23010981225,649.9593209,301.42573039999996,437.4672335,26.07062012,20.05435916,5.531605102,1.8781769769999999,13.05121568,86.71616402,2.447222446,0.8963755240000001,29.59268361,152.5012758,2.4,1621.500987,675.6254112
62,Schildersbuurt-Noord,16,9985,2939.43087631447,643.3890583,302.9554585,400.5458188,26.82983675,19.84347022,5.503600395,1.861919405,13.63535205,97.92270022,2.4680650440000003,1.112610754,29.38144495,149.70432830000001,2.3,1599.500652,695.4350659
63,Schildersbuurt-Oost,17,7230,2930.9222406639,601.2495462,278.4599974,376.45228219999996,24.28857243,19.63060636,5.554980757999999,1.894734731,13.63308741,99.26899456,2.466860128,1.098817278,29.180316499999996,149.5937601,2.5,1578.856473,631.5425892999999
64,Transvaalkwartier-Noord,32,3945,3014.90818757921,669.251924,307.6809024,467.02154630000007,28.782255100000004,20.33719957,5.5382686539999995,1.867609482,13.70265491,108.3533949,2.655653346,0.7803478359999999,28.180300399999997,151.5778936,2.1,1345.41946,640.6759335
65,Transvaalkwartier-Midden,33,5005,2975.36907092907,673.8267126000001,318.2112494,406.0239761,25.93640543,19.69538175,5.400040022000001,1.8131674130000002,13.16711208,110.83542460000001,2.486387311,0.815312426,25.77255146,145.27343009999998,2.3,1554.5332740000001,675.8840322000001
66,Transvaalkwartier-Zuid,34,7235,2990.16664823773,659.8454686000001,303.996964,449.52315139999996,25.16191412,20.19861015,5.464222715,1.8487383290000001,12.84794455,102.6645463,2.4316821330000002,0.807914347,27.57078413,146.62821630000002,2.4,1545.7619109999998,644.0674629
67,Rustenburg,30,6100,3035.84160655737,719.5975721,367.48439510000003,568.704918,32.26628192,21.36940679,5.40157952,1.782453564,16.01651248,105.92052450000001,2.317666081,1.144339835,24.31027814,142.4072623,2.0,1500.311834,750.1559172
68,Oostbroek-Noord,31,4500,3024.90431111111,702.804946,340.895054,602.7,31.11326484,21.50142998,5.417608358,1.793380658,15.96875293,95.61401108,2.3091070730000003,1.0184994920000001,24.30565876,142.2131044,2.0,1468.013727,734.0068637
69,Oostbroek-Zuid,35,8055,3000.75210428305,722.5888627999999,342.6252899,604.5810056,30.20687859,20.93247309,5.4562257579999995,1.825939896,13.53386691,98.69935437,2.174550219,0.91043824,25.76586938,143.3632915,2.1,1451.23431,691.0639571
70,Leyenburg,84,14910,3076.62432595573,799.6491288999999,442.6379267,447.01542589999997,34.20485159,20.89829534,5.514654212999999,1.824199677,16.68021454,114.03604469999999,2.614072445,1.6530585969999998,27.56443039,129.12559299999998,1.9,1102.271554,580.1429232999999
71,"Venen, Oorden en Raden",87,8585,2975.60804892253,648.439356,319.265944,509.318579,28.96722808,19.89902033,5.417372727,1.8132306059999999,14.06329835,124.2139842,1.799823034,0.8295381059999999,25.70537247,143.42704640000002,2.1,1395.707275,664.622512
72,"Zijden, Steden en Zichten",96,7850,2986.72484076433,664.4492719,328.6335307,475.1592357,30.09133094,20.31894703,5.348060073,1.770470089,14.35737034,124.58433840000001,1.893906765,0.882631171,26.55397717,143.3556477,2.1,1406.566429,669.7935375
73,Dreven en Gaarden,98,10815,2984.01275080906,660.5097622999999,331.6908849,452.6629681,28.92191121,19.66121985,5.470409535,1.8345324490000001,14.11064208,123.3549879,1.898927772,0.840137736,27.16836795,140.591174,2.1,1356.049215,645.7377216
74,De Uithof,99,1380,3076.83826086956,990.8427685,675.0267967999999,704.1304347999999,37.17715199,18.92226208,5.671255173,1.894805914,16.23516299,122.46392309999999,2.464063339,1.6693036330000002,33.07661749,123.8506175,1.7,1287.9439320000001,757.6140774
75,Morgenstond-Zuid,80,5930,3016.72645868465,654.1827943,326.54233210000007,508.7183812,32.3951195,21.00480511,5.346033567,1.7586764719999999,13.96336546,107.69319420000001,2.246853537,0.8708082140000001,25.94333228,144.0095534,1.9,1300.09263,684.2592788
76,Morgenstond-West,88,7405,3006.60290344361,710.2463666,362.8528907,365.50979069999994,30.7153593,20.27394391,5.407691012999999,1.7946911840000002,14.46764261,122.66034540000001,2.004328063,1.645678725,23.63672373,139.42512969999999,2.1,1485.018094,707.1514732
77,Morgenstond-Oost,89,5560,3036.72413669064,670.323654,351.5648352,519.6043166000001,35.59839335,21.15564668,5.375684734,1.7673150830000002,16.08783873,108.5078331,2.345323509,0.997861645,24.8901421,143.9856023,1.7,1301.781265,765.7536851
78,Moerwijk-Oost,20,3265,2999.41457886676,675.2510422,345.0246086,435.7427258,31.72921544,20.77928251,5.373639578,1.787521098,13.86125467,112.14535049999999,1.89967457,0.833653008,26.18602908,144.2410545,1.8,1212.657966,673.6988702000001
79,Moerwijk-West,37,6240,2987.53599358974,599.3545725,304.0829275,474.6875,30.60047815,20.28759445,5.333305158,1.765616804,13.85718545,112.9734485,1.8536831569999999,0.841359822,26.04330396,142.02557230000002,1.9,1136.982685,598.4119394999999
80,Moerwijk-Noord,38,6975,2996.50180645161,711.6950876,348.33358619999996,554.7813620000001,30.71846433,20.6678885,5.403747742999999,1.8013687369999998,13.95631491,110.1383125,1.9031573640000001,0.881251083,25.94022274,144.41706069999998,2.0,1466.360506,733.180253
81,Moerwijk-Zuid,39,4600,2968.10165217391,629.6260900000001,303.6347796,451.0760869,32.13151234,20.40366609,5.379633017000001,1.7970655930000001,13.32131165,109.3344922,1.920155364,0.8219040440000001,24.55504394,144.005024,1.9,1211.224049,637.4863417
82,Groente- en Fruitmarkt,21,5315,2965.44139228598,709.1871235,327.12520010000003,459.2285983,25.81931635,20.23447834,5.500544389,1.868855816,13.47709384,110.38875159999998,1.794265554,0.771231405,27.14585816,145.3368953,2.5,1597.1864779999999,638.8745911
83,Laakhaven-Oost,19,4050,3016.44382716049,819.2199917,377.87877369999995,350.3703704,35.51451382,20.16949251,5.918431987000001,2.062940211,16.62730876,116.26504540000002,2.640860672,0.9489671140000001,26.12438844,149.7085899,1.7,1254.284339,737.814317
84,Laakhaven-West,22,5510,3007.77328493647,796.0639986000001,381.69462210000006,462.0871143,33.82755149,20.54496296,5.64239659,1.923627559,15.63530405,93.8328915,2.342402535,0.832747116,25.28259309,146.25643200000002,1.8,1180.098178,655.6100989
85,Spoorwijk,23,4340,2964.08599078341,810.3916872000001,380.76038650000004,260.5645162,26.60761888,20.13659308,5.4007503539999995,1.811626075,13.55401872,92.12729583,1.848466405,1.113678642,26.71919834,145.35377590000002,2.4,1582.4678,659.3615833
86,Laakkwartier-West,24,8085,3019.72965986394,738.7640675,362.4604223,598.9115647000001,30.57788407,21.25639742,5.448190602,1.817767544,15.63554159,94.79857032,2.379470598,0.961239462,24.25871672,144.8879603,2.1,1453.279977,692.0380845
87,Laakkwartier-Oost,25,11240,3029.65550711743,752.9160336,365.8695536,613.5275801,32.06462178,21.27528713,5.500602289,1.839332166,15.98423617,94.37849736,2.366327729,1.0076580720000001,24.19209241,145.6160518,1.9,1338.659601,704.5576847
88,Noordpolderbuurt,26,8345,3008.70347513481,707.4777323,343.1573786,527.8310366000001,30.40903468,20.67866227,5.584186226,1.896577502,15.55639653,94.57642289,2.373779536,0.8053716479999999,25.59731902,146.1702849,2.0,1451.0134070000001,725.5067036
89,Binckhorst,60,1790,3192.73569832402,124.06334440000002,87.94782877,5.139664804,7.574178459,27.09233,5.612698083,1.889434368,16.26191112,77.03906173,3.093577638,1.3918563080000002,35.44706942,150.01470890000002,1.3,1214.156167,933.9662822
90,Erasmus Veld,101,2155,3053.9611600928,702.0411773,437.0771522,310.3480278,25.22527327,19.95858871,5.57925592,1.86768148,16.75918615,99.53734693,2.528121344,1.6484756230000002,38.31639386,117.1727004,2.5,1323.844391,529.5377562
91,Hoge Veld,102,8685,2923.43165227403,735.4084731,381.6899725,67.38054116,25.61318991,19.26559376,5.241239988999999,1.7474967730000002,13.86728798,115.3389481,1.899042026,1.828986205,34.99800884,102.9704613,2.8,1307.495824,466.9627944
92,Parkbuurt oosteinde,103,3465,3026.42753246753,860.6458574,504.4479377,431.2698412,27.40583771,20.47955632,5.4138817,1.822581286,16.64036376,77.67847046,2.2298036530000003,1.8328241090000001,40.14758571,154.0982998,2.8,1379.122749,492.5438388
93,Lage Veld,104,4285,3034.24791131855,757.5591475,435.8947615,363.0571762,27.55207319,20.39894908,5.401725133999999,1.794091242,16.36790021,89.25128634,2.266655525,1.6930917280000002,38.87855941,114.78228119999999,2.6,1336.355204,513.9827706
94,Zonne Veld,105,3440,2979.64831395348,769.8387453,408.5769523,372.3110465,24.88604742,20.29756925,5.36500838,1.799109441,13.73956802,91.35771488,1.8413948709999999,1.794437632,39.31999178,128.66286599999998,2.9,1329.255577,458.36399220000004
95,Vlietzoom-West,106,170,2881.04294117647,1097.840463,782.1595373,1010.0,36.32214688,20.23867409,5.28460084,1.7665968859999999,17.2236699,100.84972040000001,2.4389746,1.7060196019999998,39.01635585,145.5158937,2.0,1139.660318,569.8301592
96,Bosweide,108,2050,2932.78512195121,973.4127972000001,549.4164711,0.0,26.8207814,19.53456387,5.358821893,1.8120352819999999,13.98492685,89.60020532,1.8407943219999998,1.845546867,40.25468768,153.16683319999999,3.1,1271.958038,410.30904460000005
97,De Venen,111,1755,2930.55772079772,1268.354522,650.3349367000001,12.90598291,30.47205883,20.70782453,5.216076349,1.7115148740000001,13.66593346,101.53342140000001,1.89396671,1.84372402,35.82150497,118.0397097,2.3,1248.653489,542.8928212000001
98,Morgenweide,112,7135,2948.62978276103,787.5499829,422.6812715,0.0,27.80909625,20.07353889,5.331238747,1.777999924,14.35654423,86.11992526,1.8852567130000002,1.8087350480000002,37.02588185,129.39076550000001,2.6,1236.1155609999998,475.4290618
99,Singels,113,5595,2979.7364253798,817.4103462999999,457.2634697,218.7310098,27.33066964,20.29379395,5.392219043,1.8036675430000002,13.870726199999998,94.40192445,1.8597150040000001,1.7935505630000002,39.47997275,126.9075088,2.7,1267.777951,469.5473892
100,Waterbuurt,114,4775,2950.87118324607,803.7957702000001,427.74349689999997,38.010471200000005,27.09446655,20.25711127,5.31647088,1.767373532,14.35350006,85.25471453,1.875154416,1.7235760390000001,34.89118231,114.604464,2.6,1248.906645,480.3487096
101,De Bras,115,5855,2881.06560204953,764.6236964999999,397.6051677,16.09735269,24.34205649,19.1985629,5.203276165,1.739238422,14.56237161,95.36921568,1.8728525480000002,1.818160003,40.0553574,144.7927825,3.1,1288.070716,415.5066825
102,Vlietzoom-Oost,116,100,3009.618,1168.7509009999999,901.2490991000001,1129.5,34.2777376,22.16854875,6.0833025,2.070410556,17.35504791,84.99013126,2.562629244,1.730419467,42.91225725,149.1730754,2.2,1153.742143,524.4282467
103,De Lanen,118,5255,2917.42827783063,777.2719963,413.7080227,331.9124644,24.29940066,19.5703855,5.166102191,1.71595923,14.48593927,105.9849473,1.90494549,1.848192201,36.834972,142.339179,3.1,1300.387535,419.4798501
104,De Velden,119,4220,3011.16030805687,774.1443353999999,452.0168019999999,357.6303317,26.87185396,20.37740341,5.3467875860000005,1.782336715,14.37117945,93.15845891,1.909928916,1.824694663,40.10426821,147.3642233,2.7,1257.899897,465.88885080000006
105,De Vissen,120,8505,3017.31296884185,787.3770379,465.1626446,367.5543798,26.23792613,20.07175881,5.409667217000001,1.808301359,14.74886126,107.7948663,1.9130108869999998,1.799733961,40.00093157,131.1256797,2.7,1272.356518,471.2431549
106,Rietbuurt,121,2755,2883.22479128856,736.0561627000001,382.0019136,355.89836660000003,25.10156421,19.18935384,5.050590997,1.6656826619999998,14.32274223,103.7159409,1.940339364,1.853266649,37.85816293,144.6849374,3.0,1287.574989,429.1916629
