Name,Type,Code,0 to 18 male prim,0 to 18 male second,0 to 18 male tert,0 to 18 female prim,0 to 18 female second,0 to 18 female tert,18 and more male prim,18 and more male second,18 and more male tert,18 and more female prim,18 and more female second,18 and more female tert
Uilebomen,Buurt,BU05182813,59,82,107,55,75,98,337,463,604,310,427,556
Zuidwal,Buurt,BU05182814,114,158,205,107,148,193,737,1013,1320,692,952,1240
Wijk 29 Schildersbuurt,Wijk,WK051829,2331,1185,395,2345,1192,397,6884,3500,1166,6923,3520,1173
Schildersbuurt-West,Buurt,BU05182915,1053,535,178,1036,527,175,3143,1598,532,3093,1572,524
Schildersbuurt-Noord,Buurt,BU05182916,732,372,124,750,381,127,2178,1107,369,2229,1133,377
Schildersbuurt-Oost,Buurt,BU05182917,546,277,92,560,284,94,1560,793,264,1599,813,271
Wijk 30 Transvaalkwartier,Wijk,WK051830,1283,631,210,1256,618,206,3706,1822,607,3626,1783,594
Transvaalkwartier-Noord,Buurt,BU05183032,276,136,45,286,140,46,906,445,148,936,460,153
Transvaalkwartier-Midden,Buurt,BU05183033,411,202,67,410,201,67,1116,549,183,1111,546,182
Transvaalkwartier-Zuid,Buurt,BU05183034,595,292,97,559,275,91,1679,826,275,1578,776,258
Wijk 31 Rustenburg en Oostbroek,Wijk,WK051831,964,814,364,904,763,341,3370,2846,1273,3157,2665,1192
Rustenburg,Buurt,BU05183130,296,250,112,274,231,103,1129,954,426,1044,881,394
Oostbroek-Noord,Buurt,BU05183131,227,192,85,210,178,79,823,695,310,763,644,288
Oostbroek-Zuid,Buurt,BU05183135,441,372,166,419,353,158,1417,1196,535,1347,1137,508
Wijk 32 Leyenburg,Wijk,WK051832,419,584,266,446,622,284,1963,2736,1249,2090,2914,1330
Leyenburg,Buurt,BU05183284,419,584,266,446,622,284,1963,2736,1249,2090,2914,1330
Wijk 33 Bouwlust en Vrederust,Wijk,WK051833,1747,1176,436,1812,1220,453,5561,3742,1390,5768,3882,1442
"Venen, Oorden en Raden",Buurt,BU05183387,551,371,137,562,378,140,1658,1116,414,1689,1137,422
