ID,Sex,Age,OtherCharacteristics,FoodGroups,MeanConsumption_1,P5_2,P50_3,P95_4,N_5,ConsumptionDays_6,MeanConsumptionOnConsumptionDays_7,P5consdays_8,P50consdays_9,P95consdays_10,Nconsdays_11
0,T001038,10000,BTOT000,BGLD019999,72.1,0,60.5,213.6,4313,49.4,146.9,36.5,140,307.5,4370
1,T001038,10000,BTOT000,BGLD010099,0.5,0,0,0,4313,0.4,125.5,8.6,75.6,480,41
2,T001038,10000,BTOT000,BGLD010199,71.6,0,60,212.5,4313,49,146.9,36.5,140,305.6,4339
3,T001038,10000,BTOT000,BGLD029999,131,12.2,112.8,315.5,4313,86.4,151.7,23,127.1,381,7283
4,T001038,10000,BTOT000,BGLD020099,11.8,0,0,80,4313,13.7,86.7,14.3,64.7,225,1057
5,T001038,10000,BTOT000,BGLD020199,19.2,0,0,97.2,4313,25.7,75.2,6.8,57.4,225,1912
6,T001038,10000,BTOT000,BGLD020299,48.4,0,26,168.7,4313,51.3,94.2,7,71.6,267.9,4254
7,T001038,10000,BTOT000,BGLD020399,12.3,0,0,81,4313,19.3,63.1,4,29.7,200,1522
8,T001038,10000,BTOT000,BGLD020499,19.4,0,0,113.3,4313,18.4,105.6,3.7,94.8,243,1585
9,T001038,10000,BTOT000,BGLD020599,2.9,0,0,19.4,4313,9.4,30.9,2.2,20.9,105.8,720
10,T001038,10000,BTOT000,BGLD020699,2.5,0,0,15,4313,5.1,48.3,1.1,28.8,175,446
11,T001038,10000,BTOT000,BGLD020799,11.8,0,3.7,47.4,4313,37.7,31.3,2.5,20.5,95,2918
12,T001038,10000,BTOT000,BGLD020899,2.6,0,0,8.5,4313,7.1,36.8,0.8,8.4,176.4,471
13,T001038,10000,BTOT000,BGLD039999,4.5,0,0,39.7,4313,4.3,108.1,17.8,96.5,267,358
14,T001038,10000,BTOT000,BGLD030199,4.5,0,0,39.7,4313,4.3,108.1,17.8,96.5,267,358
15,T001038,10000,BTOT000,BGLD049999,129.7,0,100,365.5,4313,68.9,187.8,19.7,154.8,454,6304
16,T001038,10000,BTOT000,BGLD040099,0.4,0,0,0,4313,0.7,59.3,25,50,150,46
17,T001038,10000,BTOT000,BGLD040199,119,0,86.9,349.1,4313,59.5,199.6,34,162,456.2,5686
18,T001038,10000,BTOT000,BGLD040101,113.4,0,82.5,338.2,4313,57.7,196.3,34.1,162,447.6,5456
19,T001038,10000,BTOT000,BGLD040102,5.7,0,0,50,4313,5,111.9,25.9,100,250,711
20,T001038,10000,BTOT000,BGLD040299,9.7,0,0,48,4313,24.2,39.8,5,30.6,103.9,1981
21,T001038,10000,BTOT000,BGLD040201,5.7,0,0,35,4313,13.8,40.8,3.3,30,100,875
22,T001038,10000,BTOT000,BGLD040202,4,0,0,26,4313,12.4,32.3,7.4,29.7,81.4,1238
23,T001038,10000,BTOT000,BGLD040399,0.6,0,0,1.4,4313,2.8,21.3,3,16,60,187
24,T001038,10000,BTOT000,BGLD059999,351.5,32.4,310.5,804.4,4313,94.2,373.7,31,320.2,889.4,8196
25,T001038,10000,BTOT000,BGLD050099,1.7,0,0,0,4313,0.9,180.9,74.2,200,270,111
26,T001038,10000,BTOT000,BGLD050199,200.6,0,141.3,603.2,4313,59.4,337.8,51.5,274.7,789.7,5737
27,T001038,10000,BTOT000,BGLD050101,147.4,0,72.9,533.9,4313,47.8,308.5,26.1,257.5,751.9,4734
28,T001038,10000,BTOT000,BGLD050102,53.2,0,0,280.5,4313,18.1,293.7,100,255,566.5,1750
29,T001038,10000,BTOT000,BGLD050299,8.4,0,0,0,4313,3,277.4,72.8,221.9,797.5,254
30,T001038,10000,BTOT000,BGLD050399,53.7,0,0,243,4313,25.5,212.2,72,201.6,432,2106
31,T001038,10000,BTOT000,BGLD050499,11.4,0,0,86,4313,7,162.3,24.7,144.2,500,662
32,T001038,10000,BTOT000,BGLD050599,32.6,0,25.6,92.8,4313,66.4,49.1,11,36,124,5320
33,T001038,10000,BTOT000,BGLD050699,26.3,0,0,154.5,4313,14.7,179.7,48.1,166.5,343.3,1499
34,T001038,10000,BTOT000,BGLD050799,7.1,0,0,35,4313,26.2,27.2,3,20,74.3,1706
35,T001038,10000,BTOT000,BGLD050700,4.3,0,0,27.5,4313,17.7,24.4,3,18,64,999
36,T001038,10000,BTOT000,BGLD050701,2.3,0,0,16,4313,9.7,23.2,3,18.9,61.9,763
37,T001038,10000,BTOT000,BGLD050702,0.6,0,0,0,4313,0.8,71.3,11.5,48,178.5,60
38,T001038,10000,BTOT000,BGLD050899,9.8,0,0,62.5,4313,11.7,84.5,32,75,168.3,1154
39,T001038,10000,BTOT000,BGLD050800,0.2,0,0,0,4313,0.3,71.5,40,65,130,31
40,T001038,10000,BTOT000,BGLD050801,7.8,0,0,51.3,4313,9.2,86.5,32,75,165,797
41,T001038,10000,BTOT000,BGLD050802,0,0,0,0,4313,0,83.4,80,80,100,2
42,T001038,10000,BTOT000,BGLD050803,1.7,0,0,0,4313,2.6,66.7,32,55,128,371
43,T001038,10000,BTOT000,BGLD069999,193.8,65,177.5,375.8,4313,97.9,197.9,53.1,174,422.3,8509
44,T001038,10000,BTOT000,BGLD060199,2,0,0,13.7,4313,9.3,21.5,0.8,8.7,79.1,851
45,T001038,10000,BTOT000,BGLD060299,47.1,0,14.6,174.6,4313,34.1,136.7,17.7,113.4,320,2835
46,T001038,10000,BTOT000,BGLD060399,130.9,35,122.5,257.5,4313,95,138.1,35,128,280,8301
47,T001038,10000,BTOT000,BGLD060301,125.6,30,117.3,255,4313,91.7,137.3,40,125,280,8074
48,T001038,10000,BTOT000,BGLD060302,5.3,0,0,27.5,4313,23.4,22.7,7,20,56,2098
49,T001038,10000,BTOT000,BGLD060499,7.4,0,0,41.7,4313,18.2,40.9,9.8,39,90,1606
50,T001038,10000,BTOT000,BGLD060599,6.5,0,0,59.1,4313,5,129.3,16.3,120,297,414
51,T001038,10000,BTOT000,BGLD079999,98.1,11,86.4,224.9,4313,89.1,110.4,16.9,93.2,269,7664
52,T001038,10000,BTOT000,BGLD070099,2.2,0,0,0,4313,1.9,113,21,105,247,162
53,T001038,10000,BTOT000,BGLD070199,30.2,0,13.3,114,4313,34.8,87.3,12.8,72,218.8,2827
54,T001038,10000,BTOT000,BGLD070100,3.8,0,0,30.5,4313,6.2,61.5,14.2,51.6,152.3,508
55,T001038,10000,BTOT000,BGLD070101,12.2,0,0,68.9,4313,15.2,80.4,14.4,66.6,193.9,1255
56,T001038,10000,BTOT000,BGLD070102,0.4,0,0,0,4313,0.4,91.4,20,73.5,247,30
57,T001038,10000,BTOT000,BGLD070103,13,0,0,86,4313,14.2,92.4,9,78.8,224,1112
58,T001038,10000,BTOT000,BGLD070104,0.6,0,0,0,4313,0.7,87,26.2,52.3,225,47
59,T001038,10000,BTOT000,BGLD070105,0.1,0,0,0,4313,0.1,115.9,100,113,172,5
60,T001038,10000,BTOT000,BGLD070107,0.1,0,0,0,4313,0.1,122.7,21,144.4,144.4,4
61,T001038,10000,BTOT000,BGLD070299,16.7,0,0,82.5,4313,20.7,81.6,16.5,70.6,194.9,1631
62,T001038,10000,BTOT000,BGLD070200,0,0,0,0,4313,0,62.2,21,77,77,3
63,T001038,10000,BTOT000,BGLD070201,15.9,0,0,76.8,4313,20.1,80.2,16.4,68.5,187.5,1576
64,T001038,10000,BTOT000,BGLD070202,0.4,0,0,0,4313,0.5,96.3,17.3,75,277,42
65,T001038,10000,BTOT000,BGLD070203,0.3,0,0,0,4313,0.2,149.4,75,122,277,14
66,T001038,10000,BTOT000,BGLD070399,0.1,0,0,0,4313,0.1,73.4,28,56.3,150,4
67,T001038,10000,BTOT000,BGLD070499,47.1,0,37,135,4313,68.3,68.9,9.7,48,190.5,5933
68,T001038,10000,BTOT000,BGLD070401,26,0,0,100.8,4313,30.1,86.6,7.2,77,198,2734
69,T001038,10000,BTOT000,BGLD070402,21.1,0,15,66,4313,54.8,38.4,8.1,30,100,4660
70,T001038,10000,BTOT000,BGLD070599,0.3,0,0,0,4313,0.5,77,11,34.2,277,37
71,T001038,10000,BTOT000,BGLD070699,1.5,0,0,0,4313,2.1,69.7,9.7,70.5,156.9,174
72,T001038,10000,BTOT000,BGLD070601,1.4,0,0,0,4313,1.7,78.3,18.3,75,152,146
73,T001038,10000,BTOT000,BGLD070602,0.1,0,0,0,4313,0.5,21.9,5.7,15.6,61.2,39
74,T001038,10000,BTOT000,BGLD089999,16.2,0,0,100,4313,14.2,114.6,13,100,280,1042
75,T001038,10000,BTOT000,BGLD080099,0,0,0,0,4313,0,91.1,84.4,93.8,93.8,2
76,T001038,10000,BTOT000,BGLD080199,11.5,0,0,78,4313,11,105.8,11.3,90,251,743
77,T001038,10000,BTOT000,BGLD080299,1.4,0,0,0,4313,2.1,67.4,4.1,43.4,195.4,139
78,T001038,10000,BTOT000,BGLD080399,3.2,0,0,0.4,4313,2.5,125.7,16,108,280,246
79,T001038,10000,BTOT000,BGLD080499,0,0,0,0,4313,0,390,390,390,390,1
80,T001038,10000,BTOT000,BGLD099999,12.7,0,0,50,4313,24.2,52,5.9,50,130,2003
81,T001038,10000,BTOT000,BGLD090199,12.7,0,0,50,4313,24.2,52,5.9,50,130,2003
82,T001038,10000,BTOT000,BGLD109999,22.2,2.8,19.2,51.5,4313,93.8,23.7,2.9,19.8,57.7,8088
83,T001038,10000,BTOT000,BGLD100099,1.5,0,0,8.2,4313,16.6,8.8,1,6.4,25.4,1243
84,T001038,10000,BTOT000,BGLD100199,3.5,0,1,14.7,4313,36.7,9.6,0.9,6.6,29.1,3046
85,T001038,10000,BTOT000,BGLD100299,2.2,0,0,13.7,4313,14.9,14.9,1.7,10.8,42,1216
86,T001038,10000,BTOT000,BGLD100399,14.9,0,11.8,41.7,4313,74.6,20,2.4,16.8,50.3,6534
87,T001038,10000,BTOT000,BGLD100499,0.1,0,0,0,4313,0.9,12.4,1.5,11.6,28,75
88,T001038,10000,BTOT000,BGLD119999,30.1,0,20.5,90.6,4313,74,40.6,4,28,116,6711
89,T001038,10000,BTOT000,BGLD110099,0.4,0,0,0,4313,1,40.7,8,20,100,94
90,T001038,10000,BTOT000,BGLD110199,11.5,0,3.5,48,4313,45.8,24.9,2.8,16.8,72.9,3786
91,T001038,10000,BTOT000,BGLD110100,0,0,0,0,4313,0.1,56.5,6,13.4,150,6
92,T001038,10000,BTOT000,BGLD110101,4.7,0,0,25.4,4313,27.1,17.1,1.8,10.8,50.4,1990
93,T001038,10000,BTOT000,BGLD110102,4,0,0,24.6,4313,13,30.8,5.4,25,76.4,1116
94,T001038,10000,BTOT000,BGLD110103,0.9,0,0,6.4,4313,5.8,15.7,2.6,11.4,39.8,481
95,T001038,10000,BTOT000,BGLD110104,1.1,0,0,7.6,4313,7.6,14.7,2.1,9.2,44,821
96,T001038,10000,BTOT000,BGLD110105,0.2,0,0,0,4313,0.9,25.1,2.5,15,75,65
97,T001038,10000,BTOT000,BGLD110106,0.5,0,0,0.6,4313,2.9,16.4,2,12.5,45,286
98,T001038,10000,BTOT000,BGLD110299,12.4,0,3.5,50,4313,38.5,32.1,5,23.1,95,3823
99,T001038,10000,BTOT000,BGLD110200,3.2,0,0,17.5,4313,18.4,17.1,3.8,13.9,50,1848
100,T001038,10000,BTOT000,BGLD110201,3.2,0,0,20,4313,11.1,29.6,7,21,100,1004
101,T001038,10000,BTOT000,BGLD110202,1.5,0,0,10,4313,4,39.2,16,36,80,343
102,T001038,10000,BTOT000,BGLD110203,3.4,0,0,23.9,4313,9.8,34.6,6.1,23.9,92.2,1202
103,T001038,10000,BTOT000,BGLD110204,1,0,0,6,4313,2.9,34.5,9,24,105,290
104,T001038,10000,BTOT000,BGLD110399,5.8,0,0,26,4313,27.4,21.2,1,11,62,2854
105,T001038,10000,BTOT000,BGLD129999,41.2,0,29.5,127,4313,62.6,66.4,10,49,190,5666
106,T001038,10000,BTOT000,BGLD120199,24.1,0,0,98.5,4313,31.3,77.9,19,58,197,2592
107,T001038,10000,BTOT000,BGLD120299,17.1,0,10,62,4313,44.3,38.7,8,30,100,4249
108,T001038,10000,BTOT000,BGLD139999,1707.5,600.8,1632.6,3113.3,4313,99.9,1711,543.3,1585.7,3266.7,8606
109,T001038,10000,BTOT000,BGLD130099,5.8,0,0,0,4313,1.8,324.7,1.5,300,996,120
110,T001038,10000,BTOT000,BGLD130199,55.4,0,0,257.5,4313,22.8,245.5,11.9,206,618,1896
111,T001038,10000,BTOT000,BGLD130299,349.3,0,216.7,1180,4313,57.6,602,165,490,1493.3,5825
112,T001038,10000,BTOT000,BGLD130399,708.3,0,655,1729.2,4313,78.8,901.6,187.5,800,1978.3,5066
113,T001038,10000,BTOT000,BGLD130300,1.6,0,0,0,4313,0.5,355.3,112.5,260,660,33
114,T001038,10000,BTOT000,BGLD130301,392.5,0,295.8,1182.5,4313,62,634.7,130,550,1383.3,3395
115,T001038,10000,BTOT000,BGLD130302,225.7,0,0,1041.7,4313,38.6,586.5,150,416.7,1600,2712
116,T001038,10000,BTOT000,BGLD130303,88.4,0,0,541.7,4313,15.8,558.7,150,400,1583.3,1126
117,T001038,10000,BTOT000,BGLD130304,0.1,0,0,0,4313,0.1,101.8,1,175,216.7,6
118,T001038,10000,BTOT000,BGLD130499,588.7,0,400,1839.5,4313,78.8,748.8,50,550,2112.5,6593
119,T001038,10000,BTOT000,BGLD149999,138.8,0,0,700,4313,28.8,486.1,47.5,310,1500,1658
120,T001038,10000,BTOT000,BGLD140099,2.3,0,0,0,4313,0.7,338.3,33.3,330,990,39
121,T001038,10000,BTOT000,BGLD140199,38.4,0,0,250,4313,15.1,254.8,83.3,206.7,520,862
122,T001038,10000,BTOT000,BGLD140299,1.6,0,0,0,4313,1.3,122.4,24.5,94,355.3,99
123,T001038,10000,BTOT000,BGLD140399,92.3,0,0,603.3,4313,11.8,793,300,600,2310,650
124,T001038,10000,BTOT000,BGLD140499,3.3,0,0,19,4313,3.8,84.1,20.6,57,228,245
125,T001038,10000,BTOT000,BGLD140599,0,0,0,0,4313,0.1,41.2,13.2,60,66,3
126,T001038,10000,BTOT000,BGLD140699,0.9,0,0,0,4313,1.3,75.2,13.2,55,183.3,77
127,T001038,10000,BTOT000,BGLD159999,35.3,0,25,108.7,4313,70.9,50.2,3.8,34.9,152,5697
128,T001038,10000,BTOT000,BGLD150099,0.6,0,0,0,4313,1.4,45,8.8,30.6,125,101
129,T001038,10000,BTOT000,BGLD150199,32.5,0,22.6,105.1,4313,60.5,54,7.1,38.5,158,4841
130,T001038,10000,BTOT000,BGLD150100,13.4,0,0,60.1,4313,28.5,47.3,6.1,34.9,133.4,2244
131,T001038,10000,BTOT000,BGLD150101,6.7,0,0,43.6,4313,15.5,44.1,5.5,27.6,131.9,1352
132,T001038,10000,BTOT000,BGLD150102,7.9,0,0,35.9,4313,27.6,28.8,3.9,23.3,76.2,2105
133,T001038,10000,BTOT000,BGLD150103,4.5,0,0,30.2,4313,8.7,51,9.6,40,150,560
134,T001038,10000,BTOT000,BGLD150399,0,0,0,0,4313,0.5,4.1,0.6,3.4,12,32
135,T001038,10000,BTOT000,BGLD150499,2.2,0,0,11.8,4313,22.3,10,0.7,6.3,32.5,1662
136,T001038,10000,BTOT000,BGLD150400,2,0,0,10.8,4313,19.9,10.1,0.7,6.2,33,1505
137,T001038,10000,BTOT000,BGLD150401,0.2,0,0,0.9,4313,3.4,6.7,0.7,3.9,24,231
138,T001038,10000,BTOT000,BGLD169999,42.6,0,0,229,4313,19,222.9,51.8,202.6,502.6,1369
139,T001038,10000,BTOT000,BGLD160199,18.6,0,0,142.3,4313,7.6,243.6,74.1,224.3,513.5,558
140,T001038,10000,BTOT000,BGLD160299,24,0,0,141.8,4313,14.4,165.3,1.2,151.8,446.3,1062
141,T001038,10000,BTOT000,BGLD179999,4.8,0,0,3.5,4313,14.1,34.1,0.1,0.7,257.5,830
142,T001038,10000,BTOT000,BGLD170199,0.1,0,0,0,4313,0.1,61.7,17.1,62.7,125,6
143,T001038,10000,BTOT000,BGLD170299,4.7,0,0,3.1,4313,14.1,33.8,0.1,0.7,257.5,824
144,T001038,10000,BTOT000,BGLD170201,0.3,0,0,1,4313,12.6,2.2,0.1,0.5,10,744
145,T001038,10000,BTOT000,BGLD170202,4.4,0,0,0,4313,1.7,262,20,257.5,643.8,94
146,T001038,10000,BTOT000,BGLD170399,0,0,0,0,4313,0,0.1,0.1,0.1,0.1,1
147,T001038,10000,BTOT000,BGLD189999,20.6,0,0,89,4313,28.7,70.8,10,59,187,2571
148,T001038,10000,BTOT000,BGLD180099,0,0,0,0,4313,0.1,35.3,10,30,97,10
149,T001038,10000,BTOT000,BGLD180199,9.4,0,0,50,4313,20.2,46,6.3,40,120,1984
150,T001038,10000,BTOT000,BGLD180299,11.2,0,0,72,4313,11.1,99.5,30.6,72,221,797
151,T001038,10000,B000185,BGLD019999,,,,,,,,,,,
152,T001038,10000,B000185,BGLD010099,,,,,,,,,,,
153,T001038,10000,B000185,BGLD010199,,,,,,,,,,,
154,T001038,10000,B000185,BGLD029999,,,,,,,,,,,
155,T001038,10000,B000185,BGLD020099,,,,,,,,,,,
156,T001038,10000,B000185,BGLD020199,,,,,,,,,,,
157,T001038,10000,B000185,BGLD020299,,,,,,,,,,,
158,T001038,10000,B000185,BGLD020399,,,,,,,,,,,
159,T001038,10000,B000185,BGLD020499,,,,,,,,,,,
160,T001038,10000,B000185,BGLD020599,,,,,,,,,,,
161,T001038,10000,B000185,BGLD020699,,,,,,,,,,,
162,T001038,10000,B000185,BGLD020799,,,,,,,,,,,
163,T001038,10000,B000185,BGLD020899,,,,,,,,,,,
164,T001038,10000,B000185,BGLD039999,,,,,,,,,,,
165,T001038,10000,B000185,BGLD030199,,,,,,,,,,,
166,T001038,10000,B000185,BGLD049999,,,,,,,,,,,
167,T001038,10000,B000185,BGLD040099,,,,,,,,,,,
168,T001038,10000,B000185,BGLD040199,,,,,,,,,,,
169,T001038,10000,B000185,BGLD040101,,,,,,,,,,,
170,T001038,10000,B000185,BGLD040102,,,,,,,,,,,
171,T001038,10000,B000185,BGLD040299,,,,,,,,,,,
172,T001038,10000,B000185,BGLD040201,,,,,,,,,,,
173,T001038,10000,B000185,BGLD040202,,,,,,,,,,,
174,T001038,10000,B000185,BGLD040399,,,,,,,,,,,
175,T001038,10000,B000185,BGLD059999,,,,,,,,,,,
176,T001038,10000,B000185,BGLD050099,,,,,,,,,,,
177,T001038,10000,B000185,BGLD050199,,,,,,,,,,,
178,T001038,10000,B000185,BGLD050101,,,,,,,,,,,
179,T001038,10000,B000185,BGLD050102,,,,,,,,,,,
180,T001038,10000,B000185,BGLD050299,,,,,,,,,,,
181,T001038,10000,B000185,BGLD050399,,,,,,,,,,,
182,T001038,10000,B000185,BGLD050499,,,,,,,,,,,
183,T001038,10000,B000185,BGLD050599,,,,,,,,,,,
184,T001038,10000,B000185,BGLD050699,,,,,,,,,,,
185,T001038,10000,B000185,BGLD050799,,,,,,,,,,,
186,T001038,10000,B000185,BGLD050700,,,,,,,,,,,
187,T001038,10000,B000185,BGLD050701,,,,,,,,,,,
188,T001038,10000,B000185,BGLD050702,,,,,,,,,,,
189,T001038,10000,B000185,BGLD050899,,,,,,,,,,,
190,T001038,10000,B000185,BGLD050800,,,,,,,,,,,
191,T001038,10000,B000185,BGLD050801,,,,,,,,,,,
192,T001038,10000,B000185,BGLD050802,,,,,,,,,,,
193,T001038,10000,B000185,BGLD050803,,,,,,,,,,,
194,T001038,10000,B000185,BGLD069999,,,,,,,,,,,
195,T001038,10000,B000185,BGLD060199,,,,,,,,,,,
196,T001038,10000,B000185,BGLD060299,,,,,,,,,,,
197,T001038,10000,B000185,BGLD060399,,,,,,,,,,,
198,T001038,10000,B000185,BGLD060301,,,,,,,,,,,
199,T001038,10000,B000185,BGLD060302,,,,,,,,,,,
200,T001038,10000,B000185,BGLD060499,,,,,,,,,,,
201,T001038,10000,B000185,BGLD060599,,,,,,,,,,,
202,T001038,10000,B000185,BGLD079999,,,,,,,,,,,
203,T001038,10000,B000185,BGLD070099,,,,,,,,,,,
204,T001038,10000,B000185,BGLD070199,,,,,,,,,,,
205,T001038,10000,B000185,BGLD070100,,,,,,,,,,,
206,T001038,10000,B000185,BGLD070101,,,,,,,,,,,
207,T001038,10000,B000185,BGLD070102,,,,,,,,,,,
208,T001038,10000,B000185,BGLD070103,,,,,,,,,,,
209,T001038,10000,B000185,BGLD070104,,,,,,,,,,,
210,T001038,10000,B000185,BGLD070105,,,,,,,,,,,
211,T001038,10000,B000185,BGLD070107,,,,,,,,,,,
212,T001038,10000,B000185,BGLD070299,,,,,,,,,,,
213,T001038,10000,B000185,BGLD070200,,,,,,,,,,,
214,T001038,10000,B000185,BGLD070201,,,,,,,,,,,
215,T001038,10000,B000185,BGLD070202,,,,,,,,,,,
216,T001038,10000,B000185,BGLD070203,,,,,,,,,,,
217,T001038,10000,B000185,BGLD070399,,,,,,,,,,,
218,T001038,10000,B000185,BGLD070499,,,,,,,,,,,
219,T001038,10000,B000185,BGLD070401,,,,,,,,,,,
220,T001038,10000,B000185,BGLD070402,,,,,,,,,,,
221,T001038,10000,B000185,BGLD070599,,,,,,,,,,,
222,T001038,10000,B000185,BGLD070699,,,,,,,,,,,
223,T001038,10000,B000185,BGLD070601,,,,,,,,,,,
224,T001038,10000,B000185,BGLD070602,,,,,,,,,,,
225,T001038,10000,B000185,BGLD089999,,,,,,,,,,,
226,T001038,10000,B000185,BGLD080099,,,,,,,,,,,
227,T001038,10000,B000185,BGLD080199,,,,,,,,,,,
228,T001038,10000,B000185,BGLD080299,,,,,,,,,,,
229,T001038,10000,B000185,BGLD080399,,,,,,,,,,,
230,T001038,10000,B000185,BGLD080499,,,,,,,,,,,
231,T001038,10000,B000185,BGLD099999,,,,,,,,,,,
232,T001038,10000,B000185,BGLD090199,,,,,,,,,,,
233,T001038,10000,B000185,BGLD109999,,,,,,,,,,,
234,T001038,10000,B000185,BGLD100099,,,,,,,,,,,
235,T001038,10000,B000185,BGLD100199,,,,,,,,,,,
236,T001038,10000,B000185,BGLD100299,,,,,,,,,,,
237,T001038,10000,B000185,BGLD100399,,,,,,,,,,,
238,T001038,10000,B000185,BGLD100499,,,,,,,,,,,
239,T001038,10000,B000185,BGLD119999,,,,,,,,,,,
240,T001038,10000,B000185,BGLD110099,,,,,,,,,,,
241,T001038,10000,B000185,BGLD110199,,,,,,,,,,,
242,T001038,10000,B000185,BGLD110100,,,,,,,,,,,
243,T001038,10000,B000185,BGLD110101,,,,,,,,,,,
244,T001038,10000,B000185,BGLD110102,,,,,,,,,,,
245,T001038,10000,B000185,BGLD110103,,,,,,,,,,,
246,T001038,10000,B000185,BGLD110104,,,,,,,,,,,
247,T001038,10000,B000185,BGLD110105,,,,,,,,,,,
248,T001038,10000,B000185,BGLD110106,,,,,,,,,,,
249,T001038,10000,B000185,BGLD110299,,,,,,,,,,,
250,T001038,10000,B000185,BGLD110200,,,,,,,,,,,
251,T001038,10000,B000185,BGLD110201,,,,,,,,,,,
252,T001038,10000,B000185,BGLD110202,,,,,,,,,,,
253,T001038,10000,B000185,BGLD110203,,,,,,,,,,,
254,T001038,10000,B000185,BGLD110204,,,,,,,,,,,
255,T001038,10000,B000185,BGLD110399,,,,,,,,,,,
256,T001038,10000,B000185,BGLD129999,,,,,,,,,,,
257,T001038,10000,B000185,BGLD120199,,,,,,,,,,,
258,T001038,10000,B000185,BGLD120299,,,,,,,,,,,
259,T001038,10000,B000185,BGLD139999,,,,,,,,,,,
260,T001038,10000,B000185,BGLD130099,,,,,,,,,,,
261,T001038,10000,B000185,BGLD130199,,,,,,,,,,,
262,T001038,10000,B000185,BGLD130299,,,,,,,,,,,
263,T001038,10000,B000185,BGLD130399,,,,,,,,,,,
264,T001038,10000,B000185,BGLD130300,,,,,,,,,,,
265,T001038,10000,B000185,BGLD130301,,,,,,,,,,,
266,T001038,10000,B000185,BGLD130302,,,,,,,,,,,
267,T001038,10000,B000185,BGLD130303,,,,,,,,,,,
268,T001038,10000,B000185,BGLD130304,,,,,,,,,,,
269,T001038,10000,B000185,BGLD130499,,,,,,,,,,,
270,T001038,10000,B000185,BGLD149999,,,,,,,,,,,
271,T001038,10000,B000185,BGLD140099,,,,,,,,,,,
272,T001038,10000,B000185,BGLD140199,,,,,,,,,,,
273,T001038,10000,B000185,BGLD140299,,,,,,,,,,,
274,T001038,10000,B000185,BGLD140399,,,,,,,,,,,
275,T001038,10000,B000185,BGLD140499,,,,,,,,,,,
276,T001038,10000,B000185,BGLD140599,,,,,,,,,,,
277,T001038,10000,B000185,BGLD140699,,,,,,,,,,,
278,T001038,10000,B000185,BGLD159999,,,,,,,,,,,
279,T001038,10000,B000185,BGLD150099,,,,,,,,,,,
280,T001038,10000,B000185,BGLD150199,,,,,,,,,,,
281,T001038,10000,B000185,BGLD150100,,,,,,,,,,,
282,T001038,10000,B000185,BGLD150101,,,,,,,,,,,
283,T001038,10000,B000185,BGLD150102,,,,,,,,,,,
284,T001038,10000,B000185,BGLD150103,,,,,,,,,,,
285,T001038,10000,B000185,BGLD150399,,,,,,,,,,,
286,T001038,10000,B000185,BGLD150499,,,,,,,,,,,
287,T001038,10000,B000185,BGLD150400,,,,,,,,,,,
288,T001038,10000,B000185,BGLD150401,,,,,,,,,,,
289,T001038,10000,B000185,BGLD169999,,,,,,,,,,,
290,T001038,10000,B000185,BGLD160199,,,,,,,,,,,
291,T001038,10000,B000185,BGLD160299,,,,,,,,,,,
292,T001038,10000,B000185,BGLD179999,,,,,,,,,,,
293,T001038,10000,B000185,BGLD170199,,,,,,,,,,,
294,T001038,10000,B000185,BGLD170299,,,,,,,,,,,
295,T001038,10000,B000185,BGLD170201,,,,,,,,,,,
296,T001038,10000,B000185,BGLD170202,,,,,,,,,,,
297,T001038,10000,B000185,BGLD170399,,,,,,,,,,,
298,T001038,10000,B000185,BGLD189999,,,,,,,,,,,
299,T001038,10000,B000185,BGLD180099,,,,,,,,,,,
300,T001038,10000,B000185,BGLD180199,,,,,,,,,,,
301,T001038,10000,B000185,BGLD180299,,,,,,,,,,,
302,T001038,10000,B000186,BGLD019999,,,,,,,,,,,
303,T001038,10000,B000186,BGLD010099,,,,,,,,,,,
304,T001038,10000,B000186,BGLD010199,,,,,,,,,,,
305,T001038,10000,B000186,BGLD029999,,,,,,,,,,,
306,T001038,10000,B000186,BGLD020099,,,,,,,,,,,
307,T001038,10000,B000186,BGLD020199,,,,,,,,,,,
308,T001038,10000,B000186,BGLD020299,,,,,,,,,,,
309,T001038,10000,B000186,BGLD020399,,,,,,,,,,,
310,T001038,10000,B000186,BGLD020499,,,,,,,,,,,
311,T001038,10000,B000186,BGLD020599,,,,,,,,,,,
312,T001038,10000,B000186,BGLD020699,,,,,,,,,,,
313,T001038,10000,B000186,BGLD020799,,,,,,,,,,,
314,T001038,10000,B000186,BGLD020899,,,,,,,,,,,
315,T001038,10000,B000186,BGLD039999,,,,,,,,,,,
316,T001038,10000,B000186,BGLD030199,,,,,,,,,,,
317,T001038,10000,B000186,BGLD049999,,,,,,,,,,,
318,T001038,10000,B000186,BGLD040099,,,,,,,,,,,
319,T001038,10000,B000186,BGLD040199,,,,,,,,,,,
320,T001038,10000,B000186,BGLD040101,,,,,,,,,,,
321,T001038,10000,B000186,BGLD040102,,,,,,,,,,,
322,T001038,10000,B000186,BGLD040299,,,,,,,,,,,
323,T001038,10000,B000186,BGLD040201,,,,,,,,,,,
324,T001038,10000,B000186,BGLD040202,,,,,,,,,,,
325,T001038,10000,B000186,BGLD040399,,,,,,,,,,,
326,T001038,10000,B000186,BGLD059999,,,,,,,,,,,
327,T001038,10000,B000186,BGLD050099,,,,,,,,,,,
328,T001038,10000,B000186,BGLD050199,,,,,,,,,,,
