Name,Type,Code,Mode,Distance travelled,BUURTCODE
Laakkwartier-West,Buurt,BU05183824,Train.1,44048.62101599081,24
Laakkwartier-Oost,Buurt,BU05183825,Train.1,61826.76972419929,25
Noordpolderbuurt,Buurt,BU05183826,Train.1,46600.03405846101,26
Binckhorst,Buurt,BU05183960,Train.1,10046.729568036711,60
Erasmus Veld,Buurt,BU05184001,Train.1,12023.29650729201,101
Hoge Veld,Buurt,BU05184002,Train.1,45520.16930750884,102
Parkbuurt oosteinde,Buurt,BU05184003,Train.1,18759.100091218308,103
Lage Veld,Buurt,BU05184004,Train.1,23146.392200783463,104
Zonne Veld,Buurt,BU05184005,Train.1,18455.628827865447,105
Vlietzoom-West,Buurt,BU05184106,Train.1,898.3821428571429,106
De Reef,Buurt,BU05184110,Train.1,794.4357142857144,110
Bosweide,Buurt,BU05184208,Train.1,10985.58487979094,108
De Venen,Buurt,BU05184211,Train.1,9154.213992673991,111
Morgenweide,Buurt,BU05184212,Train.1,38038.38845630193,112
Singels,Buurt,BU05184213,Train.1,30169.46554768288,113
Waterbuurt,Buurt,BU05184214,Train.1,25386.148451757665,114
De Bras,Buurt,BU05184215,Train.1,30465.18194613883,115
Vlietzoom-Oost,Buurt,BU05184316,Train.1,608.33025,116
De Rivieren,Buurt,BU05184317,Train.1,112.50303571428572,117
De Lanen,Buurt,BU05184418,Train.1,27147.867016107106,118
De Velden,Buurt,BU05184419,Train.1,22563.44361247461,119
De Vissen,Buurt,BU05184420,Train.1,46009.21968023012,120
Rietbuurt,Buurt,BU05184421,Train.1,13914.378195488724,121
