Name,Type,Code,Mode,Distance travelled,BUURTCODE
Transvaalkwartier-Zuid,Buurt,BU05183034,Other mode of transport.1,8684.990514858328,34
Rustenburg,Buurt,BU05183130,Other mode of transport.1,8113.861844262296,30
Oostbroek-Noord,Buurt,BU05183131,Other mode of transport.1,6198.354791666668,31
Oostbroek-Zuid,Buurt,BU05183135,Other mode of transport.1,10507.869785847299,35
Leyenburg,Buurt,BU05183284,Other mode of transport.1,16951.946227364184,84
"Venen, Oorden en Raden",Buurt,BU05183387,Other mode of transport.1,9483.675742574258,87
"Zijden, Steden en Zichten",Buurt,BU05183396,Other mode of transport.1,9139.892722929935,96
Dreven en Gaarden,Buurt,BU05183398,Other mode of transport.1,11268.531553398057,98
De Uithof,Buurt,BU05183399,Other mode of transport.1,988.4430706521739,99
Morgenstond-Zuid,Buurt,BU05183480,Other mode of transport.1,7509.501633642496,80
Morgenstond-West,Buurt,BU05183488,Other mode of transport.1,8345.34393990547,88
Morgenstond-Oost,Buurt,BU05183489,Other mode of transport.1,7074.063399280575,89
Zuiderpark,Buurt,BU05183536,Other mode of transport.1,86.54648437499999,36
Moerwijk-Oost,Buurt,BU05183620,Other mode of transport.1,4187.218357580397,20
Moerwijk-West,Buurt,BU05183637,Other mode of transport.1,7290.6761418269225,37
Moerwijk-Noord,Buurt,BU05183638,Other mode of transport.1,8706.36572580645,38
Moerwijk-Zuid,Buurt,BU05183639,Other mode of transport.1,5833.284782608696,39
Groente- en Fruitmarkt,Buurt,BU05183721,Other mode of transport.1,6450.784078080903,21
Laakhaven-Oost,Buurt,BU05183819,Other mode of transport.1,4454.91787037037,19
Laakhaven-West,Buurt,BU05183822,Other mode of transport.1,6639.615074863884,22
Spoorwijk,Buurt,BU05183823,Other mode of transport.1,5052.140841013825,23
Laakkwartier-West,Buurt,BU05183824,Other mode of transport.1,10896.471428571427,24
Laakkwartier-Oost,Buurt,BU05183825,Other mode of transport.1,15063.979804270464,25
Noordpolderbuurt,Buurt,BU05183826,Other mode of transport.1,10408.480452366686,26
Binckhorst,Buurt,BU05183960,Other mode of transport.1,4724.1663058659215,60
Erasmus Veld,Buurt,BU05184001,Other mode of transport.1,2076.99840487239,101
Hoge Veld,Buurt,BU05184002,Other mode of transport.1,9508.463471502591,102
Parkbuurt oosteinde,Buurt,BU05184003,Other mode of transport.1,3975.320238095238,103
Lage Veld,Buurt,BU05184004,Other mode of transport.1,4706.199241540257,104
Zonne Veld,Buurt,BU05184005,Other mode of transport.1,4063.710119912791,105
Vlietzoom-West,Buurt,BU05184106,Other mode of transport.1,190.35,106
De Reef,Buurt,BU05184110,Other mode of transport.1,267.78749999999997,110
Bosweide,Buurt,BU05184208,Other mode of transport.1,2138.5498170731707,108
De Venen,Buurt,BU05184211,Other mode of transport.1,2345.769230769231,111
Morgenweide,Buurt,BU05184212,Other mode of transport.1,8222.524404344778,112
Singels,Buurt,BU05184213,Other mode of transport.1,6335.320844504021,113
Waterbuurt,Buurt,BU05184214,Other mode of transport.1,5655.291557591622,114
De Bras,Buurt,BU05184215,Other mode of transport.1,6267.948067890692,115
Vlietzoom-Oost,Buurt,BU05184316,Other mode of transport.1,106.92,116
De Rivieren,Buurt,BU05184317,Other mode of transport.1,27.956249999999997,117
De Lanen,Buurt,BU05184418,Other mode of transport.1,6192.755066603235,118
De Velden,Buurt,BU05184419,Other mode of transport.1,4894.850651658768,119
De Vissen,Buurt,BU05184420,Other mode of transport.1,9168.83425925926,120
Rietbuurt,Buurt,BU05184421,Other mode of transport.1,3228.4957350272234,121
