TIME,GEO,male_percent,female_percent,0 to 15 percent,15 to 25 percent,25 to 45 percent,45 to 65 percent,65 or older percent,Primary,Secondary,Tertiary,activity_level,Income,Per capita consumption
2010,Belgium,0.4900615826430213,0.5099384173569786,0.16902675807583184,0.12097430743166107,0.2700434182771897,0.26835262855163394,0.1716028876636834,0.326,0.3670000000000001,0.307,0.6765000000000001,19458.0,2.020681915570293
2010,Bulgaria,0.4869404397821219,0.513059560217878,0.1315304201183384,0.12202931216101395,0.2820311230507672,0.2827188299927538,0.1816903146771267,0.251,0.551,0.19699999999999998,0.667,3017.0,1.3044065253472017
2010,Denmark,0.4956487551894959,0.5043512448105041,0.18091515804361472,0.12240199987786235,0.26492762620380583,0.26862933710683323,0.16312587876788387,0.321,0.405,0.273,0.78,25672.0,149.5956249419575
2010,Germany (until 1990 former territory of the FRG),0.4902506051880696,0.5097493948119304,0.1347473089892862,0.11309625601161592,0.26672037912107976,0.2788189939551423,0.2066170619228758,0.21,0.563,0.22699999999999998,0.7667500000000002,18795.0,2.6269216508292677
2010,Estonia,0.465615132491806,0.534384867508194,0.15122741489098396,0.1353493988554628,0.2769915022238223,0.262088517876831,0.17434316615289994,0.182,0.518,0.3,0.7390000000000001,5727.0,69.31413570941055
2010,Ireland,0.4969798401029756,0.5030201598970244,0.2095373308468669,0.13742958455436596,0.31747265810119424,0.22338896230471167,0.11217146419286116,0.299,0.362,0.339,0.7157499999999999,20512.0,70.06697545273823
2010,Greece,0.4911163834306312,0.5088836165693688,0.14637041990724406,0.11175354827093713,0.3005823483857646,0.25152471529429626,0.189768968141758,0.385,0.406,0.209,0.67825,11963.0,6.303383246896452
2010,Spain,0.4943846744371752,0.5056153255628248,0.14915674981654398,0.10580177921737004,0.3284952170860178,0.2485323142128276,0.1680139396672406,0.481,0.234,0.284,0.7352500000000001,14605.0,15.954593299202939
2010,France,0.4841063689713285,0.5158936310286715,0.1857050486634035,0.12447141038189725,0.26252946696118473,0.2612019767253538,0.16609209726816074,0.319,0.419,0.262,0.7025,19960.0,6.805160610945545
2010,Croatia,0.4821577434661283,0.5178422565338716,0.15354903393032568,0.1195954678379222,0.2713336077253037,0.277134418211942,0.1783874722945064,0.254,0.588,0.157,0.6509999999999999,5810.0,12.177263100454187
2010,Italy,0.4840229056381905,0.5159770943618095,0.1409479615550177,0.10020649890979312,0.2862785785126419,0.26841494537359034,0.20415201564895696,0.463,0.407,0.13,0.6202500000000001,15964.0,3.886130161908884
2010,Cyprus,0.487834802353688,0.5121651976463121,0.17193397953951706,0.1611287447811119,0.2977110139902825,0.2438044778670313,0.1254217838220573,0.29600000000000004,0.38299999999999995,0.321,0.7365,16180.0,1.70899968259394
2010,Latvia,0.4578774668663676,0.5421225331336323,0.14161444637689907,0.14134469918472212,0.2738306553536329,0.2620377042438967,0.1811724948408492,0.195,0.578,0.226,0.72975,4488.0,77.5704266532862
2010,Lithuania,0.4615563581644162,0.5384436418355837,0.14959916943986842,0.14613606214687827,0.2709119993278116,0.2599281471277947,0.17342462195764705,0.171,0.56,0.26899999999999996,0.7025,4026.0,43.99928579976422
2010,Malta,0.4980423982010835,0.5019576017989165,0.1528257818934514,0.13788231202312892,0.27314643730964405,0.2869233165952945,0.14922215217848112,0.603,0.256,0.142,0.60425,10435.0,4.433672200122214
2010,Netherlands,0.494931007194032,0.5050689928059681,0.17574135343317573,0.12237311288713375,0.2700841611418264,0.27865931012080913,0.153142062417055,0.318,0.405,0.27699999999999997,0.779,20292.0,22.682428326196778
2010,Poland,0.4842411286744301,0.5157588713255699,0.15304315936811608,0.14222298690822094,0.2927963168691978,0.2762329691638998,0.13570456769056538,0.18,0.626,0.194,0.6532499999999999,4402.0,3.4300846682558332
2010,Portugal,0.4789100162775185,0.5210899837224815,0.15302371149552574,0.11028110993552832,0.2923506066451733,0.2617749560007638,0.18256961592300888,0.6729999999999999,0.188,0.139,0.7367499999999998,8678.0,21.04936322283328
2010,Romania,0.4868471707589618,0.5131528292410381,0.15797571216066789,0.12395029772083653,0.3021777181737699,0.2545387873267101,0.16135748461801547,0.306,0.5750000000000001,0.119,0.64925,2036.0,0.01137736420913793
2010,Slovenia,0.4954171421648324,0.5045828578351675,0.14034116667708854,0.11619774731115558,0.2985530851363182,0.27965691830290146,0.16525108257253626,0.209,0.589,0.202,0.715,11736.0,0.3708885692846423
2010,Finland,0.4905358888386219,0.5094641111613781,0.16599740592555967,0.12316490536075705,0.2526664383163594,0.2880407412826523,0.17013050911467165,0.236,0.448,0.316,0.745,21349.0,23.773098278272318
2010,Sweden,0.497716762009455,0.502283237990545,0.16588103523918274,0.1331793545696128,0.2622277473957469,0.2576997054390675,0.18101215735639006,0.25,0.467,0.282,0.7909999999999999,18916.0,22.55362081698103
2010,United Kingdom,0.4906234578016128,0.5093765421983872,0.17625540357839534,0.1309213759156766,0.2764720770276888,0.25370044826446475,0.16265069521377448,0.241,0.4420000000000001,0.316,0.75375,17106.0,9.68307298727598
2010,Norway,0.4995167962448636,0.5004832037551364,0.1889023072130228,0.12917255962549085,0.2780007570706758,0.2551711035303412,0.1487532725604694,0.257,0.429,0.314,0.78125,32419.0,527.3534595845085
2010,Turkey,0.5025056603166161,0.4974943396833839,0.2599089443145681,0.1724712061435714,0.31147934590818865,0.18608369429703808,0.07005680933663383,0.7070000000000001,0.188,0.105,0.51925,2752.0,12.28423212634303
