Name,BUURTCODE,Population,Consumptionpercapita,Total Consumption
Erasmus Veld,101,2155,44.310649618005066,95489.44992680091
Hoge Veld,102,8685,86.73371366681076,753282.3031962514
Parkbuurt oosteinde,103,3465,37.616400262931485,130340.8269110576
Lage Veld,104,4285,42.636253426871185,182696.34593414303
Zonne Veld,105,3440,37.17070208101114,127867.21515867833
Vlietzoom-West,106,170,40.093652500465765,6815.92092507918
Bosweide,108,2050,34.96937905949088,71687.22707195631
De Venen,111,1755,21.870164579021015,38382.13883618188
Morgenweide,112,7135,29.30968772885477,209124.62194537878
Singels,113,5595,34.91883530647669,195370.88353973706
Waterbuurt,114,4775,72.34223876676582,345434.1901113068
De Bras,115,5855,39.93271016120928,233806.01799388032
Vlietzoom-Oost,116,100,33.93789189484869,3393.789189484869
De Lanen,118,5255,4.60280193449092,24187.724165749783
De Velden,119,4220,35.42988023345848,149514.0945851948
De Vissen,120,8505,35.25912744648314,299878.87893233914
Rietbuurt,121,2755,8.633976840688764,23786.606196097542
