Name,Type,green electricity,nongreen electricity,BUURTCODE,net_gwp_green,net_gwp_nongreen
Morgenstond-Oost,Buurt,670.323654,351.5648352,89,8.891910303,252.1492186
Zuiderpark,Buurt,529.8770893,497.6229107,36,7.028872577,356.9049448
Moerwijk-Oost,Buurt,675.2510422,345.0246086,20,8.9572726,247.4584394
Moerwijk-West,Buurt,599.3545725,304.0829275,37,7.95049834,218.0942599
Moerwijk-Noord,Buurt,711.6950876,348.3335862,38,9.440706506,249.8317033
Moerwijk-Zuid,Buurt,629.62609,303.6347796,39,8.352053047,217.7728394
Groente- en Fruitmarkt,Buurt,709.1871235,327.1252001,21,9.407438113,234.6206313
Laakhaven-Oost,Buurt,819.2199917,377.8787737,19,10.86703511,271.0220932
Laakhaven-West,Buurt,796.0639986,381.6946221,22,10.55986855,273.7588947
Spoorwijk,Buurt,810.3916872,380.7603865,23,10.74992677,273.0888426
Laakkwartier-West,Buurt,738.7640675,362.4604223,24,9.799779232,259.9637481
Laakkwartier-Oost,Buurt,752.9160336,365.8695536,25,9.987506478,262.4088441
Noordpolderbuurt,Buurt,707.4777323,343.1573786,26,9.384762866,246.1192252
Binckhorst,Buurt,124.0633444,87.94782877,60,1.64571267,63.07791361
Erasmus Veld,Buurt,702.0411773,437.0771522,101,9.312646421,313.4803352
Hoge Veld,Buurt,735.4084731,381.6899725,102,9.755266937,273.7555599
Parkbuurt oosteinde,Buurt,860.6458574,504.4479377,103,11.41655336,361.7999885
Lage Veld,Buurt,757.5591475,435.8947615,104,10.04909785,312.6323014
Zonne Veld,Buurt,769.8387453,408.5769523,105,10.21198794,293.039431
Vlietzoom-West,Buurt,1097.840463,782.1595373,106,14.56296352,560.980213
Bosweide,Buurt,973.4127972,549.4164711,108,12.9124181,394.0523056
De Venen,Buurt,1268.354522,650.3349367,111,16.82484957,466.4330152
Morgenweide,Buurt,787.5499829,422.6812715,112,10.44692928,303.1553263
Singels,Buurt,817.4103463,457.2634697,113,10.84302998,327.9583594
Waterbuurt,Buurt,803.7957702,427.7434969,114,10.66243127,306.7860539
De Bras,Buurt,764.6236965,397.6051677,115,10.1428098,285.1702511
Vlietzoom-Oost,Buurt,1168.750901,901.2490991,116,15.50359758,646.3935905
De Lanen,Buurt,777.2719963,413.7080227,118,10.31059076,296.7195357
De Velden,Buurt,774.1443354,452.016802,119,10.26910202,324.1953461
De Vissen,Buurt,787.3770379,465.1626446,120,10.44463515,333.6238031
Rietbuurt,Buurt,736.0561627,382.0019136,121,9.763858603,273.9792902
