Name,Type,Code,Mode,Distance travelled,BUURTCODE
"Zijden, Steden en Zichten",Buurt,BU05183396,Passenger car (passenger).1,40531.425321656054,96
Dreven en Gaarden,Buurt,BU05183398,Passenger car (passenger).1,56256.48763349514,98
De Uithof,Buurt,BU05183399,Passenger car (passenger).1,7023.264057971014,99
Morgenstond-Zuid,Buurt,BU05183480,Passenger car (passenger).1,30344.137266020232,80
Morgenstond-West,Buurt,BU05183488,Passenger car (passenger).1,38255.77743923025,88
Morgenstond-Oost,Buurt,BU05183489,Passenger car (passenger).1,28029.951753597124,89
Zuiderpark,Buurt,BU05183536,Passenger car (passenger).1,799.375234375,36
Moerwijk-Oost,Buurt,BU05183620,Passenger car (passenger).1,16393.863147013784,20
Moerwijk-West,Buurt,BU05183637,Passenger car (passenger).1,32014.87192107372,37
Moerwijk-Noord,Buurt,BU05183638,Passenger car (passenger).1,35546.71481362007,38
Moerwijk-Zuid,Buurt,BU05183639,Passenger car (passenger).1,23529.13171875,39
Groente- en Fruitmarkt,Buurt,BU05183721,Passenger car (passenger).1,27286.481037158985,21
Laakhaven-Oost,Buurt,BU05183819,Passenger car (passenger).1,20820.203660493826,19
Laakhaven-West,Buurt,BU05183822,Passenger car (passenger).1,28094.60600045372,22
Spoorwijk,Buurt,BU05183823,Passenger car (passenger).1,22661.21543058756,23
Laakkwartier-West,Buurt,BU05183824,Passenger car (passenger).1,40709.014149659866,24
Laakkwartier-Oost,Buurt,BU05183825,Passenger car (passenger).1,56529.844566837186,25
Noordpolderbuurt,Buurt,BU05183826,Passenger car (passenger).1,42319.81279508688,26
Binckhorst,Buurt,BU05183960,Passenger car (passenger).1,6346.4125174580995,60
Erasmus Veld,Buurt,BU05184001,Passenger car (passenger).1,11049.409933294663,101
Hoge Veld,Buurt,BU05184002,Passenger car (passenger).1,46311.03637593552,102
Parkbuurt oosteinde,Buurt,BU05184003,Passenger car (passenger).1,17511.084693362194,103
Lage Veld,Buurt,BU05184004,Passenger car (passenger).1,22094.699014002334,104
Zonne Veld,Buurt,BU05184005,Passenger car (passenger).1,17922.28433502907,105
Vlietzoom-West,Buurt,BU05184106,Passenger car (passenger).1,793.7116544117647,106
De Reef,Buurt,BU05184110,Passenger car (passenger).1,302.09499999999997,110
Bosweide,Buurt,BU05184208,Passenger car (passenger).1,10650.461731707317,108
De Venen,Buurt,BU05184211,Passenger car (passenger).1,9201.712564102563,111
Morgenweide,Buurt,BU05184212,Passenger car (passenger).1,37435.347400140156,112
Singels,Buurt,BU05184213,Passenger car (passenger).1,28976.828302055404,113
Waterbuurt,Buurt,BU05184214,Passenger car (passenger).1,25051.027774869108,114
De Bras,Buurt,BU05184215,Passenger car (passenger).1,31408.126398377455,115
Vlietzoom-Oost,Buurt,BU05184316,Passenger car (passenger).1,472.4299375,116
De Rivieren,Buurt,BU05184317,Passenger car (passenger).1,98.44500000000001,117
De Lanen,Buurt,BU05184418,Passenger car (passenger).1,27988.339754995242,118
De Velden,Buurt,BU05184419,Passenger car (passenger).1,21695.258752962087,119
De Vissen,Buurt,BU05184420,Passenger car (passenger).1,44087.59686654909,120
Rietbuurt,Buurt,BU05184421,Passenger car (passenger).1,14814.69640199637,121
