TIME,GEO,male_percent,female_percent,0 to 15 percent,15 to 25 percent,25 to 45 percent,45 to 65 percent,65 or older percent,Primary,Secondary,Tertiary,activity_level,Income,Total_pop
2010,European Union - 27 countries (from 2020),0.4875205118546374,0.5124794881453626,0.15421257903259708,0.11851233855195722,0.28422599814109467,0.26676726204099005,0.17628182223336095,0.317,0.46799999999999997,0.21600000000000003,0.70325,14546.0,440660421
2010,European Union - 28 countries (2013-2020),0.4879059989150638,0.5120940010849362,0.15695101656353075,0.12005394559823046,0.28326270831656547,0.2651439377169674,0.1745883918047059,0.308,0.465,0.228,0.70975,14863.0,503170618
2010,Euro area - 19 countries  (from 2015),0.48786386375511315,0.5121361362448869,0.1544197011508674,0.11456219367794492,0.2822278201052426,0.26603064791241965,0.1827596371535254,0.34600000000000003,0.428,0.227,0.7130000000000001,17045.0,335266424
2010,Belgium,0.4900615826430213,0.5099384173569786,0.16902675807583184,0.12097430743166107,0.2700434182771897,0.268352628551634,0.1716028876636834,0.326,0.36700000000000005,0.307,0.6765000000000001,19458.0,10839905
2010,Bulgaria,0.4869404397821219,0.513059560217878,0.1315304201183384,0.12202931216101397,0.28203112305076716,0.2827188299927538,0.1816903146771267,0.251,0.551,0.197,0.667,3017.0,7421766
2010,Czechia,0.49093125578756364,0.5090687442124364,0.14279463143494875,0.12391809359661284,0.30619958463358365,0.2742004272952015,0.15288726303965328,0.14400000000000002,0.711,0.145,0.7017500000000001,7058.0,10462088
2010,Denmark,0.49564875518949586,0.5043512448105041,0.18091515804361472,0.12240199987786234,0.26492762620380583,0.26862933710683323,0.16312587876788387,0.321,0.405,0.273,0.78,25672.0,5534738
2010,Germany (until 1990 former territory of the FRG),0.49025060518806957,0.5097493948119304,0.1347473089892862,0.11309625601161591,0.26672037912107976,0.2788189939551423,0.2066170619228758,0.21,0.563,0.227,0.7667500000000002,18795.0,81802257
2010,Estonia,0.46561513249180597,0.534384867508194,0.15122741489098396,0.1353493988554628,0.2769915022238223,0.262088517876831,0.17434316615289996,0.182,0.518,0.3,0.7390000000000001,5727.0,1333290
2010,Ireland,0.4969798401029756,0.5030201598970244,0.2095373308468669,0.13742958455436596,0.31747265810119424,0.22338896230471172,0.11217146419286117,0.299,0.36200000000000004,0.33899999999999997,0.7157499999999999,20512.0,4549428
2010,Greece,0.49111638343063124,0.5088836165693688,0.14637041990724406,0.11175354827093711,0.3005823483857646,0.25152471529429626,0.18976896814175798,0.385,0.406,0.209,0.67825,11963.0,11119289
2010,Spain,0.49438467443717515,0.5056153255628248,0.14915674981654398,0.10580177921737005,0.3284952170860178,0.24853231421282757,0.1680139396672406,0.48100000000000004,0.23399999999999999,0.284,0.7352500000000001,14605.0,46486619
2010,France,0.4841063689713285,0.5158936310286715,0.1857050486634035,0.12447141038189725,0.26252946696118473,0.2612019767253538,0.16609209726816077,0.319,0.419,0.262,0.7025,19960.0,64658856
2010,Croatia,0.48215774346612833,0.5178422565338716,0.15354903393032568,0.1195954678379222,0.27133360772530374,0.277134418211942,0.1783874722945064,0.254,0.588,0.157,0.6509999999999999,5810.0,4302847
2010,Italy,0.48402290563819045,0.5159770943618095,0.1409479615550177,0.10020649890979313,0.2862785785126419,0.26841494537359034,0.20415201564895696,0.46299999999999997,0.40700000000000003,0.13,0.6202500000000001,15964.0,59190143
2010,Cyprus,0.48783480235368804,0.512165197646312,0.17193397953951706,0.1611287447811119,0.2977110139902825,0.24380447786703127,0.1254217838220573,0.29600000000000004,0.383,0.321,0.7365,16180.0,819140
2010,Latvia,0.4578774668663676,0.5421225331336323,0.14161444637689907,0.14134469918472212,0.27383065535363293,0.2620377042438967,0.18117249484084916,0.195,0.578,0.226,0.72975,4488.0,2120504
2010,Lithuania,0.46155635816441626,0.5384436418355837,0.14959916943986842,0.14613606214687827,0.27091199932781157,0.2599281471277947,0.17342462195764705,0.171,0.56,0.269,0.7025,4026.0,3141976
2010,Luxembourg,0.49675939019969484,0.5032406098003052,0.1774886170344138,0.11861986272721116,0.30624658909386415,0.25812940928085154,0.13951552186365937,0.289,0.408,0.303,0.6820000000000002,32333.0,502066
2010,Hungary,0.4750095962543253,0.5249904037456747,0.14747435772998757,0.12516241735338302,0.2975962231699314,0.26365663823139734,0.16611036351530067,0.244,0.585,0.171,0.619,4241.0,10014324
2010,Malta,0.4980423982010835,0.5019576017989165,0.1528257818934514,0.13788231202312892,0.27314643730964405,0.2869233165952945,0.14922215217848112,0.603,0.256,0.142,0.60425,10435.0,414027
2010,Netherlands,0.49493100719403194,0.5050689928059681,0.17574135343317573,0.12237311288713375,0.2700841611418264,0.27865931012080913,0.153142062417055,0.318,0.405,0.277,0.779,20292.0,16574989
2010,Austria,0.4868743790892403,0.5131256209107597,0.1490924600105632,0.12227713756442894,0.28562284091884677,0.2665889813537288,0.17641858015243228,0.23199999999999998,0.605,0.162,0.74425,21058.0,8351643
2010,Poland,0.48424112867443014,0.5157588713255699,0.15304315936811608,0.14222298690822094,0.2927963168691978,0.2762329691638998,0.13570456769056538,0.18,0.626,0.19399999999999998,0.6532499999999999,4402.0,38022869
2010,Portugal,0.4789100162775185,0.5210899837224815,0.15302371149552574,0.11028110993552831,0.29235060664517326,0.2617749560007638,0.18256961592300888,0.6729999999999999,0.188,0.139,0.7367499999999998,8678.0,10573479
2010,Romania,0.48684717075896183,0.5131528292410381,0.15797571216066789,0.12395029772083653,0.3021777181737699,0.25453878732671015,0.16135748461801547,0.306,0.5750000000000001,0.11900000000000001,0.64925,2036.0,20294683
