Name,Type,Code,Mode,Distance travelled,BUURTCODE
"Zijden, Steden en Zichten",Buurt,BU05183396,Bus / tram / metro.1,13898.190198690729,96
Dreven en Gaarden,Buurt,BU05183398,Bus / tram / metro.1,19840.4684412082,98
De Uithof,Buurt,BU05183399,Bus / tram / metro.1,2614.8321618357486,99
Morgenstond-Zuid,Buurt,BU05183480,Bus / tram / metro.1,10428.951478827057,80
Morgenstond-West,Buurt,BU05183488,Bus / tram / metro.1,13289.688214044565,88
Morgenstond-Oost,Buurt,BU05183489,Bus / tram / metro.1,9826.271862509991,89
Zuiderpark,Buurt,BU05183536,Bus / tram / metro.1,299.5605642361111,36
Moerwijk-Oost,Buurt,BU05183620,Bus / tram / metro.1,5836.256385485793,20
Moerwijk-West,Buurt,BU05183637,Bus / tram / metro.1,11017.448856837607,37
Moerwijk-Noord,Buurt,BU05183638,Bus / tram / metro.1,12564.546943647949,38
Moerwijk-Zuid,Buurt,BU05183639,Bus / tram / metro.1,8266.50172705314,39
Groente- en Fruitmarkt,Buurt,BU05183721,Bus / tram / metro.1,9932.968662851468,21
Laakhaven-Oost,Buurt,BU05183819,Bus / tram / metro.1,8354.9078542524,19
Laakhaven-West,Buurt,BU05183822,Bus / tram / metro.1,10599.187848608592,22
Spoorwijk,Buurt,BU05183823,Bus / tram / metro.1,7862.457164618536,23
Laakkwartier-West,Buurt,BU05183824,Bus / tram / metro.1,14696.650590256304,24
Laakkwartier-Oost,Buurt,BU05183825,Bus / tram / metro.1,20674.0935493278,25
Noordpolderbuurt,Buurt,BU05183826,Bus / tram / metro.1,15826.939253711469,26
Binckhorst,Buurt,BU05183960,Bus / tram / metro.1,3382.0875186219737,60
Erasmus Veld,Buurt,BU05184001,Bus / tram / metro.1,4024.8535898427426,101
Hoge Veld,Buurt,BU05184002,Bus / tram / metro.1,15177.009476108233,102
Parkbuurt oosteinde,Buurt,BU05184003,Bus / tram / metro.1,6315.244157046657,103
Lage Veld,Buurt,BU05184004,Bus / tram / metro.1,7687.680972708415,104
Zonne Veld,Buurt,BU05184005,Bus / tram / metro.1,6188.936476501938,105
Vlietzoom-West,Buurt,BU05184106,Bus / tram / metro.1,300.32147058823523,106
De Reef,Buurt,BU05184110,Bus / tram / metro.1,302.43583333333333,110
Bosweide,Buurt,BU05184208,Bus / tram / metro.1,3714.6723279132784,108
De Venen,Buurt,BU05184211,Bus / tram / metro.1,3003.7086039886035,111
Morgenweide,Buurt,BU05184212,Bus / tram / metro.1,12686.029457681227,112
Singels,Buurt,BU05184213,Bus / tram / metro.1,10091.519904676794,113
Waterbuurt,Buurt,BU05184214,Bus / tram / metro.1,8439.208616928447,114
De Bras,Buurt,BU05184215,Bus / tram / metro.1,10183.240959768478,115
Vlietzoom-Oost,Buurt,BU05184316,Bus / tram / metro.1,207.04105555555554,116
De Rivieren,Buurt,BU05184317,Bus / tram / metro.1,37.295833333333334,117
De Lanen,Buurt,BU05184418,Bus / tram / metro.1,9017.365754572365,118
De Velden,Buurt,BU05184419,Bus / tram / metro.1,7521.460938322802,119
De Vissen,Buurt,BU05184420,Bus / tram / metro.1,15379.60305588216,120
Rietbuurt,Buurt,BU05184421,Bus / tram / metro.1,4588.955734018955,121
