TIME,GEO,"Double bed frame, pressboard (1 piece)",Sofa set (1 set),Kitchen table (1 piece) ,Pocket spring mattress (1 piece) ,Wardrobe (1 piece) ,Armchair (1 piece) ,Table lamp (1 piece) 
2010,European Union - 27 countries (from 2020),483.14185282523,1044.4624178712222,146.9863337713535,269.5224047306176,204.88258869908015,171.89526362823952,18.703350854139288
2010,European Union - 28 countries (2013-2020),490.49934296977665,1060.3679369250985,149.2247043363995,273.62680683311436,208.00262812089358,174.51295799821267,18.988173455978977
2010,European Union - 15 countries (1995-2004),506.1953219448095,1094.2997109067019,153.99989487516427,282.382864651774,214.65871222076217,180.0973726541555,19.595795006570302
2010,Euro area - 19 countries  (from 2015),497.8568331143233,1076.273455978975,151.46307490144548,277.73120893561105,211.12266754270698,177.13065236818588,19.27299605781866
2010,Euro area - 12 countries (2001-2006),499.81883048620244,1080.5149277266758,152.0599737187911,278.8257161629435,211.95467805519056,177.82870420017875,19.348948751642578
2010,Belgium,482.6513534822603,1043.402049934297,146.83710906701708,269.2487779237845,204.6745860709593,171.72075067024127,18.684362680683314
2010,Bulgaria,268.79363994743755,581.081629434954,81.77513797634691,149.94749014454663,113.98544021024968,95.63310098302054,10.405519053876478
2010,Czechia,373.27,806.94,113.56,208.23,158.29,132.80436103663985,14.45
2010,Denmark,498.347332457293,1077.3338239159002,151.61229960578189,278.00483574244413,211.33067017082783,177.3051653261841,19.29198423127464
2010,Germany (until 1990 former territory of the FRG),465.4838764783181,1006.2891721419188,141.61424441524312,259.6718396846255,197.394494086728,165.61279714030383,18.01977660972405
2010,Estonia,429.6774244415243,928.8823127463864,130.72084099868596,239.69708278580813,182.21030223390275,152.8733512064343,16.633639947437583
2010,Ireland,521.4008015768725,1127.1711169513799,158.62586070959264,290.86529566360053,221.10679369250985,185.50727435210007,20.18442838370565
2010,Greece,507.1763206307491,1096.420446780552,154.29834428383708,282.9301182654402,215.07471747700396,180.44639857015193,19.633771353482263
2010,Spain,464.0123784494087,1003.1080683311434,141.1665703022339,258.8509592641261,196.7704862023653,165.08925826630917,17.96281208935611
2010,France,537.5872798948751,1162.163258869908,163.55027595269382,299.89498028909327,227.97088042049936,191.26620196604108,20.811038107752957
2010,Croatia,267.12,820.7247831800265,188.36,116.01,270.00,135.07302949061662,17.33
2010,Italy,546.4162680683312,1181.24988173456,166.23632063074905,304.82026281208937,231.71492772667546,194.40743521000894,61.98
2010,Cyprus,199.75,575.65,143.90,329.65,156.67,195.28,23.34
2010,Latvia,416.43394218134034,900.2523784494089,126.69177398160318,232.30915900131407,176.59423127463864,148.16150134048257,16.120959264126153
2010,Lithuania,228.77,827.28,89.66,184.91,151.20,150.06,18.45
2010,Luxembourg,521.8913009198424,1128.2314848883052,158.77508541392908,291.13892247043367,221.31479632063076,185.68178731009831,20.20341655716163
2010,Hungary,319.8055716162944,691.3598948751644,97.29450722733246,178.40467805519054,135.6177135348226,113.78244861483468,12.380289093298293
2010,Malta,365.58,1 058.89,269.79,160.33,302.89,185.97,26.45
2010,Netherlands,390.04,1 508.44,150.26927726675427,275.54219448094614,430.08,370.38,19.12109067017083
2010,Austria,502.761826544021,1086.8771353482261,152.95532194480947,280.46747700394224,213.2026938239159,178.875781948168,19.46287779237845
2010,Poland,292.82810775295667,524.38,76.29,163.35520367936925,124.17756898817348,127.31,11.335939553219449
2010,Portugal,482.6513534822603,1043.402049934297,146.83710906701708,269.2487779237845,204.6745860709593,171.72075067024127,18.684362680683314
2010,Romania,319.8055716162944,607.85,62.29,178.40467805519054,152.78,126.46,12.380289093298293
2010,Slovenia,410.98,905.5542181340343,233.70,231.22,177.63424441524313,149.03406613047363,20.16
2010,Slovakia,287.46,783.49,114.94,213.33,145.77,167.95,22.25
2010,Finland,513.5528120893562,1110.2052299605782,156.23826544021026,286.4872667542707,217.77875164257557,182.71506702412867,19.880617608409988
2010,Sweden,530.2297897503285,1146.2577398160317,161.31190538764784,295.7905781865966,224.85084099868592,188.6485075960679,20.52621550591327
2010,United Kingdom,542.4922733245729,1172.7669382391591,165.0425229960578,302.63124835742445,230.0509067017083,193.01133154602323,21.000919842312747
2010,Iceland,530.7202890932983,1147.3181077529568,161.46113009198424,296.0642049934297,225.05884362680683,188.82302055406615,20.54520367936925
2010,Norway,552.7927595269383,1195.0346649145863,168.17624178712225,308.37741130091985,234.41896189224704,196.67610366398569,21.399671484888305
2010,Switzerland,475.29386333771356,1027.4965308804206,144.59873850197113,265.14437582128784,201.55454664914586,169.1030563002681,18.39954007884363
2010,Montenegro,303.6190932982917,656.3677529566361,92.37009198423128,169.37499342969778,128.75362680683313,108.02352100089365,11.753679369250985
2010,North Macedonia,294.79010512483575,637.2811300919843,89.6840473061761,164.4497109067017,125.00957950065703,104.88228775692582,11.411892247043363
2010,Albania,350.2165308804205,757.1027069645205,106.54643889618924,195.36954007884367,148.51387647831802,124.60225201072387,13.55755584756899
2010,Serbia,329.6155584756899,712.5672536136664,100.27900131406047,183.87721419185286,139.7777660972405,117.27270777479893,12.760052562417872
2010,Turkey,204.48,1 360.55,98.33908015768728,126.20,137.07373193166887,115.00403932082217,12.513206307490146
2010,Bosnia and Herzegovina,279.0941261498029,603.3493561103811,84.90885676741131,155.69365308804205,118.35349540078843,99.29787310098301,10.804270696452036
2010,Kosovo (under United Nations Security Council Resolution 1244/99),490.49934296977665,1060.3679369250985,149.2247043363995,273.62680683311436,208.00262812089358,174.51295799821267,18.988173455978977
