Name,BUURTCODE,Population,Household_size,Waste_generated_per_household,waste per capita,Total households,Population_2,Weight_Based_waste,No policy waste,Volume based waste
Kampen,67,2455,1.6,945.5503373213296,590.968960825831,1490,2455,291.67551166958833,471.3693281557364,439.5018484656274
Marlot,68,805,2.6,1293.1159378753998,497.35228379823064,310,805,240.86993619020586,389.2637381348275,362.94710375040046
Burgen en Horsten,69,6285,1.7,940.6735293697039,553.3373702174729,3565,6285,298.9331592604969,483.0982266475407,450.43780093368986
Bezuidenhout-West,64,3580,1.7,893.2620712591043,525.4482772112378,2145,3580,239.1788528694442,386.5308216681692,360.39894932656904
Bezuidenhout-Midden,65,4285,1.9,915.42103261457,481.8005434813527,2305,4285,281.20567102141905,454.4492866891914,423.72570636966844
Bezuidenhout-Oost,66,9010,1.7,911.742689921823,536.3192293657783,5245,9010,295.1932530286718,477.0542599196865,444.8024437089215
Huygenspark,18,7895,1.5,863.7120620915282,575.808041394352,5310,7895,224.6061860156186,362.98030779401677,338.4405957347001
Rivierenbuurt-Zuid,62,850,1.4,879.0638962962457,627.9027830687471,615,850,227.05835891267398,366.9432016426992,342.1355734681548
Rivierenbuurt-Noord,63,3690,1.8,983.4944438218716,546.3858021232619,2065,3690,237.22030164013034,383.36565716109163,357.44776950118427
Kortenbos,11,7275,1.6,945.3471392583504,590.841962036469,4470,7275,267.2659836267734,431.9217147161336,402.7211374845029
Voorhout,12,2355,1.4,962.0603972524755,687.1859980374825,1660,2355,272.8098567655137,440.88102618465666,411.07474412836626
Uilebomen,13,3180,1.7,962.0603972524755,565.9178807367502,1855,3180,264.66650983148054,427.7207716563896,398.8042041378208
Zuidwal,14,6885,1.5,938.2597875530628,625.5065250353753,4515,6885,257.02277232358915,415.36792313280466,387.2864845161959
Schildersbuurt-West,15,14115,2.4,1621.5009869585786,675.625411232741,5995,14115,229.33284698731265,370.6189435982157,345.56281255104744
Schildersbuurt-Noord,16,9985,2.3,1599.500651589097,695.4350659083033,4395,9985,231.83230601846782,374.65825535779544,349.329041872353
Schildersbuurt-Oost,17,7230,2.5,1578.8564733265914,631.5425893306367,2865,7230,230.28699720014163,372.16092133301555,347.00054306140737
Transvaalkwartier-Noord,32,3945,2.1,1345.4194604539439,640.6759335494971,1880,3945,233.323134843664,377.0675456602463,351.5754492607175
Transvaalkwartier-Midden,33,5005,2.3,1554.5332740982735,675.8840322166408,2095,5005,245.65674036673772,396.9995698328307,370.1599454174511
Transvaalkwartier-Zuid,34,7235,2.4,1545.7619109844547,644.0674629101893,2930,7235,236.8013183451456,382.68854898312037,356.8164380206361
Rustenburg,30,6100,2.0,1500.3118344981629,750.1559172490814,3070,6100,276.3516613016087,446.6048458330105,416.4115981947476
Oostbroek-Noord,31,4500,2.0,1468.0137274440556,734.0068637220278,2205,4500,267.4848457229272,432.2754121473381,403.05092278347456
Oostbroek-Zuid,35,8055,2.1,1451.234309886754,691.0639570889304,3865,8055,258.2615515769912,417.36988257419534,389.15309912705095
Leyenburg,84,14910,1.9,1102.2715542762423,580.1429233032853,7750,14910,305.4210226637786,493.58309661850836,460.2138288971376
"Venen, Oorden en Raden",87,8585,2.1,1395.7072752570489,664.6225120271662,3975,8585,248.4062111820262,401.4429192369948,374.30289694157653
"Zijden, Steden en Zichten",96,7850,2.1,1406.5664286800775,669.7935374667037,3730,7850,254.92906650902873,411.98433876017117,384.13165135802205
Dreven en Gaarden,98,10815,2.1,1356.0492154306985,645.737721633666,4945,10815,259.18631942647255,418.8643762237131,390.54655576975
De Uithof,99,1380,1.7,1287.9439316328155,757.6140774310683,790,1380,248.94171108555707,402.3083269234678,375.1097977201431
Morgenstond-Zuid,80,5930,1.9,1300.0926296302189,684.2592787527469,3110,5930,245.95939354500734,397.4886798869745,370.6159886091887
Morgenstond-West,88,7405,2.1,1485.0180938240042,707.1514732495258,3470,7405,263.5861711021312,425.9748638901905,397.176330526491
Morgenstond-Oost,89,5560,1.7,1301.7812647121089,765.7536851247701,3210,5560,249.8562206203414,403.78624237319406,376.4877969518114
Moerwijk-Oost,20,3265,1.8,1212.657966291727,673.6988701620704,1735,3265,226.71775824435406,366.3927656212575,341.622350323509
Moerwijk-West,37,6240,1.9,1136.9826851125465,598.4119395329193,3185,6240,234.6339544310503,379.1859276413144,353.55061552806546
Moerwijk-Noord,38,6975,2.0,1466.3605060348534,733.1802530174267,3455,6975,250.5058506671695,404.8360928627684,377.4666710601157
Moerwijk-Zuid,39,4600,1.9,1211.2240491965742,637.4863416824076,2385,4600,221.4022866260016,357.8025680032553,333.61290315271293
Groente- en Fruitmarkt,21,5315,2.5,1597.1864776983834,638.8745910793534,2160,5315,229.03841828037227,370.14312490165867,345.11916213898195
Laakhaven-Oost,19,4050,1.7,1254.2843388351473,737.8143169618513,2365,4050,243.62103940859166,393.7097256238513,367.0925150085454
Laakhaven-West,22,5510,1.8,1180.0981779928184,655.6100988848991,3105,5510,237.6639156805424,384.0825704562549,358.1162150270029
Spoorwijk,23,4340,2.4,1582.4677999756077,659.3615833231698,1795,4340,234.1593004068274,378.4188514228699,352.83539840259107
Laakkwartier-West,24,8085,2.1,1453.2799774566047,692.038084503145,3905,8085,252.71292775189085,408.402893643053,380.7923340644888
Laakkwartier-Oost,25,11240,1.9,1338.6596008740491,704.5576846705522,5795,11240,260.522870918456,421.0243428771204,392.56049532858987
Noordpolderbuurt,26,8345,2.0,1451.0134071045065,725.5067035522533,4195,8345,236.83429136059513,382.7418358293515,356.86612234674425
Erasmus Veld,101,2155,2.5,1323.844390559638,529.5377562238552,760,2155,271.3305265170321,438.4903184376959,408.8456629998988
Hoge Veld,102,8685,2.8,1307.4958242116516,466.9627943613041,3080,8685,240.70406229470706,388.99567357831984,362.69716201457686
Parkbuurt oosteinde,103,3465,2.8,1379.1227486173102,492.5438387918965,1235,3465,240.5727093698311,388.78339747877465,362.4992370912472
Lage Veld,104,4285,2.6,1336.3552036202611,513.9827706231773,1655,4285,263.06588769542554,425.1340471947278,396.39235823596783
Zonne Veld,105,3440,2.9,1329.2555772695173,458.36399216190244,1175,3440,229.98585078273928,371.67424631653955,346.5467702837425
