Name,BUURTCODE,Population,Household_size,Waste_generated_per_household,waste per capita
Binckhorst,60,1790,1.3,1214.1561668908341,933.9662822237185
Erasmus Veld,101,2155,2.5,1323.844390559638,529.5377562238552
Hoge Veld,102,8685,2.8,1307.4958242116516,466.96279436130413
Parkbuurt oosteinde,103,3465,2.8,1379.1227486173102,492.5438387918965
Lage Veld,104,4285,2.6,1336.3552036202611,513.9827706231773
Zonne Veld,105,3440,2.9,1329.2555772695173,458.3639921619025
Vlietzoom-West,106,170,2.0,1139.6603183723573,569.8301591861787
Bosweide,108,2050,3.1,1271.9580383803677,410.3090446388283
De Venen,111,1755,2.3,1248.6534887309735,542.8928211873798
Morgenweide,112,7135,2.6,1236.115560610056,475.42906177309845
Singels,113,5595,2.7,1267.7779509301347,469.54738923338317
Waterbuurt,114,4775,2.6,1248.9066449917214,480.3487096122005
De Bras,115,5855,3.1,1288.0707156896358,415.5066824805277
Vlietzoom-Oost,116,100,2.2,1153.7421426669262,524.4282466667846
De Lanen,118,5255,3.1,1300.3875352865975,419.4798500924508
De Velden,119,4220,2.7,1257.8998970926807,465.8888507750669
De Vissen,120,8505,2.7,1272.356518263989,471.2431549125885
Rietbuurt,121,2755,3.0,1287.574988838114,429.191662946038
