Naam van het gebied,Huishoudens totaal,Aantal inwoners,waste_weight,waste_none,waste_vol
Wijk 26 Bezuidenhout,9695,16875,283.30429648751016,457.8408215847314,426.88795254626524
Bezuidenhout-West,2145,3580,239.1788528694442,386.5308216681692,360.39894932656904
Bezuidenhout-Midden,2305,4285,281.20567102141905,454.4492866891914,423.72570636966844
Bezuidenhout-Oost,5245,9010,295.1932530286718,477.0542599196865,444.8024437089215
Wijk 27 Stationsbuurt,7995,12440,231.77181804597592,374.56050229381077,349.2378975196168
Huygenspark,5310,7895,224.6061860156186,362.98030779401677,338.4405957347001
Rivierenbuurt-Zuid,615,850,227.05835891267398,366.9432016426992,342.1355734681548
Rivierenbuurt-Noord,2065,3690,237.22030164013034,383.36565716109163,357.44776950118427
Wijk 28 Centrum,12505,19695,262.1163091003843,423.5994575344114,394.96151632059724
Kortenbos,4470,7275,267.2659836267734,431.9217147161336,402.7211374845029
Voorhout,1660,2355,272.8098567655137,440.88102618465666,411.07474412836626
Uilebomen,1855,3180,264.66650983148054,427.7207716563896,398.8042041378208
Zuidwal,4515,6885,257.02277232358915,415.36792313280466,387.2864845161959
Wijk 29 Schildersbuurt,13255,31335,230.08714417164234,371.8379439694571,346.699400963656
Schildersbuurt-West,5995,14115,229.33284698731265,370.6189435982157,345.56281255104744
Schildersbuurt-Noord,4395,9985,231.83230601846782,374.65825535779544,349.329041872353
Schildersbuurt-Oost,2865,7230,230.28699720014163,372.16092133301555,347.00054306140737
Wijk 30 Transvaalkwartier,6910,16190,238.87344657925013,386.0372623803179,359.93875769681927
Transvaalkwartier-Noord,1880,3945,233.323134843664,377.0675456602463,351.5754492607175
Transvaalkwartier-Midden,2095,5005,245.65674036673772,396.9995698328307,370.1599454174511
Transvaalkwartier-Zuid,2930,7235,236.8013183451456,382.68854898312037,356.8164380206361
Wijk 31 Rustenburg en Oostbroek,9145,18665,268.3953885989143,433.74691718131993,404.42294498311975
Rustenburg,3070,6100,276.3516613016087,446.6048458330105,416.4115981947476
Oostbroek-Noord,2205,4500,267.4848457229272,432.2754121473381,403.05092278347456
Oostbroek-Zuid,3865,8055,258.2615515769912,417.36988257419534,389.15309912705095
Wijk 32 Leyenburg,7750,14910,305.4210226637786,493.58309661850836,460.2138288971376
Leyenburg,7750,14910,305.4210226637786,493.58309661850836,460.2138288971376
Wijk 33 Bouwlust en Vrederust,13450,28635,255.46993301625767,412.8584192775073,384.9466386304865
"Venen, Oorden en Raden",3975,8585,248.4062111820262,401.4429192369948,374.30289694157653
