,Name,BUURTCODE,Food,Green_electricity,nongreen_electricity,Gas,Water,Car,Train,bustram,Clothes,Furniture,Paper
0,Archipelbuurt,46,1037.501557,10.19962537,413.90261200000003,220.51451809999998,7.424707099,2504.463035,92.91268304,62.07120239,31.25360121,234.8556846,40.84714237
1,Arendsdorp,78,1018.181711,9.113999942000001,381.7360784,224.54755559999998,5.636769872,2291.599853,91.94866323,62.22974822,26.79141715,260.2861023,39.10891509
2,Belgisch Park,71,1056.78101,10.91706284,394.82098110000004,194.907003,6.364744355,2414.062997,95.64621963,65.78003452,31.50716472,240.87730750000003,37.48069575
3,Bezuidenhout-Midden,65,1038.48741,10.79476258,380.8693251,197.11219599999998,6.816835771,2557.098434,91.10785665,60.64353748,30.43126105,239.72419219999998,36.90647376
4,Bezuidenhout-Oost,66,1049.3147470000001,9.596771355,337.0274953,195.5354628,6.992628599999999,2688.038059,91.81721234,60.34153915,30.910343400000002,242.1316406,40.97047392
5,Bezuidenhout-West,64,1028.834265,10.18887605,338.648846,76.51059217,6.642173326,2397.647627,100.7121982,71.42882046,29.19479509,235.441898,24.46772302
6,Binckhorst,60,1190.70012,1.64571267,63.07791361,1.42677095,1.317149634,3274.544267,95.05665473,64.99890405,29.50721171,197.14461530000003,37.2918767
7,Bloemenbuurt-Oost,51,1048.663759,10.05718905,351.2464091,178.2398266,6.202590052000001,2471.456206,92.13426599,61.34403898,29.80046993,215.7745835,36.69767767
8,Bloemenbuurt-West,50,1048.2089839999999,9.214873297999999,345.2680497,186.19367519999997,5.737902007000001,2404.6517949999998,92.19723874,61.54463825,31.0519642,230.099156,40.63358211
9,Bohemen en Meer en Bos,92,1059.647735,9.91381513,419.77532919999993,205.1640401,6.96551387,2415.406919,95.59750437,63.7799163,31.29726657,233.276145,40.82872017
10,Bomenbuurt,52,1050.771717,10.00499359,351.1032773,197.2971594,6.273341831000001,2489.807995,91.93201348,61.11398149,29.235139899999997,216.88468480000003,34.98547796
11,Bosjes van Pex,81,1048.519257,9.870375402,366.43756460000003,199.872,6.294237999,2485.749228,94.68498245,64.07736409,32.028836600000005,240.83735359999997,44.46688243
12,Bosweide,108,1037.577042,12.9124181,394.0523056,0.0,4.664133885,2361.06655,90.75700757,62.33627874,25.3756274,261.40602659999996,42.34970264
13,Burgen en Horsten,69,1063.956398,10.68618495,361.9807267,163.7597073,6.491902927000001,2485.509128,92.95568737,61.87178853,30.01473459,245.5681537,26.83221401
14,Componistenbuurt,93,1066.597732,10.96088494,403.1410249,205.2414685,6.841466281000001,2431.126254,95.87328339,64.24478352,31.547228999999998,238.9519534,41.51159733
15,De Bras,115,1026.28442,10.142809800000002,285.17025110000003,4.468625108,4.233083624,2320.455423,88.12268513,59.83197576,26.42339999,257.52691009999995,42.13999842
16,De Lanen,118,1039.588584,10.31059076,296.7195357,92.13890012,4.225665775,2365.396171,87.49310671,59.03114246,26.28471363,261.7807156,38.75201129
