TIME,GEO,"Men's suit, wool (1 suit)",Men's trousers (1 piece),Men's blue jeans (1 piece),Men's shirt (1 piece),"Men's T-shirt, short sleeves (1 piece)",Men's boxer briefs (1 piece),Ladies' top coat (1 piece),"Ladies' blazer, woolmix (1 piece)","Ladies' straight trousers, synthetic (1 piece)",Ladies' jeans (1 piece),Ladies' skirt (1 piece),Ladies' blouse (1 piece),Ladies' T-shirt (1 piece),Ladies' pullover (1 piece),"Brassiere, push-up (1 piece)",Tights (1 piece),Children' s jeans trousers (1 piece),"Children' T-shirt, long sleeves (1 piece)",Girls' skirt (1 piece),Girls' tights (1 piece),Children' socks (1 pair) 
2010,European Union - 27 countries (from 2020),227.91955645161292,46.36134072580645,42.33625,30.15375,14.451250000000002,6.541784274193549,158.19319556451612,60.90917338709677,30.731250000000003,35.585,35.63744959677419,26.4825,12.85625,23.92333669354839,15.85375,2.43375,21.78,10.82125,12.124949596774194,4.540272177419355,1.2375
2010,European Union - 28 countries (2013-2020),218.1048387096774,44.36491935483871,40.51315789473684,28.855263157894736,13.828947368421053,6.26008064516129,151.38104838709674,58.28629032258064,29.407894736842106,34.05263157894737,34.10282258064516,25.342105263157897,12.302631578947368,22.89314516129032,15.171052631578947,2.3289473684210527,20.842105263157894,10.355263157894736,11.60282258064516,4.344758064516128,1.1842105263157894
2010,European Union - 15 countries (1995-2004),218.54104838709677,44.45364919354838,40.594184210526315,28.912973684210527,13.856605263157896,6.272600806451613,151.68381048387096,58.40286290322581,29.466710526315794,34.12073684210526,34.17102822580645,25.392789473684214,12.327236842105263,22.938931451612905,15.201394736842106,2.333605263157895,20.883789473684214,10.375973684210527,11.62602822580645,4.3534475806451605,1.1865789473684212
2010,Euro area - 19 countries  (from 2015),226.82903225806453,46.13951612903226,42.13368421052631,30.009473684210523,14.382105263157895,6.510483870967742,157.43629032258062,60.61774193548386,30.58421052631579,35.41473684210526,35.46693548387096,26.35578947368421,12.794736842105262,23.808870967741935,15.777894736842104,2.4221052631578948,21.67578947368421,10.769473684210526,12.066935483870967,4.518548387096773,1.231578947368421
2010,Euro area - 12 countries (2001-2006),227.0471370967742,46.18388104838709,42.17419736842105,30.03832894736842,14.395934210526315,6.516743951612903,157.5876713709677,60.67602822580645,30.613618421052635,35.44878947368421,35.501038306451605,26.38113157894737,12.80703947368421,23.831764112903222,15.793065789473683,2.4244342105263157,21.69663157894737,10.77982894736842,12.07853830645161,4.52289314516129,1.232763157894737
2010,Belgium,253.87403225806455,51.64076612903226,47.157315789473685,33.587526315789475,16.096894736842106,7.286733870967742,176.20754032258066,67.84524193548387,34.23078947368422,39.63726315789474,39.69568548387097,29.498210526315795,14.320263157894736,26.64762096774194,17.659105263157898,2.7108947368421057,24.26021052631579,12.053526315789474,13.505685483870968,5.057298387096774,1.378421052631579
2010,Bulgaria,165.75967741935483,33.71733870967741,30.79,21.93,10.51,4.75766129032258,115.04959677419353,44.29758064516128,22.35,25.88,25.918145161290322,19.26,9.35,17.398790322580645,11.53,1.77,15.84,7.87,8.818145161290323,3.3020161290322574,0.90
2010,Czechia,216.36,44.01,36.33,21.72,12.78,6.21,150.17,57.82,32.65,34.76,33.83,24.94,12.90,22.71,17.87,1.54,16.01,7.35,11.51,4.31,1.33
2010,Denmark,286.3716532258065,58.251139112903225,53.19377631578948,37.88696052631579,18.157407894736846,8.219485887096775,198.76331653225805,76.52989919354839,38.612565789473685,44.7111052631579,44.77700604838709,33.27418421052632,16.153355263157895,30.058699596774197,19.91959210526316,3.057907894736842,27.36568421052632,13.596460526315791,15.234506048387098,5.704667338709678,1.5548684210526318
2010,Germany (until 1990 former territory of the FRG),229.0100806451613,46.58316532258065,42.53881578947368,30.298026315789475,14.520394736842105,6.573084677419354,158.9501008064516,61.20060483870968,30.87828947368421,35.75526315789474,35.807963709677416,26.609210526315792,12.917763157894736,24.03780241935484,15.929605263157892,2.4453947368421054,21.88421052631579,10.873026315789474,12.182963709677418,4.561995967741935,1.243421052631579
2010,Estonia,222.46693548387097,45.252217741935475,41.32342105263158,29.432368421052633,14.105526315789474,6.385282258064516,154.40866935483868,59.45201612903226,29.99605263157895,34.73368421052631,34.78487903225806,25.848947368421054,12.548684210526314,23.35100806451613,15.474473684210526,2.3755263157894735,21.258947368421055,10.562368421052632,11.834879032258064,4.431653225806451,1.2078947368421051
2010,Ireland,210.03495967741935,42.72341733870967,39.014171052631575,27.78761842105263,13.317276315789472,6.0284576612903225,145.77994959677417,56.12969758064516,28.319802631578952,32.79268421052631,32.841018145161286,24.404447368421053,11.847434210526316,22.046098790322578,14.609723684210525,2.242776315789474,20.070947368421052,9.972118421052631,11.17351814516129,4.184002016129032,1.1403947368421052
2010,Greece,235.77133064516127,47.95847782258064,43.794723684210524,31.192539473684207,14.949092105263157,6.767147177419354,163.6429133064516,63.00747983870967,31.789934210526315,36.8108947368421,36.865151209677414,27.394815789473682,13.299144736842104,24.747489919354837,16.399907894736838,2.517592105263158,22.530315789473683,11.19403947368421,12.54265120967742,4.696683467741935,1.2801315789473684
2010,Spain,205.01854838709676,41.70302419354838,38.08236842105263,27.123947368421053,12.999210526315789,5.884475806451613,142.29818548387095,54.789112903225806,27.64342105263158,32.009473684210526,32.05665322580645,23.821578947368423,11.564473684210526,21.519556451612907,14.26078947368421,2.1892105263157893,19.591578947368422,9.733947368421052,10.906653225806451,4.084072580645161,1.1131578947368421
