"COICOP","GEO","UNIT","TIME","Value","Flag and Footnotes"
"Men's boxer briefs (1 piece)","Cyprus","Euro","2015","9.93",""
"Men's boxer briefs (1 piece)","Lithuania","Euro","2015","6.85",""
"Men's boxer briefs (1 piece)","Malta","Euro","2015","5.64",""
"Men's boxer briefs (1 piece)","Netherlands","Euro","2015","7.49",""
"Men's boxer briefs (1 piece)","Poland","Euro","2015","4.76","d"
"Men's boxer briefs (1 piece)","Romania","Euro","2015",":",""
"Men's boxer briefs (1 piece)","Slovenia","Euro","2015","10.56","d"
"Men's boxer briefs (1 piece)","Slovakia","Euro","2015","9.05",""
"Men's boxer briefs (1 piece)","Finland","Euro","2015",":",""
"Men's boxer briefs (1 piece)","Norway","Euro","2015",":",""
"Men's boxer briefs (1 piece)","Turkey","Euro","2015",":",""
"Ladies' top coat (1 piece)","Bulgaria","Euro","2015",":",""
"Ladies' top coat (1 piece)","Czechia","Euro","2015","150.17",""
"Ladies' top coat (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Ladies' top coat (1 piece)","Spain","Euro","2015",":",""
"Ladies' top coat (1 piece)","Croatia","Euro","2015","165.61","d"
"Ladies' top coat (1 piece)","Italy","Euro","2015","194.26","d"
"Ladies' top coat (1 piece)","Cyprus","Euro","2015","145.67",""
"Ladies' top coat (1 piece)","Lithuania","Euro","2015","189.99",""
"Ladies' top coat (1 piece)","Malta","Euro","2015","92.49",""
"Ladies' top coat (1 piece)","Netherlands","Euro","2015","127.41",""
"Ladies' top coat (1 piece)","Poland","Euro","2015",":",""
"Ladies' top coat (1 piece)","Romania","Euro","2015",":",""
"Ladies' top coat (1 piece)","Slovenia","Euro","2015",":",""
"Ladies' top coat (1 piece)","Slovakia","Euro","2015","134.23",""
"Ladies' top coat (1 piece)","Finland","Euro","2015",":",""
"Ladies' top coat (1 piece)","Norway","Euro","2015",":",""
"Ladies' top coat (1 piece)","Turkey","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Bulgaria","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Czechia","Euro","2015","57.82",""
"Ladies' blazer, woolmix (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Spain","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Croatia","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Italy","Euro","2015","106.18","d"
"Ladies' blazer, woolmix (1 piece)","Cyprus","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Lithuania","Euro","2015","82.11",""
"Ladies' blazer, woolmix (1 piece)","Malta","Euro","2015","75.58",""
"Ladies' blazer, woolmix (1 piece)","Netherlands","Euro","2015","83.75","d"
"Ladies' blazer, woolmix (1 piece)","Poland","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Romania","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Slovenia","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Slovakia","Euro","2015","91.09",""
"Ladies' blazer, woolmix (1 piece)","Finland","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Norway","Euro","2015",":",""
"Ladies' blazer, woolmix (1 piece)","Turkey","Euro","2015","45.65",""
"Ladies' straight trousers, synthetic (1 piece)","Bulgaria","Euro","2015","22.35",""
"Ladies' straight trousers, synthetic (1 piece)","Czechia","Euro","2015","32.65",""
"Ladies' straight trousers, synthetic (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Ladies' straight trousers, synthetic (1 piece)","Spain","Euro","2015",":",""
"Ladies' straight trousers, synthetic (1 piece)","Croatia","Euro","2015",":",""
"Ladies' straight trousers, synthetic (1 piece)","Italy","Euro","2015","58.44","d"
"Ladies' straight trousers, synthetic (1 piece)","Cyprus","Euro","2015","30.85",""
"Ladies' straight trousers, synthetic (1 piece)","Lithuania","Euro","2015","41.47",""
"Ladies' straight trousers, synthetic (1 piece)","Malta","Euro","2015","25.66",""
"Ladies' straight trousers, synthetic (1 piece)","Netherlands","Euro","2015","60.39","d"
"Ladies' straight trousers, synthetic (1 piece)","Poland","Euro","2015",":",""
"Ladies' straight trousers, synthetic (1 piece)","Romania","Euro","2015",":",""
"Ladies' straight trousers, synthetic (1 piece)","Slovenia","Euro","2015","51.29",""
"Ladies' straight trousers, synthetic (1 piece)","Slovakia","Euro","2015","32.06",""
"Ladies' straight trousers, synthetic (1 piece)","Finland","Euro","2015",":",""
"Ladies' straight trousers, synthetic (1 piece)","Norway","Euro","2015",":",""
"Ladies' straight trousers, synthetic (1 piece)","Turkey","Euro","2015",":",""
"Ladies' jeans (1 piece)","Bulgaria","Euro","2015","25.88",""
"Ladies' jeans (1 piece)","Czechia","Euro","2015","34.76",""
"Ladies' jeans (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Ladies' jeans (1 piece)","Spain","Euro","2015",":",""
"Ladies' jeans (1 piece)","Croatia","Euro","2015","42.39","d"
"Ladies' jeans (1 piece)","Italy","Euro","2015",":",""
"Ladies' jeans (1 piece)","Cyprus","Euro","2015","24.16",""
"Ladies' jeans (1 piece)","Lithuania","Euro","2015","43.12",""
"Ladies' jeans (1 piece)","Malta","Euro","2015","27.92",""
"Ladies' jeans (1 piece)","Netherlands","Euro","2015","64.73",""
"Ladies' jeans (1 piece)","Poland","Euro","2015","29.21","d"
"Ladies' jeans (1 piece)","Romania","Euro","2015",":",""
"Ladies' jeans (1 piece)","Slovenia","Euro","2015",":",""
"Ladies' jeans (1 piece)","Slovakia","Euro","2015","41.66",""
"Ladies' jeans (1 piece)","Finland","Euro","2015",":",""
"Ladies' jeans (1 piece)","Norway","Euro","2015","67.04",""
"Ladies' jeans (1 piece)","Turkey","Euro","2015","25.25",""
"Ladies' skirt (1 piece)","Bulgaria","Euro","2015",":",""
"Ladies' skirt (1 piece)","Czechia","Euro","2015","33.83",""
"Ladies' skirt (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Ladies' skirt (1 piece)","Spain","Euro","2015",":",""
"Ladies' skirt (1 piece)","Croatia","Euro","2015",":",""
"Ladies' skirt (1 piece)","Italy","Euro","2015","54.58","d"
"Ladies' skirt (1 piece)","Cyprus","Euro","2015",":",""
"Ladies' skirt (1 piece)","Lithuania","Euro","2015","42.70",""
"Ladies' skirt (1 piece)","Malta","Euro","2015","26.80","d"
"Ladies' skirt (1 piece)","Netherlands","Euro","2015","51.42","d"
"Ladies' skirt (1 piece)","Poland","Euro","2015","35.68","d"
"Ladies' skirt (1 piece)","Romania","Euro","2015",":",""
"Ladies' skirt (1 piece)","Slovenia","Euro","2015",":",""
"Ladies' skirt (1 piece)","Slovakia","Euro","2015","39.31",""
"Ladies' skirt (1 piece)","Finland","Euro","2015",":",""
"Ladies' skirt (1 piece)","Norway","Euro","2015",":",""
"Ladies' skirt (1 piece)","Turkey","Euro","2015","24.53",""
"Ladies' blouse (1 piece)","Bulgaria","Euro","2015","19.26","d"
"Ladies' blouse (1 piece)","Czechia","Euro","2015","24.94",""
"Ladies' blouse (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Ladies' blouse (1 piece)","Spain","Euro","2015",":",""
"Ladies' blouse (1 piece)","Croatia","Euro","2015","34.64","d"
"Ladies' blouse (1 piece)","Italy","Euro","2015","49.44","d"
"Ladies' blouse (1 piece)","Cyprus","Euro","2015","27.36",""
"Ladies' blouse (1 piece)","Lithuania","Euro","2015","34.46",""
"Ladies' blouse (1 piece)","Malta","Euro","2015","27.10",""
"Ladies' blouse (1 piece)","Netherlands","Euro","2015","42.40","d"
"Ladies' blouse (1 piece)","Poland","Euro","2015","17.30",""
"Ladies' blouse (1 piece)","Romania","Euro","2015",":",""
"Ladies' blouse (1 piece)","Slovenia","Euro","2015","39.21","d"
"Ladies' blouse (1 piece)","Slovakia","Euro","2015","29.40",""
"Ladies' blouse (1 piece)","Finland","Euro","2015",":",""
"Ladies' blouse (1 piece)","Norway","Euro","2015","54.80",""
"Ladies' blouse (1 piece)","Turkey","Euro","2015",":",""
"Ladies' T-shirt (1 piece)","Bulgaria","Euro","2015","9.35",""
"Ladies' T-shirt (1 piece)","Czechia","Euro","2015","12.90",""
"Ladies' T-shirt (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Ladies' T-shirt (1 piece)","Spain","Euro","2015",":",""
"Ladies' T-shirt (1 piece)","Croatia","Euro","2015","17.45","d"
"Ladies' T-shirt (1 piece)","Italy","Euro","2015","21.00",""
"Ladies' T-shirt (1 piece)","Cyprus","Euro","2015","8.13",""
"Ladies' T-shirt (1 piece)","Lithuania","Euro","2015","15.85",""
"Ladies' T-shirt (1 piece)","Malta","Euro","2015","14.94",""
"Ladies' T-shirt (1 piece)","Netherlands","Euro","2015","22.46","d"
"Ladies' T-shirt (1 piece)","Poland","Euro","2015",":",""
"Ladies' T-shirt (1 piece)","Romania","Euro","2015",":",""
"Ladies' T-shirt (1 piece)","Slovenia","Euro","2015","21.44",""
"Ladies' T-shirt (1 piece)","Slovakia","Euro","2015","15.65",""
"Ladies' T-shirt (1 piece)","Finland","Euro","2015",":",""
"Ladies' T-shirt (1 piece)","Norway","Euro","2015",":",""
"Ladies' T-shirt (1 piece)","Turkey","Euro","2015","10.98",""
"Ladies' pullover (1 piece)","Bulgaria","Euro","2015",":",""
"Ladies' pullover (1 piece)","Czechia","Euro","2015","22.71",""
"Ladies' pullover (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Ladies' pullover (1 piece)","Spain","Euro","2015",":",""
"Ladies' pullover (1 piece)","Croatia","Euro","2015",":",""
"Ladies' pullover (1 piece)","Italy","Euro","2015","53.17","d"
"Ladies' pullover (1 piece)","Cyprus","Euro","2015","46.04",""
"Ladies' pullover (1 piece)","Lithuania","Euro","2015","37.84",""
"Ladies' pullover (1 piece)","Malta","Euro","2015","31.69",""
"Ladies' pullover (1 piece)","Netherlands","Euro","2015","44.52","d"
"Ladies' pullover (1 piece)","Poland","Euro","2015","33.12","d"
"Ladies' pullover (1 piece)","Romania","Euro","2015",":",""
"Ladies' pullover (1 piece)","Slovenia","Euro","2015",":",""
"Ladies' pullover (1 piece)","Slovakia","Euro","2015","22.96",""
"Ladies' pullover (1 piece)","Finland","Euro","2015",":",""
"Ladies' pullover (1 piece)","Norway","Euro","2015",":",""
"Ladies' pullover (1 piece)","Turkey","Euro","2015","19.54",""
"Brassiere, push-up (1 piece)","Bulgaria","Euro","2015","11.53","d"
"Brassiere, push-up (1 piece)","Czechia","Euro","2015","17.87",""
"Brassiere, push-up (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Brassiere, push-up (1 piece)","Spain","Euro","2015",":",""
"Brassiere, push-up (1 piece)","Croatia","Euro","2015","21.59","d"
"Brassiere, push-up (1 piece)","Italy","Euro","2015","20.56","d"
"Brassiere, push-up (1 piece)","Cyprus","Euro","2015","25.48",""
"Brassiere, push-up (1 piece)","Lithuania","Euro","2015","20.67",""
"Brassiere, push-up (1 piece)","Malta","Euro","2015","19.26",""
"Brassiere, push-up (1 piece)","Netherlands","Euro","2015","27.50",""
"Brassiere, push-up (1 piece)","Poland","Euro","2015","15.54",""
"Brassiere, push-up (1 piece)","Romania","Euro","2015",":",""
"Brassiere, push-up (1 piece)","Slovenia","Euro","2015","26.79",""
"Brassiere, push-up (1 piece)","Slovakia","Euro","2015","20.72",""
"Brassiere, push-up (1 piece)","Finland","Euro","2015",":",""
"Brassiere, push-up (1 piece)","Norway","Euro","2015","20.55",""
"Brassiere, push-up (1 piece)","Turkey","Euro","2015","9.33",""
"Tights (1 piece)","Bulgaria","Euro","2015","1.77",""
"Tights (1 piece)","Czechia","Euro","2015","1.54",""
"Tights (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Tights (1 piece)","Spain","Euro","2015",":",""
"Tights (1 piece)","Croatia","Euro","2015","3.03","d"
"Tights (1 piece)","Italy","Euro","2015","3.76","d"
"Tights (1 piece)","Cyprus","Euro","2015","4.73",""
"Tights (1 piece)","Lithuania","Euro","2015","2.50",""
"Tights (1 piece)","Malta","Euro","2015","4.09","d"
"Tights (1 piece)","Netherlands","Euro","2015","4.26",""
"Tights (1 piece)","Poland","Euro","2015","1.65",""
"Tights (1 piece)","Romania","Euro","2015","2.72",""
"Tights (1 piece)","Slovenia","Euro","2015","4.81","d"
"Tights (1 piece)","Slovakia","Euro","2015","2.42",""
"Tights (1 piece)","Finland","Euro","2015",":",""
"Tights (1 piece)","Norway","Euro","2015","4.37",""
"Tights (1 piece)","Turkey","Euro","2015",":",""
"Children' s jeans trousers (1 piece)","Bulgaria","Euro","2015","15.84","d"
"Children' s jeans trousers (1 piece)","Czechia","Euro","2015","16.01",""
"Children' s jeans trousers (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Children' s jeans trousers (1 piece)","Spain","Euro","2015",":",""
"Children' s jeans trousers (1 piece)","Croatia","Euro","2015","16.29","d"
"Children' s jeans trousers (1 piece)","Italy","Euro","2015","22.52","d"
"Children' s jeans trousers (1 piece)","Cyprus","Euro","2015","16.82",""
"Children' s jeans trousers (1 piece)","Lithuania","Euro","2015","21.89",""
"Children' s jeans trousers (1 piece)","Malta","Euro","2015","17.75",""
"Children' s jeans trousers (1 piece)","Netherlands","Euro","2015","20.64","d"
"Children' s jeans trousers (1 piece)","Poland","Euro","2015","15.99","d"
"Children' s jeans trousers (1 piece)","Romania","Euro","2015",":",""
"Children' s jeans trousers (1 piece)","Slovenia","Euro","2015","21.06","d"
"Children' s jeans trousers (1 piece)","Slovakia","Euro","2015","18.09",""
"Children' s jeans trousers (1 piece)","Finland","Euro","2015",":",""
"Children' s jeans trousers (1 piece)","Norway","Euro","2015","23.09",""
"Children' s jeans trousers (1 piece)","Turkey","Euro","2015","12.54",""
"Children' T-shirt, long sleeves (1 piece)","Bulgaria","Euro","2015","7.87",""
"Children' T-shirt, long sleeves (1 piece)","Czechia","Euro","2015","7.35",""
"Children' T-shirt, long sleeves (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Children' T-shirt, long sleeves (1 piece)","Spain","Euro","2015",":",""
"Children' T-shirt, long sleeves (1 piece)","Croatia","Euro","2015","8.71","d"
"Children' T-shirt, long sleeves (1 piece)","Italy","Euro","2015",":",""
"Children' T-shirt, long sleeves (1 piece)","Cyprus","Euro","2015","10.88",""
"Children' T-shirt, long sleeves (1 piece)","Lithuania","Euro","2015","11.74",""
"Children' T-shirt, long sleeves (1 piece)","Malta","Euro","2015","6.53",""
"Children' T-shirt, long sleeves (1 piece)","Netherlands","Euro","2015","10.29",""
"Children' T-shirt, long sleeves (1 piece)","Poland","Euro","2015","8.73","d"
"Children' T-shirt, long sleeves (1 piece)","Romania","Euro","2015",":",""
"Children' T-shirt, long sleeves (1 piece)","Slovenia","Euro","2015","9.25","d"
"Children' T-shirt, long sleeves (1 piece)","Slovakia","Euro","2015","9.52",""
"Children' T-shirt, long sleeves (1 piece)","Finland","Euro","2015",":",""
"Children' T-shirt, long sleeves (1 piece)","Norway","Euro","2015",":",""
"Children' T-shirt, long sleeves (1 piece)","Turkey","Euro","2015","7.80",""
"Girls' skirt (1 piece)","Bulgaria","Euro","2015",":",""
"Girls' skirt (1 piece)","Czechia","Euro","2015","11.51",""
"Girls' skirt (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Girls' skirt (1 piece)","Spain","Euro","2015",":",""
"Girls' skirt (1 piece)","Croatia","Euro","2015",":",""
"Girls' skirt (1 piece)","Italy","Euro","2015",":",""
"Girls' skirt (1 piece)","Cyprus","Euro","2015","17.26",""
"Girls' skirt (1 piece)","Lithuania","Euro","2015","18.52",""
"Girls' skirt (1 piece)","Malta","Euro","2015","15.76",""
"Girls' skirt (1 piece)","Netherlands","Euro","2015","15.96",""
"Girls' skirt (1 piece)","Poland","Euro","2015","11.76",""
"Girls' skirt (1 piece)","Romania","Euro","2015",":",""
"Girls' skirt (1 piece)","Slovenia","Euro","2015","13.40",""
"Girls' skirt (1 piece)","Slovakia","Euro","2015","13.70",""
"Girls' skirt (1 piece)","Finland","Euro","2015",":",""
"Girls' skirt (1 piece)","Norway","Euro","2015","14.15",""
"Girls' skirt (1 piece)","Turkey","Euro","2015",":",""
"Girls' tights (1 piece)","Bulgaria","Euro","2015",":",""
"Girls' tights (1 piece)","Czechia","Euro","2015","4.31",""
"Girls' tights (1 piece)","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Girls' tights (1 piece)","Spain","Euro","2015",":",""
