,Name,type,Water consumption,Household size,Average area
0,Wijk 02 Belgisch Park,Wijk,71.41574446327778,1.9512485136741973,131.5629013079667
1,Belgisch Park,Buurt,71.41574446327778,1.9512485136741973,131.5629013079667
2,Wijk 03 Westbroekpark en Duttendel,Wijk,80.26698622481547,2.1366120218579234,245.53661202185793
3,Westbroekpark,Buurt,78.99928386147978,1.9775280898876404,245.53661202185793
4,Duttendel,Buurt,81.4430037964879,2.3118279569892475,245.53661202185793
5,Wijk 04 Benoordenhout,Wijk,78.38730857172563,2.1100846805234794,184.08652809853734
6,Nassaubuurt,Buurt,82.01852670121278,2.166666666666667,184.08652809853734
7,Uilennest,Buurt,74.15416321207164,1.834061135371179,184.08652809853734
8,Duinzigt,Buurt,74.20584499768782,1.750877192982456,184.08652809853734
9,Waalsdorp,Buurt,81.23026031782952,2.3591331269349847,184.08652809853734
10,Arendsdorp,Buurt,81.34631621131487,2.5096153846153846,184.08652809853734
11,Van Hoytemastraat en omgeving,Buurt,78.23507000261543,2.3024390243902437,184.08652809853734
12,Wijk 05 Archipelbuurt,Wijk,77.39706822892505,1.812778603268945,157.2407132243685
13,Archipelbuurt,Buurt,77.39706822892505,1.812778603268945,157.2407132243685
14,Wijk 06 Van Stolkpark en Scheveningse Bo,Wijk,80.7068898578361,2.2686567164179103,259.66567164179105
15,Van Stolkpark en Scheveningse Bosjes,Buurt,80.7068898578361,2.2686567164179103,259.66567164179105
16,Wijk 07 Scheveningen,Wijk,67.51172380188746,1.8467269824374668,114.13602980308674
17,Oud Scheveningen,Buurt,66.25541396608676,1.7859327217125383,114.13602980308674
18,Vissershaven,Buurt,66.59025185794033,1.9777777777777779,114.13602980308674
19,Scheveningen Badplaats,Buurt,68.44423580972168,1.7936772046589018,114.13602980308674
20,Visserijbuurt,Buurt,67.94066518078918,1.8829268292682928,114.13602980308674
21,Rijslag,Buurt,69.86520153133861,1.7988826815642458,114.13602980308674
22,Wijk 08 Duindorp,Wijk,66.16258536288561,2.093145869947276,88.49841827768014
23,Duindorp,Buurt,66.16258536288561,2.093145869947276,88.49841827768014
24,Wijk 09 Geuzen- en Statenkwartier,Wijk,74.65917012220281,2.090706319702602,154.63182156133828
25,Statenkwartier,Buurt,76.93142025681877,2.131201764057332,154.63182156133828
26,Geuzenkwartier,Buurt,68.38137962650839,2.0045662100456623,154.63182156133828
27,Wijk 10 Zorgvliet,Wijk,83.71961334268086,1.923076923076923,282.62307692307695
28,Zorgvliet,Buurt,83.71961334268086,1.923076923076923,282.62307692307695
29,Wijk 11 Duinoord,Wijk,72.1543722444505,1.8757539203860074,140.82364294330517
30,Stadhoudersplantsoen,Buurt,70.14924439283907,1.7268722466960351,140.82364294330517
31,Sweelinckplein en omgeving,Buurt,72.27826041631546,1.9334442595673877,140.82364294330517
32,Wijk 12 Bomen- en Bloemenbuurt,Wijk,69.17579884755652,1.9573048699132756,118.2775183455637
33,Bloemenbuurt-West,Buurt,71.82256948697943,2.1767441860465118,118.2775183455637
34,Bloemenbuurt-Oost,Buurt,68.88265722585987,1.9312406576980568,118.2775183455637
35,Bomenbuurt,Buurt,69.02984658827951,1.9135399673735727,118.2775183455637
36,Wijk 13 Vogelwijk,Wijk,80.19271820270274,2.6161369193154034,178.49828850855747
37,Vogelwijk,Buurt,80.19271820270274,2.6161369193154034,178.49828850855747
38,Wijk 14 Bohemen en Meer en Bos,Wijk,68.91753948387843,1.7402135231316724,111.79928825622775
39,Bosjes van Pex,Buurt,72.38916617692172,2.0,111.79928825622775
40,Bohemen en Meer en Bos,Buurt,68.8296433790858,1.718390804597701,111.79928825622775
41,Wijk 15 Kijkduin en Ockenburgh,Wijk,75.38180586135178,2.2018779342723005,162.86478873239437
42,Ockenburgh,Buurt,76.40115592476656,2.741379310344828,162.86478873239437
43,Kijkduin,Buurt,74.53039211572481,2.0,162.86478873239437
44,Wijk 16 Kraayenstein en de Uithof,Wijk,72.43888562859502,2.322134387351779,165.89446640316206
45,Kraayenstein,Buurt,72.43888562859502,2.322134387351779,165.89446640316206
46,Wijk 17 Loosduinen,Wijk,67.9388712940089,2.1402877697841727,106.42470023980816
47,Houtwijk,Buurt,68.74927434299684,2.2974910394265233,106.42470023980816
48,Kom Loosduinen,Buurt,64.7258241888105,1.8058076225045372,106.42470023980816
49,Wijk 18 Waldeck,Wijk,65.91508261967849,1.8660860097985847,105.64148067501361
50,Waldeck-Zuid,Buurt,65.2964052997939,1.7543103448275863,105.64148067501361
51,Nieuw Waldeck,Buurt,65.5429032959585,2.105109489051095,105.64148067501361
52,Rosenburg,Buurt,65.53976630147008,1.8774193548387097,105.64148067501361
53,Componistenbuurt,Buurt,69.70681712075813,1.7718446601941746,105.64148067501361
54,Waldeck-Noord,Buurt,66.14351986525567,1.563275434243176,105.64148067501361
55,Wijk 19 Vruchtenbuurt,Wijk,71.51593091292315,2.1837416481069045,121.32093541202673
56,Vruchtenbuurt,Buurt,71.85727635372827,2.2602523659305995,121.32093541202673
57,Eykenduinen,Buurt,69.26738246121322,1.996212121212121,121.32093541202673
