Name,type,Water consumption,Household size,Average area,BUURTCODE
Spoorwijk,Buurt,64.33262726290248,2.417827298050139,75.54133207368918,23
Laakkwartier-West,Buurt,63.309140255549195,2.0704225352112675,75.54133207368918,24
Laakkwartier-Oost,Buurt,62.19263999449167,1.9396031061259706,75.54133207368918,25
Noordpolderbuurt,Buurt,60.4918699445805,1.9892729439809296,75.54133207368918,26
Binckhorst,Buurt,58.94686713541921,7.782608695652174,234.9217391304348,60
Erasmus Veld,Buurt,71.52692617726275,2.835526315789474,146.849020846494,101
Hoge Veld,Buurt,72.22420595052505,2.8198051948051948,146.849020846494,102
Parkbuurt oosteinde,Buurt,76.89168232391248,2.805668016194332,146.849020846494,103
Lage Veld,Buurt,71.33573029134229,2.5891238670694867,146.849020846494,104
Zonne Veld,Buurt,72.8578750012521,2.927659574468085,146.849020846494,105
Vlietzoom-West,Buurt,72.64429376709761,2.0,117.16410256410256,106
Bosweide,Buurt,83.30697251961313,3.106060606060606,138.5175763645468,108
De Venen,Buurt,70.83240164701354,2.3245033112582782,138.5175763645468,111
Morgenweide,Buurt,72.15196427584785,2.5945454545454547,138.5175763645468,112
Singels,Buurt,72.47160977895355,2.6516587677725116,138.5175763645468,113
Waterbuurt,Buurt,71.28158556057703,2.630853994490358,138.5175763645468,114
De Bras,Buurt,75.60888103964977,3.1061007957559683,138.5175763645468,115
Vlietzoom-Oost,Buurt,76.17275021648867,2.2222222222222223,177.07272727272726,116
De Lanen,Buurt,74.67447396455884,3.0730994152046787,144.9073407202216,118
De Velden,Buurt,73.63585956021852,2.74025974025974,144.9073407202216,119
De Vissen,Buurt,73.52670898785294,2.802306425041186,144.9073407202216,120
Rietbuurt,Buurt,74.76195610850147,2.9783783783783786,144.9073407202216,121
