"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2011","United Kingdom","Current prices, million euro","Newspapers, books and stationery","13 268.0",""
"2011","Iceland","Current prices, million euro","Newspapers, books and stationery","77.2",""
"2011","Norway","Current prices, million euro","Newspapers, books and stationery","2 281.8",""
"2011","Switzerland","Current prices, million euro","Newspapers, books and stationery",":","c"
"2011","Montenegro","Current prices, million euro","Newspapers, books and stationery",":","c"
"2011","North Macedonia","Current prices, million euro","Newspapers, books and stationery","14.3",""
"2011","Albania","Current prices, million euro","Newspapers, books and stationery",":",""
"2011","Serbia","Current prices, million euro","Newspapers, books and stationery","202.1",""
"2011","Turkey","Current prices, million euro","Newspapers, books and stationery",":","c"
"2011","Bosnia and Herzegovina","Current prices, million euro","Newspapers, books and stationery",":",""
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Newspapers, books and stationery","42.2",""
"2012","European Union - 27 countries (from 2020)","Current prices, million euro","Newspapers, books and stationery","78 911.7",""
"2012","European Union - 28 countries (2013-2020)","Current prices, million euro","Newspapers, books and stationery","92 620.4",""
"2012","European Union - 15 countries (1995-2004)","Current prices, million euro","Newspapers, books and stationery","84 754.4",""
"2012","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Newspapers, books and stationery","69 344.2",""
"2012","Euro area - 19 countries  (from 2015)","Current prices, million euro","Newspapers, books and stationery","69 685.4",""
"2012","Euro area - 12 countries (2001-2006)","Current prices, million euro","Newspapers, books and stationery","67 967.3",""
"2012","Belgium","Current prices, million euro","Newspapers, books and stationery","2 403.7",""
"2012","Bulgaria","Current prices, million euro","Newspapers, books and stationery","220.7",""
"2012","Czechia","Current prices, million euro","Newspapers, books and stationery","601.3",""
"2012","Denmark","Current prices, million euro","Newspapers, books and stationery","1 314.0",""
"2012","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Newspapers, books and stationery","24 334.0",""
"2012","Estonia","Current prices, million euro","Newspapers, books and stationery","96.7",""
"2012","Ireland","Current prices, million euro","Newspapers, books and stationery","973.0",""
"2012","Greece","Current prices, million euro","Newspapers, books and stationery","982.2","p"
"2012","Spain","Current prices, million euro","Newspapers, books and stationery","5 098.0",""
"2012","France","Current prices, million euro","Newspapers, books and stationery","15 475.0",""
"2012","Croatia","Current prices, million euro","Newspapers, books and stationery","509.4",""
"2012","Italy","Current prices, million euro","Newspapers, books and stationery","9 787.4",""
"2012","Cyprus","Current prices, million euro","Newspapers, books and stationery","138.0",""
"2012","Latvia","Current prices, million euro","Newspapers, books and stationery","139.1",""
"2012","Lithuania","Current prices, million euro","Newspapers, books and stationery","202.1",""
"2012","Luxembourg","Current prices, million euro","Newspapers, books and stationery","163.6",""
"2012","Hungary","Current prices, million euro","Newspapers, books and stationery","609.1",""
"2012","Malta","Current prices, million euro","Newspapers, books and stationery","61.5",""
"2012","Netherlands","Current prices, million euro","Newspapers, books and stationery","3 718.0",""
"2012","Austria","Current prices, million euro","Newspapers, books and stationery","2 171.9",""
"2012","Poland","Current prices, million euro","Newspapers, books and stationery","3 419.2",""
"2012","Portugal","Current prices, million euro","Newspapers, books and stationery","1 336.8",""
"2012","Romania","Current prices, million euro","Newspapers, books and stationery","788.3",""
"2012","Slovenia","Current prices, million euro","Newspapers, books and stationery","213.7",""
"2012","Slovakia","Current prices, million euro","Newspapers, books and stationery","867.1",""
"2012","Finland","Current prices, million euro","Newspapers, books and stationery","1 540.0",""
"2012","Sweden","Current prices, million euro","Newspapers, books and stationery","1 764.3",""
"2012","United Kingdom","Current prices, million euro","Newspapers, books and stationery","13 708.7",""
"2012","Iceland","Current prices, million euro","Newspapers, books and stationery","85.0",""
"2012","Norway","Current prices, million euro","Newspapers, books and stationery","2 350.9",""
"2012","Switzerland","Current prices, million euro","Newspapers, books and stationery",":","c"
"2012","Montenegro","Current prices, million euro","Newspapers, books and stationery",":","c"
"2012","North Macedonia","Current prices, million euro","Newspapers, books and stationery","9.4",""
"2012","Albania","Current prices, million euro","Newspapers, books and stationery",":",""
"2012","Serbia","Current prices, million euro","Newspapers, books and stationery","177.2",""
"2012","Turkey","Current prices, million euro","Newspapers, books and stationery",":","c"
"2012","Bosnia and Herzegovina","Current prices, million euro","Newspapers, books and stationery",":",""
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Newspapers, books and stationery","46.6",""
"2013","European Union - 27 countries (from 2020)","Current prices, million euro","Newspapers, books and stationery","76 769.5",""
"2013","European Union - 28 countries (2013-2020)","Current prices, million euro","Newspapers, books and stationery","90 407.3",""
"2013","European Union - 15 countries (1995-2004)","Current prices, million euro","Newspapers, books and stationery","82 650.0",""
"2013","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Newspapers, books and stationery","67 292.9",""
"2013","Euro area - 19 countries  (from 2015)","Current prices, million euro","Newspapers, books and stationery","67 624.8",""
"2013","Euro area - 12 countries (2001-2006)","Current prices, million euro","Newspapers, books and stationery","65 974.8",""
"2013","Belgium","Current prices, million euro","Newspapers, books and stationery","2 360.3",""
"2013","Bulgaria","Current prices, million euro","Newspapers, books and stationery","218.7",""
"2013","Czechia","Current prices, million euro","Newspapers, books and stationery","598.4",""
"2013","Denmark","Current prices, million euro","Newspapers, books and stationery","1 290.4",""
"2013","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Newspapers, books and stationery","24 308.0",""
"2013","Estonia","Current prices, million euro","Newspapers, books and stationery","104.8",""
"2013","Ireland","Current prices, million euro","Newspapers, books and stationery","880.1",""
"2013","Greece","Current prices, million euro","Newspapers, books and stationery","873.7","p"
"2013","Spain","Current prices, million euro","Newspapers, books and stationery","4 759.0",""
"2013","France","Current prices, million euro","Newspapers, books and stationery","15 069.0",""
"2013","Croatia","Current prices, million euro","Newspapers, books and stationery","518.4",""
"2013","Italy","Current prices, million euro","Newspapers, books and stationery","8 903.0",""
"2013","Cyprus","Current prices, million euro","Newspapers, books and stationery","90.3",""
"2013","Latvia","Current prices, million euro","Newspapers, books and stationery","129.8",""
"2013","Lithuania","Current prices, million euro","Newspapers, books and stationery","202.0",""
"2013","Luxembourg","Current prices, million euro","Newspapers, books and stationery","166.2",""
"2013","Hungary","Current prices, million euro","Newspapers, books and stationery","586.3",""
"2013","Malta","Current prices, million euro","Newspapers, books and stationery","56.9",""
"2013","Netherlands","Current prices, million euro","Newspapers, books and stationery","3 626.0",""
"2013","Austria","Current prices, million euro","Newspapers, books and stationery","2 215.5",""
"2013","Poland","Current prices, million euro","Newspapers, books and stationery","3 404.7",""
"2013","Portugal","Current prices, million euro","Newspapers, books and stationery","1 263.0",""
"2013","Romania","Current prices, million euro","Newspapers, books and stationery","780.7",""
"2013","Slovenia","Current prices, million euro","Newspapers, books and stationery","207.9",""
"2013","Slovakia","Current prices, million euro","Newspapers, books and stationery","858.2",""
"2013","Finland","Current prices, million euro","Newspapers, books and stationery","1 551.0",""
"2013","Sweden","Current prices, million euro","Newspapers, books and stationery","1 747.0",""
"2013","United Kingdom","Current prices, million euro","Newspapers, books and stationery","13 637.8",""
"2013","Iceland","Current prices, million euro","Newspapers, books and stationery","86.6",""
"2013","Norway","Current prices, million euro","Newspapers, books and stationery","2 316.3",""
"2013","Switzerland","Current prices, million euro","Newspapers, books and stationery",":",""
"2013","Montenegro","Current prices, million euro","Newspapers, books and stationery",":","c"
"2013","North Macedonia","Current prices, million euro","Newspapers, books and stationery","10.1","e"
"2013","Albania","Current prices, million euro","Newspapers, books and stationery",":",""
"2013","Serbia","Current prices, million euro","Newspapers, books and stationery","178.1",""
"2013","Turkey","Current prices, million euro","Newspapers, books and stationery",":","c"
"2013","Bosnia and Herzegovina","Current prices, million euro","Newspapers, books and stationery",":",""
