"TIME","GEO","DAIRYPROD","MILKITEM","Value","Flag and Footnotes"
"2009","Germany (until 1990 former territory of the FRG)","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","-213.85",""
"2009","Germany (until 1990 former territory of the FRG)","Manufactured products","Utilization of whole milk (1 000 t)","19 346.50",""
"2009","Estonia","Fresh products","Products obtained (1 000 t)","161.96",""
"2009","Estonia","Fresh products","Fat content (t)","9 394.60",""
"2009","Estonia","Fresh products","Protein content (t)",":",""
"2009","Estonia","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","-83.30",""
"2009","Estonia","Fresh products","Utilization of whole milk (1 000 t)","236.20",""
"2009","Estonia","Manufactured products","Products obtained (1 000 t)","297.44",""
"2009","Estonia","Manufactured products","Fat content (t)","14 805.00",""
"2009","Estonia","Manufactured products","Protein content (t)",":",""
"2009","Estonia","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","66.70",""
"2009","Estonia","Manufactured products","Utilization of whole milk (1 000 t)","370.40",""
"2009","Ireland","Fresh products","Products obtained (1 000 t)","543.85",""
"2009","Ireland","Fresh products","Fat content (t)",":",""
"2009","Ireland","Fresh products","Protein content (t)",":",""
"2009","Ireland","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","14.07",""
"2009","Ireland","Fresh products","Utilization of whole milk (1 000 t)",":",""
"2009","Ireland","Manufactured products","Products obtained (1 000 t)","493.40",""
"2009","Ireland","Manufactured products","Fat content (t)",":",""
"2009","Ireland","Manufactured products","Protein content (t)",":",""
"2009","Ireland","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","1 856.47",""
"2009","Ireland","Manufactured products","Utilization of whole milk (1 000 t)","3 400.21",""
"2009","Greece","Fresh products","Products obtained (1 000 t)","698.70",""
"2009","Greece","Fresh products","Fat content (t)","25 895.90",""
"2009","Greece","Fresh products","Protein content (t)",":",""
"2009","Greece","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","75.50",""
"2009","Greece","Fresh products","Utilization of whole milk (1 000 t)","671.10",""
"2009","Greece","Manufactured products","Products obtained (1 000 t)","218.20",""
"2009","Greece","Manufactured products","Fat content (t)","54 832.00",""
"2009","Greece","Manufactured products","Protein content (t)",":",""
"2009","Greece","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","Greece","Manufactured products","Utilization of whole milk (1 000 t)","1 007.70",""
"2009","Spain","Fresh products","Products obtained (1 000 t)",":","c"
"2009","Spain","Fresh products","Fat content (t)","146 916.90",""
"2009","Spain","Fresh products","Protein content (t)",":",""
"2009","Spain","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","1 000.20",""
"2009","Spain","Fresh products","Utilization of whole milk (1 000 t)","3 930.90",""
"2009","Spain","Manufactured products","Products obtained (1 000 t)",":","c"
"2009","Spain","Manufactured products","Fat content (t)","124 252.20",""
"2009","Spain","Manufactured products","Protein content (t)",":",""
"2009","Spain","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","-627.20",""
"2009","Spain","Manufactured products","Utilization of whole milk (1 000 t)","2 848.30",""
"2009","France","Fresh products","Products obtained (1 000 t)","6 327.58",""
"2009","France","Fresh products","Fat content (t)","208 659.48",""
"2009","France","Fresh products","Protein content (t)",":",""
"2009","France","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","1 276.50",""
"2009","France","Fresh products","Utilization of whole milk (1 000 t)","4 984.54",""
"2009","France","Manufactured products","Products obtained (1 000 t)","3 525.14",""
"2009","France","Manufactured products","Fat content (t)","760 964.24",""
"2009","France","Manufactured products","Protein content (t)",":",""
"2009","France","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","-855.39",""
"2009","France","Manufactured products","Utilization of whole milk (1 000 t)","18 871.09",""
"2009","Croatia","Fresh products","Products obtained (1 000 t)","466.47",""
"2009","Croatia","Fresh products","Fat content (t)","18 274.60",""
"2009","Croatia","Fresh products","Protein content (t)",":",""
"2009","Croatia","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","-28.60",""
"2009","Croatia","Fresh products","Utilization of whole milk (1 000 t)","536.46",""
"2009","Croatia","Manufactured products","Products obtained (1 000 t)",":","c"
"2009","Croatia","Manufactured products","Fat content (t)","11 755.53",""
"2009","Croatia","Manufactured products","Protein content (t)",":",""
"2009","Croatia","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","-16.45",""
"2009","Croatia","Manufactured products","Utilization of whole milk (1 000 t)","406.92",""
"2009","Italy","Fresh products","Products obtained (1 000 t)","3 181.82",""
"2009","Italy","Fresh products","Fat content (t)","119 356.47",""
"2009","Italy","Fresh products","Protein content (t)",":",""
"2009","Italy","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","12.61",""
"2009","Italy","Fresh products","Utilization of whole milk (1 000 t)","15.88",""
"2009","Italy","Manufactured products","Products obtained (1 000 t)",":","c"
"2009","Italy","Manufactured products","Fat content (t)","382 253.35",""
"2009","Italy","Manufactured products","Protein content (t)",":",""
"2009","Italy","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","-1 891.57",""
"2009","Italy","Manufactured products","Utilization of whole milk (1 000 t)","11 660.56",""
"2009","Cyprus","Fresh products","Products obtained (1 000 t)","90.83",""
"2009","Cyprus","Fresh products","Fat content (t)","4 451.31",""
"2009","Cyprus","Fresh products","Protein content (t)",":",""
"2009","Cyprus","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","Cyprus","Fresh products","Utilization of whole milk (1 000 t)","89.60",""
"2009","Cyprus","Manufactured products","Products obtained (1 000 t)","32.04",""
"2009","Cyprus","Manufactured products","Fat content (t)","543.23",""
"2009","Cyprus","Manufactured products","Protein content (t)",":",""
"2009","Cyprus","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","Cyprus","Manufactured products","Utilization of whole milk (1 000 t)","95.65",""
"2009","Latvia","Fresh products","Products obtained (1 000 t)","148.05",""
"2009","Latvia","Fresh products","Fat content (t)","6 517.17",""
"2009","Latvia","Fresh products","Protein content (t)",":",""
