Name,BUURTCODE,Population,Consumptionpercapita,Total Consumption
Zonne Veld,105,3440,13.582216294544144,46722.82405323186
Vlietzoom-West,106,170,19.047430268946272,3238.063145720866
Bosweide,108,2050,13.556070606421388,27789.944743163844
De Venen,111,1755,17.626486985228468,30934.48465907596
Morgenweide,112,7135,14.008086733738036,99947.69884522089
Singels,113,5595,13.656262523102193,76406.78881675677
Waterbuurt,114,4775,16.577322637816938,79156.71559557588
De Bras,115,5855,14.110489734741293,82616.91739691027
Vlietzoom-Oost,116,100,15.838837982712768,1583.8837982712769
De Lanen,118,5255,17.949888570384616,94326.66443737116
De Velden,119,4220,14.209086324667783,59962.344290098044
De Vissen,120,8505,14.424246194908138,122678.21388769371
Rietbuurt,121,2755,19.447788670654152,53578.65778765219
