Name,Type,code,food,Amount per day
Duinzigt,Buurt,BU05180476,050700. Unclassified creams,8575.7
Waalsdorp,Buurt,BU05180477,050700. Unclassified creams,11179.6
Arendsdorp,Buurt,BU05180478,050700. Unclassified creams,3940.1
Van Hoytemastraat en omgeving,Buurt,BU05180479,050700. Unclassified creams,6958
Wijk 05 Archipelbuurt,Wijk,WK051805,050700. Unclassified creams,20432.9
Archipelbuurt,Buurt,BU05180546,050700. Unclassified creams,20432.9
Wijk 06 Van Stolkpark en Scheveningse Bo,Wijk,WK051806,050700. Unclassified creams,2471.1
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,050700. Unclassified creams,2471.1
Wijk 07 Scheveningen,Wijk,WK051807,050700. Unclassified creams,74399.8
Oud Scheveningen,Buurt,BU05180701,050700. Unclassified creams,12743
Vissershaven,Buurt,BU05180702,050700. Unclassified creams,14995.1
Scheveningen Badplaats,Buurt,BU05180703,050700. Unclassified creams,23195.7
Visserijbuurt,Buurt,BU05180704,050700. Unclassified creams,16412.5
Rijslag,Buurt,BU05180772,050700. Unclassified creams,6926.4
Wijk 08 Duindorp,Wijk,WK051808,050700. Unclassified creams,28574.1
Duindorp,Buurt,BU05180800,050700. Unclassified creams,28574.1
Wijk 09 Geuzen- en Statenkwartier,Wijk,WK051809,050700. Unclassified creams,47314.7
Statenkwartier,Buurt,BU05180907,050700. Unclassified creams,32143.9
Geuzenkwartier,Buurt,BU05180908,050700. Unclassified creams,15170.7
Wijk 10 Zorgvliet,Wijk,WK051810,050700. Unclassified creams,2320
Zorgvliet,Buurt,BU05181041,050700. Unclassified creams,2320
Wijk 11 Duinoord,Wijk,WK051811,050700. Unclassified creams,23575.8
Stadhoudersplantsoen,Buurt,BU05181142,050700. Unclassified creams,6037.8
Sweelinckplein en omgeving,Buurt,BU05181143,050700. Unclassified creams,17514.2
Wijk 12 Bomen- en Bloemenbuurt,Wijk,WK051812,050700. Unclassified creams,56582.4
Bloemenbuurt-West,Buurt,BU05181250,050700. Unclassified creams,9000.7
Bloemenbuurt-Oost,Buurt,BU05181251,050700. Unclassified creams,24887.8
Bomenbuurt,Buurt,BU05181252,050700. Unclassified creams,22643.6
Wijk 13 Vogelwijk,Wijk,WK051813,050700. Unclassified creams,17193.1
Vogelwijk,Buurt,BU05181309,050700. Unclassified creams,17193.1
Wijk 14 Bohemen en Meer en Bos,Wijk,WK051814,050700. Unclassified creams,19384.4
Bosjes van Pex,Buurt,BU05181481,050700. Unclassified creams,1495.8
Bohemen en Meer en Bos,Buurt,BU05181492,050700. Unclassified creams,17855.7
Wijk 15 Kijkduin en Ockenburgh,Wijk,WK051815,050700. Unclassified creams,9777.3
Ockenburgh,Buurt,BU05181590,050700. Unclassified creams,3118.7
Kijkduin,Buurt,BU05181591,050700. Unclassified creams,6564.9
Wijk 16 Kraayenstein en de Uithof,Wijk,WK051816,050700. Unclassified creams,24004
Kraayenstein,Buurt,BU05181697,050700. Unclassified creams,24004
Wijk 17 Loosduinen,Wijk,WK051817,050700. Unclassified creams,82033.1
Kerketuinen en Zichtenburg,Buurt,BU05181785,050700. Unclassified creams,270.5
Houtwijk,Buurt,BU05181786,050700. Unclassified creams,57905.9
Kom Loosduinen,Buurt,BU05181795,050700. Unclassified creams,23798.6
Wijk 18 Waldeck,Wijk,WK051818,050700. Unclassified creams,80104.8
Waldeck-Zuid,Buurt,BU05181806,050700. Unclassified creams,9457.2
Nieuw Waldeck,Buurt,BU05181840,050700. Unclassified creams,31917.3
Rosenburg,Buurt,BU05181882,050700. Unclassified creams,14038.7
Componistenbuurt,Buurt,BU05181893,050700. Unclassified creams,8660.9
Waldeck-Noord,Buurt,BU05181894,050700. Unclassified creams,15858.4
Wijk 19 Vruchtenbuurt,Wijk,WK051819,050700. Unclassified creams,36061.9
Vruchtenbuurt,Buurt,BU05181953,050700. Unclassified creams,26040.8
Eykenduinen,Buurt,BU05181983,050700. Unclassified creams,9981.4
Wijk 20 Valkenboskwartier,Wijk,WK051820,050700. Unclassified creams,76356.3
Heesterbuurt,Buurt,BU05182054,050700. Unclassified creams,28204.8
Valkenboskwartier,Buurt,BU05182055,050700. Unclassified creams,48151.5
Wijk 21 Regentessekwartier,Wijk,WK051821,050700. Unclassified creams,52792
Rond de Energiecentrale,Buurt,BU05182110,050700. Unclassified creams,23300.8
Koningsplein en omgeving,Buurt,BU05182144,050700. Unclassified creams,29476.8
Wijk 22 Zeeheldenkwartier,Wijk,WK051822,050700. Unclassified creams,45713.1
Zeeheldenkwartier,Buurt,BU05182245,050700. Unclassified creams,45713.1
Wijk 23 Willemspark,Wijk,WK051823,050700. Unclassified creams,5427.5
Willemspark,Buurt,BU05182347,050700. Unclassified creams,5427.5
Wijk 24 Haagse Bos,Wijk,WK051824,050700. Unclassified creams,2146.1
Haagse Bos,Buurt,BU05182449,050700. Unclassified creams,2146.1
Wijk 25 Mariahoeve en Marlot,Wijk,WK051825,050700. Unclassified creams,65523.8
Landen,Buurt,BU05182561,050700. Unclassified creams,22666.5
Kampen,Buurt,BU05182567,050700. Unclassified creams,11001.9
Marlot,Buurt,BU05182568,050700. Unclassified creams,3254.4
Burgen en Horsten,Buurt,BU05182569,050700. Unclassified creams,28391
Wijk 26 Bezuidenhout,Wijk,WK051826,050700. Unclassified creams,61778.2
Bezuidenhout-West,Buurt,BU05182664,050700. Unclassified creams,12449.7
Bezuidenhout-Midden,Buurt,BU05182665,050700. Unclassified creams,15197.5
Bezuidenhout-Oost,Buurt,BU05182666,050700. Unclassified creams,34012.9
Wijk 27 Stationsbuurt,Wijk,WK051827,050700. Unclassified creams,53366.4
Huygenspark,Buurt,BU05182718,050700. Unclassified creams,33412.2
Rivierenbuurt-Zuid,Buurt,BU05182762,050700. Unclassified creams,3893.3
Rivierenbuurt-Noord,Buurt,BU05182763,050700. Unclassified creams,16005.7
Wijk 28 Centrum,Wijk,WK051828,050700. Unclassified creams,83637.4
Kortenbos,Buurt,BU05182811,050700. Unclassified creams,30418.2
Voorhout,Buurt,BU05182812,050700. Unclassified creams,10349.6
Uilebomen,Buurt,BU05182813,050700. Unclassified creams,13351.5
Zuidwal,Buurt,BU05182814,050700. Unclassified creams,29429.7
Wijk 29 Schildersbuurt,Wijk,WK051829,050700. Unclassified creams,158720.3
Schildersbuurt-West,Buurt,BU05182915,050700. Unclassified creams,71661.2
Schildersbuurt-Noord,Buurt,BU05182916,050700. Unclassified creams,50648.5
Schildersbuurt-Oost,Buurt,BU05182917,050700. Unclassified creams,36344.2
Wijk 30 Transvaalkwartier,Wijk,WK051830,050700. Unclassified creams,83565.9
Transvaalkwartier-Noord,Buurt,BU05183032,050700. Unclassified creams,20926.3
Transvaalkwartier-Midden,Buurt,BU05183033,050700. Unclassified creams,25425.3
Transvaalkwartier-Zuid,Buurt,BU05183034,050700. Unclassified creams,37142.8
Wijk 31 Rustenburg en Oostbroek,Wijk,WK051831,050700. Unclassified creams,90206.5
Rustenburg,Buurt,BU05183130,050700. Unclassified creams,29984.4
Oostbroek-Noord,Buurt,BU05183131,050700. Unclassified creams,21901.1
Oostbroek-Zuid,Buurt,BU05183135,050700. Unclassified creams,38255.4
Wijk 32 Leyenburg,Wijk,WK051832,050700. Unclassified creams,70310.5
Leyenburg,Buurt,BU05183284,050700. Unclassified creams,70310.5
Wijk 33 Bouwlust en Vrederust,Wijk,WK051833,050700. Unclassified creams,142408.5
"Venen, Oorden en Raden",Buurt,BU05183387,050700. Unclassified creams,42130.1
"Zijden, Steden en Zichten",Buurt,BU05183396,050700. Unclassified creams,38981.7
Dreven en Gaarden,Buurt,BU05183398,050700. Unclassified creams,53568.4
De Uithof,Buurt,BU05183399,050700. Unclassified creams,7573.3
Wijk 34 Morgenstond,Wijk,WK051834,050700. Unclassified creams,92096.6
Morgenstond-Zuid,Buurt,BU05183480,050700. Unclassified creams,28818.8
Morgenstond-West,Buurt,BU05183488,050700. Unclassified creams,35685.3
Morgenstond-Oost,Buurt,BU05183489,050700. Unclassified creams,27508.1
Wijk 35 Zuiderpark,Wijk,WK051835,050700. Unclassified creams,789.7
Zuiderpark,Buurt,BU05183536,050700. Unclassified creams,789.7
Wijk 36 Moerwijk,Wijk,WK051836,050700. Unclassified creams,103292.7
Moerwijk-Oost,Buurt,BU05183620,050700. Unclassified creams,16145
Moerwijk-West,Buurt,BU05183637,050700. Unclassified creams,30620.9
Moerwijk-Noord,Buurt,BU05183638,050700. Unclassified creams,34444.5
Moerwijk-Zuid,Buurt,BU05183639,050700. Unclassified creams,22028.8
Wijk 37 Groente- en Fruitmarkt,Wijk,WK051837,050700. Unclassified creams,26009.5
Groente- en Fruitmarkt,Buurt,BU05183721,050700. Unclassified creams,26009.5
Wijk 38 Laakkwartier en Spoorwijk,Wijk,WK051838,050700. Unclassified creams,201052.2
Laakhaven-Oost,Buurt,BU05183819,050700. Unclassified creams,19776
Laakhaven-West,Buurt,BU05183822,050700. Unclassified creams,26554.7
Spoorwijk,Buurt,BU05183823,050700. Unclassified creams,20049.5
Laakkwartier-West,Buurt,BU05183824,050700. Unclassified creams,39216.1
Laakkwartier-Oost,Buurt,BU05183825,050700. Unclassified creams,55094.3
Noordpolderbuurt,Buurt,BU05183826,050700. Unclassified creams,40055.9
Wijk 39 Binckhorst,Wijk,WK051839,050700. Unclassified creams,11548
Binckhorst,Buurt,BU05183960,050700. Unclassified creams,11548
Wijk 40 Wateringse Veld,Wijk,WK051840,050700. Unclassified creams,89882.8
Erasmus Veld,Buurt,BU05184001,050700. Unclassified creams,9501.7
Hoge Veld,Buurt,BU05184002,050700. Unclassified creams,33174
Parkbuurt oosteinde,Buurt,BU05184003,050700. Unclassified creams,14672.2
Lage Veld,Buurt,BU05184004,050700. Unclassified creams,18354.2
Zonne Veld,Buurt,BU05184005,050700. Unclassified creams,13974.1
Wijk 41 Hoornwijk,Wijk,WK051841,050700. Unclassified creams,1281.1
Vlietzoom-West,Buurt,BU05184106,050700. Unclassified creams,718
De Reef,Buurt,BU05184110,050700. Unclassified creams,513.4
Wijk 42 Ypenburg,Wijk,WK051842,050700. Unclassified creams,105427.5
Bosweide,Buurt,BU05184208,050700. Unclassified creams,7930.6
De Venen,Buurt,BU05184211,050700. Unclassified creams,6756.2
Morgenweide,Buurt,BU05184212,050700. Unclassified creams,27890.1
Singels,Buurt,BU05184213,050700. Unclassified creams,22572.2
Waterbuurt,Buurt,BU05184214,050700. Unclassified creams,18721
De Bras,Buurt,BU05184215,050700. Unclassified creams,21345.8
Wijk 43 Forepark,Wijk,WK051843,050700. Unclassified creams,553.3
Vlietzoom-Oost,Buurt,BU05184316,050700. Unclassified creams,476.3
De Rivieren,Buurt,BU05184317,050700. Unclassified creams,91.1
Wijk 44 Leidschenveen,Wijk,WK051844,050700. Unclassified creams,79335
De Lanen,Buurt,BU05184418,050700. Unclassified creams,18910.7
De Velden,Buurt,BU05184419,050700. Unclassified creams,16788.6
De Vissen,Buurt,BU05184420,050700. Unclassified creams,33994.6
Rietbuurt,Buurt,BU05184421,050700. Unclassified creams,9562.1
Wijk 02 Belgisch Park,Wijk,WK051802,050701. Dairy creams and creamers,19644.5
Belgisch Park,Buurt,BU05180271,050701. Dairy creams and creamers,19644.5
Wijk 03 Westbroekpark en Duttendel,Wijk,WK051803,050701. Dairy creams and creamers,4931.6
Westbroekpark,Buurt,BU05180373,050701. Dairy creams and creamers,2223.8
Duttendel,Buurt,BU05180374,050701. Dairy creams and creamers,2687
Wijk 04 Benoordenhout,Wijk,WK051804,050701. Dairy creams and creamers,33934.7
Nassaubuurt,Buurt,BU05180448,050701. Dairy creams and creamers,3993.9
Uilennest,Buurt,BU05180475,050701. Dairy creams and creamers,5310.9
Duinzigt,Buurt,BU05180476,050701. Dairy creams and creamers,6398.9
Waalsdorp,Buurt,BU05180477,050701. Dairy creams and creamers,9203.6
Arendsdorp,Buurt,BU05180478,050701. Dairy creams and creamers,3189.5
Van Hoytemastraat en omgeving,Buurt,BU05180479,050701. Dairy creams and creamers,5718.8
Wijk 05 Archipelbuurt,Wijk,WK051805,050701. Dairy creams and creamers,15356.2
Archipelbuurt,Buurt,BU05180546,050701. Dairy creams and creamers,15356.2
Wijk 06 Van Stolkpark en Scheveningse Bo,Wijk,WK051806,050701. Dairy creams and creamers,1950.3
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,050701. Dairy creams and creamers,1950.3
Wijk 07 Scheveningen,Wijk,WK051807,050701. Dairy creams and creamers,40357.7
Oud Scheveningen,Buurt,BU05180701,050701. Dairy creams and creamers,6862.7
Vissershaven,Buurt,BU05180702,050701. Dairy creams and creamers,8202.2
Scheveningen Badplaats,Buurt,BU05180703,050701. Dairy creams and creamers,12577.8
Visserijbuurt,Buurt,BU05180704,050701. Dairy creams and creamers,8908.2
Rijslag,Buurt,BU05180772,050701. Dairy creams and creamers,3733.1
Wijk 08 Duindorp,Wijk,WK051808,050701. Dairy creams and creamers,12685.1
Duindorp,Buurt,BU05180800,050701. Dairy creams and creamers,12685.1
Wijk 09 Geuzen- en Statenkwartier,Wijk,WK051809,050701. Dairy creams and creamers,34155.3
Statenkwartier,Buurt,BU05180907,050701. Dairy creams and creamers,23358.7
Geuzenkwartier,Buurt,BU05180908,050701. Dairy creams and creamers,10792.7
Wijk 10 Zorgvliet,Wijk,WK051810,050701. Dairy creams and creamers,1144.8
Zorgvliet,Buurt,BU05181041,050701. Dairy creams and creamers,1144.8
Wijk 11 Duinoord,Wijk,WK051811,050701. Dairy creams and creamers,19791
Stadhoudersplantsoen,Buurt,BU05181142,050701. Dairy creams and creamers,5010.8
Sweelinckplein en omgeving,Buurt,BU05181143,050701. Dairy creams and creamers,14765.1
Wijk 12 Bomen- en Bloemenbuurt,Wijk,WK051812,050701. Dairy creams and creamers,34879.5
Bloemenbuurt-West,Buurt,BU05181250,050701. Dairy creams and creamers,5554.6
Bloemenbuurt-Oost,Buurt,BU05181251,050701. Dairy creams and creamers,15334.8
Bomenbuurt,Buurt,BU05181252,050701. Dairy creams and creamers,13958.8
Wijk 13 Vogelwijk,Wijk,WK051813,050701. Dairy creams and creamers,12992.4
Vogelwijk,Buurt,BU05181309,050701. Dairy creams and creamers,12992.4
Wijk 14 Bohemen en Meer en Bos,Wijk,WK051814,050701. Dairy creams and creamers,12184
Bosjes van Pex,Buurt,BU05181481,050701. Dairy creams and creamers,973.6
Bohemen en Meer en Bos,Buurt,BU05181492,050701. Dairy creams and creamers,11195
Wijk 15 Kijkduin en Ockenburgh,Wijk,WK051815,050701. Dairy creams and creamers,5710.5
Ockenburgh,Buurt,BU05181590,050701. Dairy creams and creamers,1887.7
Kijkduin,Buurt,BU05181591,050701. Dairy creams and creamers,3779.5
Wijk 16 Kraayenstein en de Uithof,Wijk,WK051816,050701. Dairy creams and creamers,13678.5
Kraayenstein,Buurt,BU05181697,050701. Dairy creams and creamers,13678.5
Wijk 17 Loosduinen,Wijk,WK051817,050701. Dairy creams and creamers,39927.3
Kerketuinen en Zichtenburg,Buurt,BU05181785,050701. Dairy creams and creamers,126.7
Houtwijk,Buurt,BU05181786,050701. Dairy creams and creamers,28539.4
Kom Loosduinen,Buurt,BU05181795,050701. Dairy creams and creamers,11228.5
Wijk 18 Waldeck,Wijk,WK051818,050701. Dairy creams and creamers,39019.2
Waldeck-Zuid,Buurt,BU05181806,050701. Dairy creams and creamers,4605
Nieuw Waldeck,Buurt,BU05181840,050701. Dairy creams and creamers,16132
Rosenburg,Buurt,BU05181882,050701. Dairy creams and creamers,6711.6
Componistenbuurt,Buurt,BU05181893,050701. Dairy creams and creamers,4166.7
Waldeck-Noord,Buurt,BU05181894,050701. Dairy creams and creamers,7319.5
Wijk 19 Vruchtenbuurt,Wijk,WK051819,050701. Dairy creams and creamers,23316.8
Vruchtenbuurt,Buurt,BU05181953,050701. Dairy creams and creamers,16949.3
Eykenduinen,Buurt,BU05181983,050701. Dairy creams and creamers,6343.5
Wijk 20 Valkenboskwartier,Wijk,WK051820,050701. Dairy creams and creamers,42421.8
Heesterbuurt,Buurt,BU05182054,050701. Dairy creams and creamers,15725.2
Valkenboskwartier,Buurt,BU05182055,050701. Dairy creams and creamers,26696.6
Wijk 21 Regentessekwartier,Wijk,WK051821,050701. Dairy creams and creamers,32896.4
Rond de Energiecentrale,Buurt,BU05182110,050701. Dairy creams and creamers,14512.6
Koningsplein en omgeving,Buurt,BU05182144,050701. Dairy creams and creamers,18377.6
Wijk 22 Zeeheldenkwartier,Wijk,WK051822,050701. Dairy creams and creamers,29225.8
Zeeheldenkwartier,Buurt,BU05182245,050701. Dairy creams and creamers,29225.8
Wijk 23 Willemspark,Wijk,WK051823,050701. Dairy creams and creamers,3886.3
Willemspark,Buurt,BU05182347,050701. Dairy creams and creamers,3886.3
Wijk 24 Haagse Bos,Wijk,WK051824,050701. Dairy creams and creamers,1002.9
Haagse Bos,Buurt,BU05182449,050701. Dairy creams and creamers,1002.9
Wijk 25 Mariahoeve en Marlot,Wijk,WK051825,050701. Dairy creams and creamers,33536.4
Landen,Buurt,BU05182561,050701. Dairy creams and creamers,11697.4
Kampen,Buurt,BU05182567,050701. Dairy creams and creamers,5618.4
Marlot,Buurt,BU05182568,050701. Dairy creams and creamers,1765.6
Burgen en Horsten,Buurt,BU05182569,050701. Dairy creams and creamers,14361.3
Wijk 26 Bezuidenhout,Wijk,WK051826,050701. Dairy creams and creamers,41041.6
Bezuidenhout-West,Buurt,BU05182664,050701. Dairy creams and creamers,8476
Bezuidenhout-Midden,Buurt,BU05182665,050701. Dairy creams and creamers,10288.9
Bezuidenhout-Oost,Buurt,BU05182666,050701. Dairy creams and creamers,22215.3
Wijk 27 Stationsbuurt,Wijk,WK051827,050701. Dairy creams and creamers,28517.3
Huygenspark,Buurt,BU05182718,050701. Dairy creams and creamers,17947.1
Rivierenbuurt-Zuid,Buurt,BU05182762,050701. Dairy creams and creamers,2008.5
Rivierenbuurt-Noord,Buurt,BU05182763,050701. Dairy creams and creamers,8526.5
Wijk 28 Centrum,Wijk,WK051828,050701. Dairy creams and creamers,47921.4
Kortenbos,Buurt,BU05182811,050701. Dairy creams and creamers,17524.3
Voorhout,Buurt,BU05182812,050701. Dairy creams and creamers,5841.9
Uilebomen,Buurt,BU05182813,050701. Dairy creams and creamers,7701.8
Zuidwal,Buurt,BU05182814,050701. Dairy creams and creamers,16797
Wijk 29 Schildersbuurt,Wijk,WK051829,050701. Dairy creams and creamers,62008.3
Schildersbuurt-West,Buurt,BU05182915,050701. Dairy creams and creamers,27973.1
Schildersbuurt-Noord,Buurt,BU05182916,050701. Dairy creams and creamers,19744.4
Schildersbuurt-Oost,Buurt,BU05182917,050701. Dairy creams and creamers,14262.3
Wijk 30 Transvaalkwartier,Wijk,WK051830,050701. Dairy creams and creamers,32611.1
Transvaalkwartier-Noord,Buurt,BU05183032,050701. Dairy creams and creamers,7973
Transvaalkwartier-Midden,Buurt,BU05183033,050701. Dairy creams and creamers,10022.6
Transvaalkwartier-Zuid,Buurt,BU05183034,050701. Dairy creams and creamers,14579.7
Wijk 31 Rustenburg en Oostbroek,Wijk,WK051831,050701. Dairy creams and creamers,39559.2
Rustenburg,Buurt,BU05183130,050701. Dairy creams and creamers,13004.3
Oostbroek-Noord,Buurt,BU05183131,050701. Dairy creams and creamers,9558.2
Oostbroek-Zuid,Buurt,BU05183135,050701. Dairy creams and creamers,16962.7
Wijk 32 Leyenburg,Wijk,WK051832,050701. Dairy creams and creamers,33035.3
Leyenburg,Buurt,BU05183284,050701. Dairy creams and creamers,33035.3
Wijk 33 Bouwlust en Vrederust,Wijk,WK051833,050701. Dairy creams and creamers,58655.5
"Venen, Oorden en Raden",Buurt,BU05183387,050701. Dairy creams and creamers,17521
"Zijden, Steden en Zichten",Buurt,BU05183396,050701. Dairy creams and creamers,16080.9
Dreven en Gaarden,Buurt,BU05183398,050701. Dairy creams and creamers,22097.9
De Uithof,Buurt,BU05183399,050701. Dairy creams and creamers,2888.4
Wijk 34 Morgenstond,Wijk,WK051834,050701. Dairy creams and creamers,39914
Morgenstond-Zuid,Buurt,BU05183480,050701. Dairy creams and creamers,12509.4
Morgenstond-West,Buurt,BU05183488,050701. Dairy creams and creamers,15535.9
Morgenstond-Oost,Buurt,BU05183489,050701. Dairy creams and creamers,11821
Wijk 35 Zuiderpark,Wijk,WK051835,050701. Dairy creams and creamers,355.3
Zuiderpark,Buurt,BU05183536,050701. Dairy creams and creamers,355.3
Wijk 36 Moerwijk,Wijk,WK051836,050701. Dairy creams and creamers,43537.3
Moerwijk-Oost,Buurt,BU05183620,050701. Dairy creams and creamers,6775
Moerwijk-West,Buurt,BU05183637,050701. Dairy creams and creamers,12850.5
Moerwijk-Noord,Buurt,BU05183638,050701. Dairy creams and creamers,14423.7
Moerwijk-Zuid,Buurt,BU05183639,050701. Dairy creams and creamers,9445.4
Wijk 37 Groente- en Fruitmarkt,Wijk,WK051837,050701. Dairy creams and creamers,10785.3
Groente- en Fruitmarkt,Buurt,BU05183721,050701. Dairy creams and creamers,10785.3
Wijk 38 Laakkwartier en Spoorwijk,Wijk,WK051838,050701. Dairy creams and creamers,87794.5
Laakhaven-Oost,Buurt,BU05183819,050701. Dairy creams and creamers,8515.4
Laakhaven-West,Buurt,BU05183822,050701. Dairy creams and creamers,11589.4
Spoorwijk,Buurt,BU05183823,050701. Dairy creams and creamers,8982.7
Laakkwartier-West,Buurt,BU05183824,050701. Dairy creams and creamers,17123.9
Laakkwartier-Oost,Buurt,BU05183825,050701. Dairy creams and creamers,23861.4
Noordpolderbuurt,Buurt,BU05183826,050701. Dairy creams and creamers,17591.6
Wijk 39 Binckhorst,Wijk,WK051839,050701. Dairy creams and creamers,3743.6
Binckhorst,Buurt,BU05183960,050701. Dairy creams and creamers,3743.6
Wijk 40 Wateringse Veld,Wijk,WK051840,050701. Dairy creams and creamers,48404.8
Erasmus Veld,Buurt,BU05184001,050701. Dairy creams and creamers,4836.5
Hoge Veld,Buurt,BU05184002,050701. Dairy creams and creamers,18591.2
Parkbuurt oosteinde,Buurt,BU05184003,050701. Dairy creams and creamers,7756.9
Lage Veld,Buurt,BU05184004,050701. Dairy creams and creamers,9564
Zonne Veld,Buurt,BU05184005,050701. Dairy creams and creamers,7540.9
Wijk 41 Hoornwijk,Wijk,WK051841,050701. Dairy creams and creamers,664.3
Vlietzoom-West,Buurt,BU05184106,050701. Dairy creams and creamers,363.8
De Reef,Buurt,BU05184110,050701. Dairy creams and creamers,274.2
Wijk 42 Ypenburg,Wijk,WK051842,050701. Dairy creams and creamers,59149.3
Bosweide,Buurt,BU05184208,050701. Dairy creams and creamers,4453.5
De Venen,Buurt,BU05184211,050701. Dairy creams and creamers,3813.2
Morgenweide,Buurt,BU05184212,050701. Dairy creams and creamers,15559.5
Singels,Buurt,BU05184213,050701. Dairy creams and creamers,12356.3
Waterbuurt,Buurt,BU05184214,050701. Dairy creams and creamers,10423.7
De Bras,Buurt,BU05184215,050701. Dairy creams and creamers,12421.8
Wijk 43 Forepark,Wijk,WK051843,050701. Dairy creams and creamers,267.8
Vlietzoom-Oost,Buurt,BU05184316,050701. Dairy creams and creamers,224.5
De Rivieren,Buurt,BU05184317,050701. Dairy creams and creamers,38.2
Wijk 44 Leidschenveen,Wijk,WK051844,050701. Dairy creams and creamers,46088.1
De Lanen,Buurt,BU05184418,050701. Dairy creams and creamers,11426.8
De Velden,Buurt,BU05184419,050701. Dairy creams and creamers,9521.1
De Vissen,Buurt,BU05184420,050701. Dairy creams and creamers,19182.7
Rietbuurt,Buurt,BU05184421,050701. Dairy creams and creamers,5905.3
Wijk 02 Belgisch Park,Wijk,WK051802,050702. Non-dairy creams and creamers,5724.3
Belgisch Park,Buurt,BU05180271,050702. Non-dairy creams and creamers,5724.3
Wijk 03 Westbroekpark en Duttendel,Wijk,WK051803,050702. Non-dairy creams and creamers,1665.2
Westbroekpark,Buurt,BU05180373,050702. Non-dairy creams and creamers,755.3
Duttendel,Buurt,BU05180374,050702. Non-dairy creams and creamers,903.8
Wijk 04 Benoordenhout,Wijk,WK051804,050702. Non-dairy creams and creamers,11526.4
Nassaubuurt,Buurt,BU05180448,050702. Non-dairy creams and creamers,1355.6
Uilennest,Buurt,BU05180475,050702. Non-dairy creams and creamers,1846.2
Duinzigt,Buurt,BU05180476,050702. Non-dairy creams and creamers,2254.6
Waalsdorp,Buurt,BU05180477,050702. Non-dairy creams and creamers,3048
Arendsdorp,Buurt,BU05180478,050702. Non-dairy creams and creamers,1073.7
Van Hoytemastraat en omgeving,Buurt,BU05180479,050702. Non-dairy creams and creamers,1902.2
Wijk 05 Archipelbuurt,Wijk,WK051805,050702. Non-dairy creams and creamers,5244.2
Archipelbuurt,Buurt,BU05180546,050702. Non-dairy creams and creamers,5244.2
Wijk 06 Van Stolkpark en Scheveningse Bo,Wijk,WK051806,050702. Non-dairy creams and creamers,701.8
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,050702. Non-dairy creams and creamers,701.8
Wijk 07 Scheveningen,Wijk,WK051807,050702. Non-dairy creams and creamers,10700.9
Oud Scheveningen,Buurt,BU05180701,050702. Non-dairy creams and creamers,1836
Vissershaven,Buurt,BU05180702,050702. Non-dairy creams and creamers,2157.4
Scheveningen Badplaats,Buurt,BU05180703,050702. Non-dairy creams and creamers,3339.8
Visserijbuurt,Buurt,BU05180704,050702. Non-dairy creams and creamers,2357.2
Rijslag,Buurt,BU05180772,050702. Non-dairy creams and creamers,995.3
Wijk 08 Duindorp,Wijk,WK051808,050702. Non-dairy creams and creamers,2517.9
Duindorp,Buurt,BU05180800,050702. Non-dairy creams and creamers,2517.9
Wijk 09 Geuzen- en Statenkwartier,Wijk,WK051809,050702. Non-dairy creams and creamers,10990.4
Statenkwartier,Buurt,BU05180907,050702. Non-dairy creams and creamers,7472.5
Geuzenkwartier,Buurt,BU05180908,050702. Non-dairy creams and creamers,3519
Wijk 10 Zorgvliet,Wijk,WK051810,050702. Non-dairy creams and creamers,291.6
Zorgvliet,Buurt,BU05181041,050702. Non-dairy creams and creamers,291.6
Wijk 11 Duinoord,Wijk,WK051811,050702. Non-dairy creams and creamers,7050.6
Stadhoudersplantsoen,Buurt,BU05181142,050702. Non-dairy creams and creamers,1794.1
Sweelinckplein en omgeving,Buurt,BU05181143,050702. Non-dairy creams and creamers,5250
Wijk 12 Bomen- en Bloemenbuurt,Wijk,WK051812,050702. Non-dairy creams and creamers,10183.5
Bloemenbuurt-West,Buurt,BU05181250,050702. Non-dairy creams and creamers,1622.1
Bloemenbuurt-Oost,Buurt,BU05181251,050702. Non-dairy creams and creamers,4474.7
Bomenbuurt,Buurt,BU05181252,050702. Non-dairy creams and creamers,4079.7
Wijk 13 Vogelwijk,Wijk,WK051813,050702. Non-dairy creams and creamers,4106.6
Vogelwijk,Buurt,BU05181309,050702. Non-dairy creams and creamers,4106.6
Wijk 14 Bohemen en Meer en Bos,Wijk,WK051814,050702. Non-dairy creams and creamers,3823.8
Bosjes van Pex,Buurt,BU05181481,050702. Non-dairy creams and creamers,298.4
Bohemen en Meer en Bos,Buurt,BU05181492,050702. Non-dairy creams and creamers,3521.7
Wijk 15 Kijkduin en Ockenburgh,Wijk,WK051815,050702. Non-dairy creams and creamers,1714.9
Ockenburgh,Buurt,BU05181590,050702. Non-dairy creams and creamers,554.7
Kijkduin,Buurt,BU05181591,050702. Non-dairy creams and creamers,1145.5
Wijk 16 Kraayenstein en de Uithof,Wijk,WK051816,050702. Non-dairy creams and creamers,3573.3
Kraayenstein,Buurt,BU05181697,050702. Non-dairy creams and creamers,3573.3
Wijk 17 Loosduinen,Wijk,WK051817,050702. Non-dairy creams and creamers,9338.1
Kerketuinen en Zichtenburg,Buurt,BU05181785,050702. Non-dairy creams and creamers,29.5
