Name,Type,code,food,Amount per day
Willemspark,Buurt,BU05182347,01. Potatoes and other tubers,102062.9
Wijk 24 Haagse Bos,Wijk,WK051824,01. Potatoes and other tubers,31438.9
Haagse Bos,Buurt,BU05182449,01. Potatoes and other tubers,31438.9
Wijk 25 Mariahoeve en Marlot,Wijk,WK051825,01. Potatoes and other tubers,1067409.8
Landen,Buurt,BU05182561,01. Potatoes and other tubers,373449.7
Kampen,Buurt,BU05182567,01. Potatoes and other tubers,178757.7
Marlot,Buurt,BU05182568,01. Potatoes and other tubers,57366
Burgen en Horsten,Buurt,BU05182569,01. Potatoes and other tubers,454934.2
Wijk 26 Bezuidenhout,Wijk,WK051826,01. Potatoes and other tubers,1143997.6
Bezuidenhout-West,Buurt,BU05182664,01. Potatoes and other tubers,239239.8
Bezuidenhout-Midden,Buurt,BU05182665,01. Potatoes and other tubers,289234.7
Bezuidenhout-Oost,Buurt,BU05182666,01. Potatoes and other tubers,613748.5
Wijk 27 Stationsbuurt,Wijk,WK051827,01. Potatoes and other tubers,904953.8
Huygenspark,Buurt,BU05182718,01. Potatoes and other tubers,570508.9
Rivierenbuurt-Zuid,Buurt,BU05182762,01. Potatoes and other tubers,62999.9
Rivierenbuurt-Noord,Buurt,BU05182763,01. Potatoes and other tubers,270344
Wijk 28 Centrum,Wijk,WK051828,01. Potatoes and other tubers,1413798.1
Kortenbos,Buurt,BU05182811,01. Potatoes and other tubers,518217.6
Voorhout,Buurt,BU05182812,01. Potatoes and other tubers,171158.9
Uilebomen,Buurt,BU05182813,01. Potatoes and other tubers,227830.2
Zuidwal,Buurt,BU05182814,01. Potatoes and other tubers,494726.8
Wijk 29 Schildersbuurt,Wijk,WK051829,01. Potatoes and other tubers,2387432.2
Schildersbuurt-West,Buurt,BU05182915,01. Potatoes and other tubers,1077760.5
Schildersbuurt-Noord,Buurt,BU05182916,01. Potatoes and other tubers,759605.9
Schildersbuurt-Oost,Buurt,BU05182917,01. Potatoes and other tubers,549069.6
Wijk 30 Transvaalkwartier,Wijk,WK051830,01. Potatoes and other tubers,1261351.1
Transvaalkwartier-Noord,Buurt,BU05183032,01. Potatoes and other tubers,307060.3
Transvaalkwartier-Midden,Buurt,BU05183033,01. Potatoes and other tubers,387821.1
Transvaalkwartier-Zuid,Buurt,BU05183034,01. Potatoes and other tubers,565041.8
Wijk 31 Rustenburg en Oostbroek,Wijk,WK051831,01. Potatoes and other tubers,1416644.9
Rustenburg,Buurt,BU05183130,01. Potatoes and other tubers,464793.4
Oostbroek-Noord,Buurt,BU05183131,01. Potatoes and other tubers,342102.3
Oostbroek-Zuid,Buurt,BU05183135,01. Potatoes and other tubers,608687.5
Wijk 32 Leyenburg,Wijk,WK051832,01. Potatoes and other tubers,1108851.1
Leyenburg,Buurt,BU05183284,01. Potatoes and other tubers,1108851.1
Wijk 33 Bouwlust en Vrederust,Wijk,WK051833,01. Potatoes and other tubers,2177923.7
"Venen, Oorden en Raden",Buurt,BU05183387,01. Potatoes and other tubers,651957
"Zijden, Steden en Zichten",Buurt,BU05183396,01. Potatoes and other tubers,597838.5
Dreven en Gaarden,Buurt,BU05183398,01. Potatoes and other tubers,820224.3
De Uithof,Buurt,BU05183399,01. Potatoes and other tubers,105385.3
Wijk 34 Morgenstond,Wijk,WK051834,01. Potatoes and other tubers,1432229.6
Morgenstond-Zuid,Buurt,BU05183480,01. Potatoes and other tubers,449203.7
Morgenstond-West,Buurt,BU05183488,01. Potatoes and other tubers,557526.5
Morgenstond-Oost,Buurt,BU05183489,01. Potatoes and other tubers,423904.1
Wijk 35 Zuiderpark,Wijk,WK051835,01. Potatoes and other tubers,10924.3
Zuiderpark,Buurt,BU05183536,01. Potatoes and other tubers,10924.3
Wijk 36 Moerwijk,Wijk,WK051836,01. Potatoes and other tubers,1615039.8
Moerwijk-Oost,Buurt,BU05183620,01. Potatoes and other tubers,251568.7
Moerwijk-West,Buurt,BU05183637,01. Potatoes and other tubers,475861.4
Moerwijk-Noord,Buurt,BU05183638,01. Potatoes and other tubers,534375.5
Moerwijk-Zuid,Buurt,BU05183639,01. Potatoes and other tubers,351657.8
Wijk 37 Groente- en Fruitmarkt,Wijk,WK051837,01. Potatoes and other tubers,408645
Groente- en Fruitmarkt,Buurt,BU05183721,01. Potatoes and other tubers,408645
Wijk 38 Laakkwartier en Spoorwijk,Wijk,WK051838,01. Potatoes and other tubers,3162934.8
Laakhaven-Oost,Buurt,BU05183819,01. Potatoes and other tubers,305210.7
Laakhaven-West,Buurt,BU05183822,01. Potatoes and other tubers,417347.5
Spoorwijk,Buurt,BU05183823,01. Potatoes and other tubers,324938
Laakkwartier-West,Buurt,BU05183824,01. Potatoes and other tubers,617594.7
Laakkwartier-Oost,Buurt,BU05183825,01. Potatoes and other tubers,858740.8
Noordpolderbuurt,Buurt,BU05183826,01. Potatoes and other tubers,634808.1
Wijk 39 Binckhorst,Wijk,WK051839,01. Potatoes and other tubers,160982.7
Binckhorst,Buurt,BU05183960,01. Potatoes and other tubers,160982.7
Wijk 40 Wateringse Veld,Wijk,WK051840,01. Potatoes and other tubers,1586802
Erasmus Veld,Buurt,BU05184001,01. Potatoes and other tubers,155527.9
Hoge Veld,Buurt,BU05184002,01. Potatoes and other tubers,617185.8
Parkbuurt oosteinde,Buurt,BU05184003,01. Potatoes and other tubers,252840.2
Lage Veld,Buurt,BU05184004,01. Potatoes and other tubers,310157.9
Zonne Veld,Buurt,BU05184005,01. Potatoes and other tubers,247425.4
Wijk 41 Hoornwijk,Wijk,WK051841,01. Potatoes and other tubers,21796.2
Vlietzoom-West,Buurt,BU05184106,01. Potatoes and other tubers,11797.2
De Reef,Buurt,BU05184110,01. Potatoes and other tubers,9172.7
Wijk 42 Ypenburg,Wijk,WK051842,01. Potatoes and other tubers,1922786
Bosweide,Buurt,BU05184208,01. Potatoes and other tubers,144785.8
De Venen,Buurt,BU05184211,01. Potatoes and other tubers,124208.9
Morgenweide,Buurt,BU05184212,01. Potatoes and other tubers,504900.5
Singels,Buurt,BU05184213,01. Potatoes and other tubers,398261.3
Waterbuurt,Buurt,BU05184214,01. Potatoes and other tubers,338010.1
De Bras,Buurt,BU05184215,01. Potatoes and other tubers,408757.8
Wijk 43 Forepark,Wijk,WK051843,01. Potatoes and other tubers,8525.6
Vlietzoom-Oost,Buurt,BU05184316,01. Potatoes and other tubers,7097.5
De Rivieren,Buurt,BU05184317,01. Potatoes and other tubers,1235.4
Wijk 44 Leidschenveen,Wijk,WK051844,01. Potatoes and other tubers,1470806.5
