Name,BUURTCODE,Population,Consumptionpercapita,Total Consumption
Parkbuurt oosteinde,103,3465,10.560982472477503,36593.80426713455
Lage Veld,104,4285,11.065349252280491,47415.021546021904
Zonne Veld,105,3440,13.966254776609969,48043.916431538295
Vlietzoom-West,106,170,8.636642028658718,1468.229144871982
Bosweide,108,2050,15.238974917835318,31239.8985815624
De Venen,111,1755,15.68447186297447,27526.248119520198
Morgenweide,112,7135,9.877273202002074,70474.3442962848
Singels,113,5595,10.205130266738198,57097.70384240022
Waterbuurt,114,4775,9.803989535428073,46814.05003166905
De Bras,115,5855,13.195188044423297,77257.8260000984
Vlietzoom-Oost,116,100,11.02405150815751,1102.405150815751
De Lanen,118,5255,8.838843298052042,46448.12153126348
De Velden,119,4220,9.54238338902958,40268.857901704825
De Vissen,120,8505,9.51303931323445,80908.39935905901
Rietbuurt,121,2755,14.683333895905054,40452.58488321843
