TIME,GEO,Shampoo (400 ml) ,Tooth paste (100 ml) ,"Toilet soap, liquid (200 ml) ",Shower gel (300 ml) ,Deodorant (50 ml) ,Tampons (10 pieces) 
2010,European Union - 27 countries (from 2020),8.33207423580786,3.405655021834061,1.991986899563319,5.547576419213974,3.8554585152838428,3.834039301310044
2010,European Union - 28 countries (2013-2020),8.49344978165939,3.4716157205240177,2.03056768558952,5.655021834061135,3.9301310043668125,3.9082969432314414
2010,European Union - 15 countries (1995-2004),9.054017467248908,3.7007423580786027,2.1645851528384283,6.02825327510917,4.189519650655022,4.1662445414847165
2010,Euro area - 19 countries  (from 2015),8.773733624454149,3.5861790393013107,2.097576419213974,5.841637554585152,4.059825327510917,4.037270742358079
2010,Euro area - 12 countries (2001-2006),8.867161572052403,3.6243668122270747,2.119912663755459,5.903842794759826,4.103056768558953,4.080262008733625
2010,Belgium,9.504170305676858,3.8847379912663764,2.2722052401746726,6.327969432314411,4.397816593886463,4.373384279475983
2010,Bulgaria,3.89,1.59,0.93,2.59,1.80,1.79
2010,Czechia,3.25,1.81,1.54,2.55,2.55,1.13
2010,Denmark,11.890829694323145,4.860262008733625,2.842794759825328,7.91703056768559,5.502183406113537,5.471615720524018
2010,Germany (until 1990 former territory of the FRG),8.75674672489083,3.5792358078602624,2.0935152838427946,5.830327510917031,4.051965065502183,4.029454148471616
2010,Estonia,5.605676855895197,2.291266375545852,1.340174672489083,3.7323144104803494,2.593886462882096,2.579475982532751
2010,Ireland,10.42146288209607,4.25967248908297,2.491506550218341,6.938711790393014,4.8222707423580795,4.795480349344978
2010,Greece,8.102751091703059,3.311921397379913,1.937161572052402,5.394890829694324,3.7493449781659396,3.7285152838427953
2010,Spain,8.383034934497818,3.426484716157206,2.004170305676856,5.58150655021834,3.8790393013100437,3.8574890829694324
2010,France,9.334301310043669,3.8153056768558957,2.2315938864628824,6.214868995633188,4.319213973799127,4.295218340611354
2010,Croatia,3.95,2.33,1.43,2.59,2.85,1.54
2010,Italy,4.63,2.32,1.14,2.07,2.71,3.9239301310043673
2010,Cyprus,4.28,3.54,1.31,2.93,2.71,2.33
2010,Latvia,5.2914192139738,2.162816593886463,1.2650436681222708,3.523078602620087,2.448471615720524,2.4348689956331877
2010,Lithuania,5.45,2.55,1.30,2.90,3.06,1.68
2010,Luxembourg,11.593558951965067,4.738755458515285,2.7717248908296948,7.719104803493449,5.364628820960699,5.334825327510917
2010,Hungary,4.87524017467249,1.9927074235807862,1.1655458515283845,3.245982532751092,2.2558951965065503,2.243362445414847
2010,Malta,5.23,2.71,1.63,1.88,2.46,1.49
2010,Netherlands,2.57,2.85,1.07,2.28,2.05,1.06
2010,Austria,9.274847161572053,3.7910043668122277,2.217379912663756,6.17528384279476,4.29170305676856,4.2678602620087345
2010,Poland,2.45,1.93,1.04,2.35,2.169432314410481,2.157379912663756
2010,Portugal,7.219432314410482,2.950873362445415,1.7259825327510918,4.806768558951965,3.3406113537117905,3.322052401746725
2010,Romania,4.56,2.27,1.73,2.86,2.45,1.73
2010,Slovenia,3.71,2.78,1.14,2.10,2.76,1.34
2010,Slovakia,3.82,1.60,1.69,2.72,2.89,1.33
2010,Finland,10.226113537117905,2.54,2.444803493449782,6.808646288209608,4.731877729257643,4.705589519650656
2010,Sweden,10.5828384279476,4.325633187772926,2.5300873362445415,7.046157205240174,4.896943231441048,4.869737991266375
2010,United Kingdom,9.461703056768561,3.867379912663756,2.262052401746725,6.299694323144106,4.37816593886463,4.353842794759826
2010,Iceland,9.138951965065502,3.735458515283843,2.1848908296943232,6.084803493449781,4.22882096069869,4.205327510917031
2010,Norway,7.62,4.56,2.50,4.81,4.03,1.06
2010,Switzerland,12.434410480349348,5.082445414847162,2.9727510917030573,8.278951965065502,5.753711790393014,5.721746724890831
2010,Montenegro,4.204257641921398,1.7184497816593887,1.0051310043668125,2.7992358078602617,1.9454148471615724,1.9346069868995635
2010,North Macedonia,3.507794759825327,1.4337772925764194,0.8386244541484716,2.335524017467249,1.6231441048034936,1.614126637554585
2010,Albania,3.6351965065502183,1.4858515283842795,0.8690829694323146,2.420349344978166,1.6820960698689955,1.6727510917030568
2010,Serbia,3.8220524017467254,1.562227074235808,0.913755458515284,2.544759825327511,1.7685589519650655,1.7587336244541485
2010,Turkey,5.1979912663755465,3.89,0.68,2.03,2.4052401746724894,2.3918777292576423
2010,Bosnia and Herzegovina,4.306179039301311,1.7601091703056773,1.0294978165938866,2.8670960698689956,1.992576419213974,1.9815065502183407
2010,Kosovo (under United Nations Security Council Resolution 1244/99),8.49344978165939,3.4716157205240177,2.03056768558952,5.655021834061135,3.9301310043668125,3.9082969432314414
2011,European Union - 27 countries (from 2020),8.387010989010989,3.42810989010989,2.005120879120879,5.584153846153845,3.8808791208791207,3.859318681318681
2011,European Union - 28 countries (2013-2020),8.54945054945055,3.4945054945054945,2.043956043956044,5.6923076923076925,3.956043956043956,3.934065934065934
2011,European Union - 15 countries (1995-2004),9.130813186813187,3.7321318681318685,2.182945054945055,6.0793846153846145,4.2250549450549455,4.201582417582418
2011,Euro area - 19 countries  (from 2015),8.831582417582418,3.6098241758241763,2.1114065934065933,5.880153846153846,4.086593406593407,4.06389010989011
2011,Euro area - 12 countries (2001-2006),8.925626373626374,3.6482637362637367,2.13389010989011,5.9427692307692315,4.130109890109891,4.107164835164835
2011,Belgium,9.609582417582418,3.927824175824176,2.2974065934065937,6.398153846153845,4.446593406593407,4.421890109890111
2011,Bulgaria,3.89,1.59,0.93,2.59,1.80,1.79
2011,Czechia,3.25,1.81,1.54,2.55,2.55,1.13
2011,Denmark,11.95213186813187,4.885318681318682,2.8574505494505495,7.957846153846154,5.530549450549451,5.499824175824176
2011,Germany (until 1990 former territory of the FRG),8.737538461538463,3.571384615384616,2.088923076923077,5.817538461538461,4.0430769230769235,4.020615384615385
2011,Estonia,5.745230769230769,2.3483076923076927,1.3735384615384618,3.825230769230769,2.6584615384615384,2.643692307692308
2011,Ireland,10.473076923076924,4.280769230769231,2.5038461538461543,6.973076923076922,4.846153846153846,4.819230769230769
2011,Greece,8.113428571428573,3.3162857142857147,1.9397142857142857,5.402,3.754285714285715,3.7334285714285715
2011,Spain,8.421208791208791,3.442087912087912,2.0132967032967035,5.606923076923077,3.896703296703297,3.875054945054945
2011,France,9.370197802197803,3.829978021978022,2.2401758241758243,6.23876923076923,4.335824175824176,4.311736263736264
2011,Croatia,3.95,2.33,1.43,2.59,2.85,1.54
2011,Italy,4.63,2.32,1.14,2.07,2.71,3.993076923076923
2011,Cyprus,4.28,3.54,1.31,2.93,2.71,2.33
2011,Latvia,5.599890109890111,2.288901098901099,1.3387912087912088,3.7284615384615383,2.5912087912087913,2.5768131868131867
2011,Lithuania,5.45,2.55,1.30,2.90,3.06,1.68
2011,Luxembourg,11.627252747252747,4.752527472527473,2.77978021978022,7.741538461538462,5.380219780219781,5.35032967032967
