Name,BUURTCODE,Household_size,Food,Green_electricity,nongreen_electricity,Gas,Energy,Water,Car,Train,bustram,Public Transport,Mobility,GWP clothes,GWP household cleaning,GWP footwear,GWP_furniture,GWP_paper,GWP personal care,BoP,Waste per capita,Waste per house,Total per capita
De Venen,111,2.3,1039.341635,16.82484957,466.4330152,3.582700855,486.8405656,5.29909103,2502.87399,88.33946905,58.87825106,147.2177201,2650.09171,164.305518,50.61441059,4.871471776,261.1478358,51.58296716,60.52486116,593.0470645,681.2929619,1566.973812,5455.913028
De Vissen,120,2.7,1054.330095,10.44463515,333.6238031,102.0330958,446.1015341,4.562775355,2425.995208,91.61812399,62.20782713,153.8259511,2579.821159,177.3255589,53.73574087,4.920455301,254.9170179,57.60134146,67.23469229,615.7348067,591.3775835,1596.719475,5291.927954
Dreven en Gaarden,98,2.1,1065.280007,8.761728048,237.8952304,125.6592399,372.3161983,5.02952036,2376.374965,92.64685589,63.11020941,155.7570653,2532.13203,169.6522498,61.49246149,4.884232122,118.9983691,39.12244985,72.08812447,466.2378868,810.3562024,1701.748025,5251.351845
Duindorp,100,2.1,1071.364741,12.22529918,353.2490401,98.14127286,463.6156121,5.496833145,2512.255792,90.01498646,59.94942132,149.9644078,2662.2202,173.3966604,50.38913242,5.957690653,236.2431399,41.25535289,74.3779451,581.6199214,886.3627564,1861.361789,5670.680064
Duinzigt,76,1.7,1029.17661,10.22165686,504.1906963,286.9738677,801.3862209,7.370246467,2212.58912,99.15295956,67.68829315,166.8412527,2379.430373,204.1466374,59.30301257,7.119708842,250.8209671,56.71432328,73.29260937,651.3972586,677.6093697,1151.935928,5546.370079
Duttendel,74,2.1,1037.582092,12.26106468,537.6924164,270.175814,820.1292951,6.126294267,2331.913247,95.12554424,64.29789929,159.4234435,2491.336691,203.6274333,62.32360627,7.464504372,236.972049,51.27843053,70.663641,632.3296645,650.140768,1365.295613,5637.644805
Erasmus Veld,101,2.5,1057.480741,9.312646421,313.4803352,86.15261252,408.9455941,4.386675021,2412.316779,94.49027826,64.25057751,158.7408558,2571.057635,201.4956951,49.61936744,6.502580909,233.49256,55.17560716,60.08030214,606.3661127,664.5332785,1661.333196,5312.770036
Eykenduinen,83,2,1052.576692,9.590210594,336.5858121,180.7823909,526.9584136,6.034227366,2544.118085,90.95795506,60.11751182,151.0754669,2695.193552,199.5292501,62.62470243,6.855617048,218.2182507,55.28455805,59.92359368,602.435972,682.2889561,1364.577912,5565.487813
Geuzenkwartier,8,2,1037.946056,8.806925495,343.1715373,177.2592984,529.2377612,5.932217084,2478.365044,92.79099113,62.27493942,155.0659306,2633.430975,197.3041929,64.74746521,7.23663235,216.3302218,48.84564727,57.48440581,591.9485653,673.1215646,1346.243129,5471.617139
Groente- en Fruitmarkt,21,2.5,1072.659103,9.407438113,234.6206313,127.4818589,371.5099283,4.489979113,2445.662482,93.15721977,64.29097614,157.4481959,2603.110678,162.0350992,55.02879269,4.615030431,109.238373,39.09003575,74.52149305,444.5288241,801.743448,2004.35862,5298.04196
Haagse Bos,49,1.4,1082.245283,6.968134139,277.0125728,168.1276236,452.1083305,7.413692332,2582.609688,95.68913387,63.36119914,159.050333,2741.660021,204.1864345,59.91254765,6.452038077,246.3652943,56.90141376,71.65962854,645.4773568,853.0009748,1194.201365,5781.905658
Heesterbuurt,54,1.8,1059.799233,9.634358226,293.9516736,169.1238736,472.7099054,6.191865549,2585.55625,91.60764724,61.03536462,152.6430119,2738.199262,194.051062,62.49550824,5.920319102,225.606731,30.76060568,58.63862079,577.4728468,644.4817822,1160.067208,5498.854895
Hoge Veld,102,2.8,1040.480058,9.755266937,273.7555599,18.70483823,302.2156651,4.454133725,2328.557182,88.76564046,60.11607336,148.8817138,2477.438896,166.7264034,57.49646561,4.884525995,259.0603496,50.39713273,52.79810401,591.3629813,586.0060271,1640.816876,5001.957761
Houtwijk,86,2.2,1068.286311,9.861422754,315.9274105,120.8274571,446.6162904,5.20371945,2452.115953,92.88855229,62.71412247,155.6026748,2607.718628,206.0699868,57.92969011,5.787159596,228.5281843,47.25942958,56.49533753,602.0697879,693.9037732,1526.588301,5423.79851
Huygenspark,18,1.5,1064.068201,11.47483201,325.0531531,140.0306523,476.5586374,6.922865104,2406.796785,105.7447472,76.99647006,182.7412173,2589.538002,199.671484,54.47934171,6.436131064,133.7938589,48.92337406,71.15448878,514.4586785,722.5992879,1083.898932,5374.145672
Kampen,67,1.6,1068.391073,9.911449142,325.9967156,180.2760407,516.1842054,6.714201842,2573.292565,91.5217462,60.52790115,152.0496474,2725.342212,200.4224379,60.02957292,6.315262246,239.0885766,33.69043025,55.89007702,595.4363569,741.6251936,1186.60031,5653.693243
Kijkduin,91,2,1065.432271,12.73629633,555.7479115,212.364,780.8482078,6.480417594,2379.395918,96.77426127,65.77029209,162.5445534,2541.940471,209.2403197,62.97738193,7.536990872,234.8182531,60.39083197,72.0438224,647.0076,673.8101326,1347.620265,5715.5191
Kom Loosduinen,95,1.7,1067.987492,9.86411874,344.4195008,147.5771819,501.8608014,6.23312289,2439.889093,94.35287523,63.11849547,157.4713707,2597.360464,203.5844907,58.5639918,6.470327564,225.7091311,49.64770148,54.82533768,598.8009803,717.0663845,1219.012854,5489.309245
Koningsplein en omgeving,44,1.8,1060.307733,11.57788884,388.9487,224.0259485,624.5525373,6.696938239,2661.535338,91.75390695,60.87123433,152.6251413,2814.160479,193.0071948,57.21666225,7.682633146,243.8572386,49.00799288,54.48833072,605.2600524,651.5274607,1172.749429,5762.505201
