"TIME","GEO","NA_ITEM","PPP_CAT","Value","Flag and Footnotes"
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings",":",""
"2009","United States","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings",":",""
"2009","Japan","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings",":",""
"2010","European Union - 27 countries (from 2020)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","98.5",""
"2010","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.0",""
"2010","European Union - 27 countries (2007-2013)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.2",""
"2010","European Union - 25 countries (2004-2006)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.7",""
"2010","European Union - 15 countries (1995-2004)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","103.2",""
"2010","Euro area - 19 countries  (from 2015)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.5",""
"2010","Euro area - 18 countries (2014)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.6",""
"2010","Euro area - 17 countries (2011-2013)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.6",""
"2010","Euro area - 16 countries (2009-2010)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.7",""
"2010","Euro area - 15 countries (2008)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.8",""
"2010","Euro area - 13 countries (2007)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.8",""
"2010","Euro area - 12 countries (2001-2006)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.9",""
"2010","Euro area - 11 countries (1999-2000)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.9",""
"2010","Belgium","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","98.4",""
"2010","Bulgaria","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","54.8",""
"2010","Czechia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","76.1",""
"2010","Denmark","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.6",""
"2010","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","94.9",""
"2010","Estonia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","87.6",""
"2010","Ireland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","106.3",""
"2010","Greece","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","103.4",""
"2010","Spain","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","94.6",""
"2010","France","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","109.6",""
"2010","Croatia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","77.4",""
"2010","Italy","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","111.4",""
"2010","Cyprus","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","111.9",""
"2010","Latvia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","84.9",""
"2010","Lithuania","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","72.0",""
"2010","Luxembourg","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","106.4",""
"2010","Hungary","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","65.2",""
"2010","Malta","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.0",""
"2010","Netherlands","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.7",""
"2010","Austria","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","102.5",""
"2010","Poland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","59.7",""
"2010","Portugal","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","98.4",""
"2010","Romania","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","65.2",""
"2010","Slovenia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","85.4",""
"2010","Slovakia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","81.3",""
"2010","Finland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","104.7",""
"2010","Sweden","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","108.1",""
"2010","United Kingdom","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","110.6",""
"2010","Iceland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","108.2",""
"2010","Norway","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","112.7",""
"2010","Switzerland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","96.9",""
"2010","Candidate and potential candidate countries except Turkey and Kosovo (under United Nations Security Council Resolution 1244/99)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","64.0",""
"2010","Montenegro","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","61.9",""
"2010","North Macedonia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","60.1",""
"2010","Albania","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","71.4",""
"2010","Serbia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","67.2",""
"2010","Turkey","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","65.9",""
"2010","Bosnia and Herzegovina","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","56.9",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings",":",""
"2010","United States","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings",":",""
"2010","Japan","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings",":",""
"2011","European Union - 27 countries (from 2020)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","98.3",""
"2011","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.0",""
"2011","European Union - 27 countries (2007-2013)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.2",""
"2011","European Union - 25 countries (2004-2006)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.7",""
"2011","European Union - 15 countries (1995-2004)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","103.4",""
"2011","Euro area - 19 countries  (from 2015)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.4",""
"2011","Euro area - 18 countries (2014)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.5",""
"2011","Euro area - 17 countries (2011-2013)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.5",""
"2011","Euro area - 16 countries (2009-2010)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.6",""
"2011","Euro area - 15 countries (2008)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.8",""
"2011","Euro area - 13 countries (2007)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.8",""
"2011","Euro area - 12 countries (2001-2006)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.8",""
"2011","Euro area - 11 countries (1999-2000)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.8",""
"2011","Belgium","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","99.3",""
"2011","Bulgaria","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","53.5",""
"2011","Czechia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","76.4",""
"2011","Denmark","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.5",""
"2011","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","94.6",""
"2011","Estonia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","87.3",""
"2011","Ireland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","99.1",""
"2011","Greece","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","102.2",""
"2011","Spain","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","95.5",""
"2011","France","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","109.6",""
"2011","Croatia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","74.7",""
"2011","Italy","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","112.2",""
"2011","Cyprus","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","103.8",""
"2011","Latvia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","81.3",""
"2011","Lithuania","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","70.6",""
"2011","Luxembourg","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","107.8",""
"2011","Hungary","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","63.3",""
"2011","Malta","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","97.7",""
"2011","Netherlands","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","99.9",""
"2011","Austria","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","103.2",""
"2011","Poland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","59.3",""
"2011","Portugal","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","98.2",""
"2011","Romania","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","65.5",""
"2011","Slovenia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","87.2",""
"2011","Slovakia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","78.7",""
"2011","Finland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","105.8",""
"2011","Sweden","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","109.8",""
"2011","United Kingdom","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","111.7",""
"2011","Iceland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","110.7",""
"2011","Norway","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","111.7",""
"2011","Switzerland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","105.2",""
"2011","Candidate and potential candidate countries except Turkey and Kosovo (under United Nations Security Council Resolution 1244/99)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","63.9",""
"2011","Montenegro","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","61.9",""
"2011","North Macedonia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","58.8",""
"2011","Albania","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","69.5",""
"2011","Serbia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","69.5",""
"2011","Turkey","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","60.5",""
"2011","Bosnia and Herzegovina","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","56.4",""
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings",":",""
"2011","United States","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings",":",""
"2011","Japan","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings",":",""
