"COICOP","GEO","UNIT","TIME","Value","Flag and Footnotes"
"Armchair (1 piece) ","Netherlands","Euro","2015","370.38","d"
"Armchair (1 piece) ","Poland","Euro","2015","127.31",""
"Armchair (1 piece) ","Romania","Euro","2015","126.46",""
"Armchair (1 piece) ","Slovenia","Euro","2015",":",""
"Armchair (1 piece) ","Slovakia","Euro","2015","167.95",""
"Armchair (1 piece) ","Finland","Euro","2015",":",""
"Armchair (1 piece) ","Norway","Euro","2015",":",""
"Armchair (1 piece) ","Turkey","Euro","2015",":",""
"Table lamp (1 piece) ","Bulgaria","Euro","2015",":",""
"Table lamp (1 piece) ","Czechia","Euro","2015","14.45",""
"Table lamp (1 piece) ","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Table lamp (1 piece) ","Spain","Euro","2015",":",""
"Table lamp (1 piece) ","Croatia","Euro","2015","17.33","d"
"Table lamp (1 piece) ","Italy","Euro","2015","61.98","d"
"Table lamp (1 piece) ","Cyprus","Euro","2015","23.34",""
"Table lamp (1 piece) ","Lithuania","Euro","2015","18.45",""
"Table lamp (1 piece) ","Malta","Euro","2015","26.45",""
"Table lamp (1 piece) ","Netherlands","Euro","2015",":",""
"Table lamp (1 piece) ","Poland","Euro","2015",":",""
"Table lamp (1 piece) ","Romania","Euro","2015",":",""
"Table lamp (1 piece) ","Slovenia","Euro","2015","20.16",""
"Table lamp (1 piece) ","Slovakia","Euro","2015","22.25",""
"Table lamp (1 piece) ","Finland","Euro","2015",":",""
"Table lamp (1 piece) ","Norway","Euro","2015",":",""
"Table lamp (1 piece) ","Turkey","Euro","2015",":",""
