TIME,GEO,male_percent,female_percent,0 to 15 percent,15 to 25 percent,25 to 45 percent,45 to 65 percent,65 or older percent,Primary,Secondary,Tertiary,activity_level,Income,Per capita consumption
2011,Bulgaria,0.4870017780205826,0.5129982219794174,0.13232107064982354,0.1180571471528806,0.28282129244442344,0.2821931571107729,0.1846073326420995,0.24,0.5589999999999999,0.201,0.6589999999999999,2911.0,61.64655045959451
2011,Czechia,0.4908327485467111,0.5091672514532889,0.14511338185369682,0.11975819728760087,0.305141516455414,0.2738878302494838,0.15609907415380447,0.139,0.703,0.158,0.7052499999999999,7451.0,19.777373902315222
2011,Denmark,0.4957321367298802,0.5042678632701199,0.17895226941992884,0.124792559401564,0.26026466794757713,0.26806324753247296,0.16792725569845707,0.309,0.413,0.278,0.77775,26944.0,52.7350507892274
2011,Germany (until 1990 former territory of the FRG),0.4877037259013465,0.5122962740986535,0.13566883375540134,0.11123376093597193,0.2589181043893597,0.2875475967864951,0.206631704132772,0.181,0.5760000000000001,0.243,0.773,19043.0,44.02305026678134
2011,Estonia,0.4660589925244048,0.5339410074755953,0.15349036595821489,0.130243821728863,0.2773490967615781,0.2644209797993472,0.17449573575199676,0.177,0.51,0.313,0.7475,5603.0,43.62017357820796
2011,Ireland,0.4964964084604259,0.5035035915395741,0.21267191160741225,0.1286517850716306,0.31730972650567796,0.226101051416565,0.11526552539871415,0.29100000000000004,0.365,0.344,0.7120000000000001,19726.0,29.639800292328765
2011,France,0.484203159369665,0.5157968406303349,0.18574328355893616,0.12307855366990066,0.2600702159096052,0.2637216574330541,0.16738628942850384,0.312,0.42,0.267,0.7010000000000001,20005.0,93.92197793489964
2011,Croatia,0.4822426481815128,0.5177573518184871,0.15266522870109656,0.1181270144902266,0.27005818608872045,0.2818345693108185,0.1773150014091379,0.246,0.6,0.154,0.6415000000000001,5579.0,36.10609864151649
2011,Italy,0.4837093565215282,0.5162906434784718,0.14069306181839744,0.09979949360470004,0.28081179232975023,0.2736698700860731,0.20502578216107925,0.455,0.414,0.132,0.6204999999999999,15971.0,224.8899135159301
2011,Cyprus,0.4867609565216356,0.5132390434783645,0.16828559894540168,0.159585400910508,0.3008880013242021,0.24440578219019685,0.1268352166296914,0.28300000000000003,0.38,0.337,0.7354999999999999,16990.0,127.21628196929804
2011,Latvia,0.4569250532028989,0.5430749467971011,0.1419754603888451,0.1340356356993259,0.27335565083473723,0.2669163527514876,0.18371690032560412,0.195,0.568,0.236,0.7282500000000001,4195.0,44.29758917962697
2011,Lithuania,0.4609934259061492,0.5390065740938509,0.1488631941159436,0.14230089353689393,0.2641758403033754,0.2660224701138837,0.1786376019299034,0.159,0.563,0.279,0.71375,3857.0,95.98412887687431
2011,Luxembourg,0.4974581900593936,0.5025418099406065,0.17592020944045014,0.11928727727414815,0.3039055173491716,0.26200765864332604,0.13887933729290405,0.29100000000000004,0.393,0.317,0.6795,32538.0,2.4421694279462334
2011,Malta,0.4973746292070392,0.5026253707929608,0.1500015663065768,0.1352590068652422,0.2729494034781645,0.2847882714963529,0.15700175185366358,0.589,0.26,0.151,0.6185,10862.0,151.04014805211705
