Name,BUURTCODE,Food,Green_electricity,nongreen_electricity,Gas,Water,Car,Train,bustram,Clothes,Furniture,Paper
Componistenbuurt,93,1066.597732,10.96088494,403.1410249,205.2414685,6.841466281,2431.126254,95.87328339,64.24478352,31.547229,238.9519534,41.51159733
De Bras,115,1026.28442,10.1428098,285.1702511,4.468625108,4.233083624,2320.455423,88.12268513,59.83197576,26.42339999,257.5269101,42.13999842
De Lanen,118,1039.588584,10.31059076,296.7195357,92.13890012,4.225665775,2365.396171,87.49310671,59.03114246,26.28471363,261.7807156,38.75201129
De Uithof,99,1072.91471,13.14362841,484.1425032,195.4666087,6.465106732,2287.060021,96.04837761,65.18369195,29.45867727,236.4426705,34.79805697
De Velden,119,1055.698155,10.26910202,324.1953461,99.27818008,4.673015404,2462.937278,90.55319455,61.31461092,26.07648212,258.4524892,42.19145475
De Venen,111,1039.341635,16.82484957,466.4330152,3.582700855,5.29909103,2502.87399,88.33946905,58.87825106,24.79681439,261.1478358,37.68579937
De Vissen,120,1054.330095,10.44463515,333.6238031,102.0330958,4.562775355,2425.995208,91.61812399,62.20782713,26.76178515,254.9170179,42.08274006
Dreven en Gaarden,98,1065.280007,8.761728048,237.8952304,125.6592399,5.02952036,2376.374965,92.64685589,63.11020941,25.60373748,118.9983691,28.58231849
Duindorp,100,1071.364741,12.22529918,353.2490401,98.14127286,5.496833145,2512.255792,90.01498646,59.94942132,26.16883996,236.2431399,30.14058783
Duinzigt,76,1029.17661,10.22165686,504.1906963,286.9738677,7.370246467,2212.58912,99.15295956,67.68829315,30.80959386,250.8209671,41.43469689
Duttendel,74,1037.582092,12.26106468,537.6924164,270.175814,6.126294267,2331.913247,95.12554424,64.29789929,30.73123612,236.972049,37.46330914
Erasmus Veld,101,1057.480741,9.312646421,313.4803352,86.15261252,4.386675021,2412.316779,94.49027826,64.25057751,30.40951645,233.49256,40.31053227
Eykenduinen,83,1052.576692,9.590210594,336.5858121,180.7823909,6.034227366,2544.118085,90.95795506,60.11751182,30.11274266,218.2182507,40.39013027
Geuzenkwartier,8,1037.946056,8.806925495,343.1715373,177.2592984,5.932217084,2478.365044,92.79099113,62.27493942,29.77693939,216.3302218,35.68595148
Groente- en Fruitmarkt,21,1072.659103,9.407438113,234.6206313,127.4818589,4.489979113,2445.662482,93.15721977,64.29097614,24.4541652,109.238373,28.55863721
Haagse Bos,49,1082.245283,6.968134139,277.0125728,168.1276236,7.413692332,2582.609688,95.68913387,63.36119914,30.81559999,246.3652943,41.5713826
Heesterbuurt,54,1059.799233,9.634358226,293.9516736,169.1238736,6.191865549,2585.55625,91.60764724,61.03536462,29.28598033,225.606731,22.47327127
Hoge Veld,102,1040.480058,9.755266937,273.7555599,18.70483823,4.454133725,2328.557182,88.76564046,60.11607336,25.16217185,259.0603496,36.81944521
Houtwijk,86,1068.286311,9.861422754,315.9274105,120.8274571,5.20371945,2452.115953,92.88855229,62.71412247,31.09986371,228.5281843,34.52708287
Huygenspark,18,1064.068201,11.47483201,325.0531531,140.0306523,6.922865104,2406.796785,105.7447472,76.99647006,30.13420846,133.7938589,35.7427376
Kampen,67,1068.391073,9.911449142,325.9967156,180.2760407,6.714201842,2573.292565,91.5217462,60.52790115,30.24754162,239.0885766,24.61376042
Kijkduin,91,1065.432271,12.73629633,555.7479115,212.364,6.480417594,2379.395918,96.77426127,65.77029209,31.57832698,234.8182531,44.12070308
Kom Loosduinen,95,1067.987492,9.86411874,344.4195008,147.5771819,6.23312289,2439.889093,94.35287523,63.11849547,30.72475527,225.7091311,36.27192115
Koningsplein en omgeving,44,1060.307733,11.57788884,388.9487,224.0259485,6.696938239,2661.535338,91.75390695,60.87123433,29.128441,243.8572386,35.80455893
Kortenbos,11,1070.455599,10.66808612,357.4449839,138.1589443,7.010017891,2658.873324,93.8823917,63.00716153,29.68540027,248.3400623,40.73146472
Kraayenstein,97,1066.272534,10.91687272,370.3063068,148.2360375,5.424803267,2513.487839,90.80493694,60.58123699,31.4573273,234.9027881,41.09939927
Laakhaven-Oost,19,1067.652066,10.86703511,271.0220932,97.26281482,6.175973953,2437.807899,100.2345641,70.96772193,30.17022515,134.4131255,27.48400612
Laakhaven-West,22,1071.56258,10.55986855,273.7588947,128.2753829,5.882611205,2483.189548,95.55962865,66.17519256,28.37023419,117.9515506,26.59840036
Laakkwartier-Oost,25,1079.552385,9.987506478,262.4088441,170.3152562,5.576037727,2571.460982,93.15820036,63.27532568,29.00337096,142.7262009,25.45114567
Laakkwartier-West,24,1079.074544,9.799779232,259.9637481,166.2578504,5.31749404,2569.177856,92.27055603,62.53347572,28.37066519,136.1513992,25.52123738
Lage Veld,104,1059.742722,10.04909785,312.6323014,100.7846721,4.791305528,2465.541419,91.48361688,61.71898134,29.69952875,239.812052,40.90195516
Landen,61,1063.746707,9.529769234,307.597618,147.5911154,6.216378409,2495.327411,92.3962111,61.79155143,30.07115369,229.490023,23.84425661
Leyenburg,84,1072.702135,10.60742566,317.4686322,124.0914822,5.948223691,2525.895454,93.39618375,62.75474914,30.26622259,234.1416992,28.9989936
Marlot,68,1044.791088,12.95479443,443.011064,284.3589565,5.679299158,2299.112818,92.60889637,63.62727048,26.82551857,248.1696696,38.69101454
Moerwijk-Noord,38,1074.940522,9.440706506,249.8317033,154.0073061,5.341940948,2498.047078,91.51787177,61.96933626,25.32371108,124.8217253,27.29025569
Moerwijk-Oost,20,1079.484176,8.9572726,247.4584394,120.9621807,5.517710565,2511.510838,91.00795989,61.49296017,25.15122442,118.0798626,27.54885477
Moerwijk-West,37,1070.84042,7.95049834,218.0942599,131.77325,5.321423151,2452.08242,90.32485616,60.73942508,25.14384083,119.1714672,27.39870167
Moerwijk-Zuid,39,1072.297706,8.352053047,217.7728394,125.2187217,5.587669997,2466.111546,91.10946478,61.82130273,24.17149868,116.4157216,25.83298665
Morgenstond-Oost,89,1078.386725,8.891910303,252.1492186,144.2421583,6.190560603,2557.000507,91.04259666,60.797848,29.19135764,141.3386202,26.18552466
Morgenstond-West,88,1067.261459,9.421489078,260.2452341,101.4655179,5.341400982,2450.432532,91.58465499,61.73962009,26.25151437,233.0964031,24.86687338
Morgenstond-Zuid,80,1072.464983,8.677800185,234.202587,141.2202226,5.63351128,2538.768875,90.54042449,60.50066898,25.33650428,123.3425817,27.29352706
Morgenweide,112,1040.065441,10.44692928,303.1553263,0,4.836001838,2426.210359,90.28985941,61.16541989,26.04992654,256.1919453,38.95285685
Nassaubuurt,48,1020.132928,10.90008371,443.4487615,258.8086154,6.582933135,2403.843008,91.27289647,61.25564969,26.75715081,258.1708254,37.93991087
Nieuw Waldeck,40,1063.106447,9.376880186,300.4782434,143.7378918,5.414402881,2441.346903,92.77346561,62.40043549,30.41156052,185.2459437,29.76225496
Noordpolderbuurt,26,1075.372284,9.384762866,246.1192252,146.5258958,5.288131131,2499.349262,94.57377793,65.24463679,28.22705661,114.0740483,26.92950589
Ockenburgh,90,1055.590217,12.36245175,461.814815,231.8920252,4.846524144,2469.789864,95.49204865,66.42240975,31.80178911,242.954669,45.06368856
Oostbroek-Noord,31,1076.631559,9.32277789,244.4966415,167.30952,5.410596755,2598.793986,91.75261516,61.69453636,28.97527664,144.2617959,25.57062246
Oostbroek-Zuid,35,1071.108141,9.585213524,245.7376008,167.8316872,5.252976186,2530.026386,92.40663943,62.81461485,24.55717985,128.955838,27.10682829
Oud Scheveningen,1,1073.554531,9.797364727,329.6853576,174.0894247,6.451428068,2632.189107,90.84564204,59.75995193,30.28385342,233.7659068,36.00942422
Parkbuurt oosteinde,103,1066.352223,11.41655336,361.7999885,119.7205079,4.765875178,2475.284102,91.68950047,62.69907447,30.19391342,259.6039561,42.23702667
Rietbuurt,121,1032.247542,9.763858603,273.9792902,98.79738657,4.365162016,2319.34236,85.53680912,57.30156568,25.98859286,262.4994681,39.82845316
Rijslag,72,1061.058424,12.14036008,424.0777146,219.1315776,6.753947142,2439.879408,95.26146514,64.6707292,31.36237561,245.1377124,41.6337736
Rivierenbuurt-Noord,63,1076.733158,10.50721643,326.9511553,104.0849539,6.413325648,2627.109532,93.98694957,63.74248364,29.22962053,256.8728074,24.86998771
Rivierenbuurt-Zuid,62,1088.273565,13.49504363,401.6140709,255.0817412,7.436321888,2688.921301,101.954331,71.87727103,30.28721753,136.4987003,35.88979693
Rond de Energiecentrale,10,1063.838764,9.544741448,327.9400742,131.8961276,6.21567692,2644.723741,93.41881898,62.69462975,29.25124649,236.3941608,34.08898989
Rosenburg,82,1073.987497,8.71661973,330.959203,155.2556701,6.070761618,2454.78612,95.10342443,63.5577062,30.71343333,230.2803177,36.13625796
Rustenburg,30,1078.934936,9.545533753,263.5670403,157.8724852,5.611106427,2582.836858,91.48115076,61.31863067,29.06193626,162.0860107,25.57548226
Scheveningen Badplaats,3,1069.210158,10.73551549,355.2226116,201.1956215,6.635782947,2579.257168,92.37657212,61.67217132,30.18882958,230.4892459,35.95392477
Schildersbuurt-Noord,16,1057.370555,8.534620197,217.285617,111.1915193,4.66570861,2398.402856,93.20897629,64.05235493,24.74132447,157.5918561,30.91057287
