TIME,GEO,male_percent,female_percent,0 to 15 percent,15 to 25 percent,25 to 45 percent,45 to 65 percent,65 or older percent,Primary,Secondary,Tertiary,activity_level,Income,Per capita consumption
2011,Greece,0.4902680765004057,0.5097319234995944,0.14638106793323474,0.10909594843011916,0.2976173095401115,0.2540047136700748,0.19290096042645985,0.371,0.407,0.222,0.6725,10985.0,13.32237504530992
2011,France,0.484203159369665,0.5157968406303349,0.18574328355893616,0.12307855366990066,0.2600702159096052,0.2637216574330541,0.16738628942850384,0.312,0.42,0.267,0.7010000000000001,20005.0,11.292004347084639
2011,Croatia,0.4822426481815128,0.5177573518184871,0.15266522870109656,0.1181270144902266,0.27005818608872045,0.2818345693108185,0.1773150014091379,0.246,0.6,0.154,0.6415000000000001,5579.0,1.5268574220539286
2011,Cyprus,0.4867609565216356,0.5132390434783645,0.16828559894540168,0.159585400910508,0.3008880013242021,0.24440578219019685,0.1268352166296914,0.28300000000000003,0.38,0.337,0.7354999999999999,16990.0,6.704368318703997
2011,Lithuania,0.4609934259061492,0.5390065740938509,0.1488631941159436,0.14230089353689393,0.2641758403033754,0.2660224701138837,0.1786376019299034,0.159,0.563,0.279,0.71375,3857.0,2.630554794816726
2011,Austria,0.4870198362682808,0.5129801637317192,0.14738887501188036,0.1215791117642592,0.2811121071778415,0.2734936294978821,0.17642627654813686,0.231,0.606,0.163,0.7454999999999999,21463.0,3.4447086648094296
2011,Poland,0.4841929575286768,0.5158070424713233,0.1525000132675759,0.13703356654666649,0.29609167690021504,0.278243476989741,0.13613126629580158,0.17500000000000002,0.622,0.203,0.65725,5032.0,2.713941763170985
2011,Portugal,0.47797941513826,0.5220205848617401,0.15087629759642765,0.10888095883737024,0.2883599217268667,0.26494683818857984,0.1869359836507556,0.642,0.203,0.155,0.73625,8410.0,4.573089557550984
2011,Romania,0.4868023307422391,0.513197669257761,0.1583003940926159,0.1229284492906328,0.3031411512783838,0.25441650524413045,0.16121350009423707,0.3,0.5720000000000001,0.129,0.64125,2089.0,4.292774232700643
2012,Greece,0.4892373596997981,0.5107626403002019,0.1466733222651236,0.10702142786399847,0.29313458301996154,0.2564918694119627,0.1966787974389536,0.359,0.413,0.229,0.6744999999999999,9460.0,14.828971625249878
2012,France,0.4841734643281538,0.5158265356718462,0.1858289621013888,0.12121914396687115,0.25793220253454424,0.2636263995227843,0.17139329187441155,0.304,0.419,0.27699999999999997,0.7072499999999999,20605.0,9.81463864529401
2012,Croatia,0.482300448271088,0.517699551728912,0.15088152808803776,0.11771395776972038,0.2685533902839674,0.28386191342156564,0.17898921043670885,0.231,0.611,0.158,0.63875,5377.0,0.7179633974308605
2012,Cyprus,0.4860645629812149,0.5139354370187852,0.16500485492644526,0.1554782943605128,0.30757728149640784,0.2438193944160805,0.1281201748005536,0.264,0.386,0.35000000000000003,0.7345,16927.0,5.730785338006126
2012,Austria,0.487403071387769,0.5125969286122309,0.14558948426170365,0.12105582210341645,0.2771258881740641,0.2782631220459363,0.1779656834148795,0.224,0.608,0.16899999999999998,0.7509999999999999,21807.0,3.1422002609144184
2012,Poland,0.4841161385076926,0.5158838614923075,0.15140462095841636,0.1325149107582345,0.2989870531028543,0.27745370193279745,0.13963971324769744,0.16699999999999998,0.618,0.215,0.66475,5057.0,2.8462744857369966
2012,Portugal,0.47716250135879906,0.522837498641201,0.14919755448428335,0.10807892094379286,0.2843446054683195,0.2679434982439479,0.1904354208596564,0.616,0.217,0.16699999999999998,0.73425,8323.0,4.64315613961833
2012,Romania,0.4865201505812402,0.5134798494187598,0.15845191251033292,0.12203958440278352,0.30471886041378593,0.2534466069758374,0.1613430356972603,0.292,0.573,0.135,0.64775,2049.0,3.4509361964443075
2013,Greece,0.48768073037815296,0.512319269621847,0.1468261112370798,0.10574115870102688,0.2868759039642881,0.2599176725103523,0.20063915358725293,0.34500000000000003,0.414,0.24,0.67475,8377.0,14.567939717992678
2013,France,0.4843368213736665,0.5156631786263336,0.18587256013115785,0.11995239354668075,0.25589831456691925,0.2626007635629993,0.17567596819224288,0.28,0.4310000000000001,0.289,0.71125,20915.0,9.196292397830195
2013,Croatia,0.4825001055807646,0.5174998944192354,0.14934727625089744,0.11739126354366584,0.2675533886732956,0.2843106983815642,0.1813973731505769,0.224,0.605,0.17,0.637,5078.0,1.2693154143223826
2013,Cyprus,0.4862532596970936,0.5137467403029065,0.16375748084603142,0.1497416495164446,0.3093622889136807,0.24496984563645224,0.13216873508739108,0.254,0.392,0.354,0.73575,15873.0,6.040111886432038
2013,Lithuania,0.4606106184417066,0.5393893815582934,0.14690106177687376,0.13546294380203944,0.2598010367087777,0.27539372893817265,0.1824412287741365,0.14400000000000002,0.5579999999999999,0.298,0.7240000000000001,4698.0,5.824546881545676
2013,Austria,0.4878952088652676,0.5121047911347325,0.14427155679341588,0.1205912071425698,0.27357670382614,0.2808598344033148,0.1807006978345595,0.222,0.6020000000000001,0.177,0.755,22073.0,2.7177449697463043
2013,Poland,0.4841005203673376,0.5158994796326624,0.15087988753245152,0.12816116950697054,0.3015015158606751,0.2755726332993848,0.14388479380051802,0.161,0.613,0.226,0.66975,5174.0,2.3981587143368146
2013,Portugal,0.4763573312416584,0.5236426687583416,0.1478171336748706,0.107090593193341,0.27998951874025785,0.271286602285872,0.19381615210565856,0.594,0.23,0.17600000000000002,0.7305,8177.0,4.74193092228125
2013,Romania,0.4875846113256125,0.5124153886743875,0.15682304670801914,0.1181327301787196,0.3008627740337024,0.2614348977930851,0.16274655128647378,0.289,0.573,0.138,0.649,2018.0,3.867618071741393
