"TIME","GEO","CROPS","STRUCPRO","Value","Flag and Footnotes"
"2011","Poland","Broad and field beans","Harvested production in EU standard humidity (1000 t)","24.10",""
"2011","Poland","Fresh beans","Harvested production in EU standard humidity (1000 t)","68.60",""
"2011","Poland","Nuts","Harvested production in EU standard humidity (1000 t)","10.60","e"
"2011","Portugal","Broad and field beans","Harvested production in EU standard humidity (1000 t)","2.06",""
"2011","Portugal","Fresh beans","Harvested production in EU standard humidity (1000 t)","12.74",""
"2011","Portugal","Nuts","Harvested production in EU standard humidity (1000 t)","33.55","d"
"2011","Romania","Broad and field beans","Harvested production in EU standard humidity (1000 t)","21.35",""
"2011","Romania","Fresh beans","Harvested production in EU standard humidity (1000 t)","32.22",""
"2011","Romania","Nuts","Harvested production in EU standard humidity (1000 t)","33.14",""
"2011","Slovenia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.56",""
"2011","Slovenia","Fresh beans","Harvested production in EU standard humidity (1000 t)","3.15",""
"2011","Slovenia","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Slovakia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.10",""
"2011","Slovakia","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2011","Slovakia","Nuts","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2011","Finland","Broad and field beans","Harvested production in EU standard humidity (1000 t)","20.02",""
"2011","Finland","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2011","Finland","Nuts","Harvested production in EU standard humidity (1000 t)","0.00",""
"2011","Sweden","Broad and field beans","Harvested production in EU standard humidity (1000 t)","52.38",""
"2011","Sweden","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.02",""
"2011","Sweden","Nuts","Harvested production in EU standard humidity (1000 t)","0.00",""
"2011","United Kingdom","Broad and field beans","Harvested production in EU standard humidity (1000 t)","419.00",""
"2011","United Kingdom","Fresh beans","Harvested production in EU standard humidity (1000 t)",":",""
"2011","United Kingdom","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Iceland","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.00",""
"2011","Iceland","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.00",""
"2011","Iceland","Nuts","Harvested production in EU standard humidity (1000 t)","0.00",""
"2011","Norway","Broad and field beans","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Norway","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.42",""
"2011","Norway","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Switzerland","Broad and field beans","Harvested production in EU standard humidity (1000 t)","1.12",""
"2011","Switzerland","Fresh beans","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Switzerland","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Montenegro","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.13",""
"2011","Montenegro","Fresh beans","Harvested production in EU standard humidity (1000 t)",":","z"
"2011","Montenegro","Nuts","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2011","North Macedonia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","12.99",""
"2011","North Macedonia","Fresh beans","Harvested production in EU standard humidity (1000 t)",":","z"
"2011","North Macedonia","Nuts","Harvested production in EU standard humidity (1000 t)","6.38",""
"2011","Albania","Broad and field beans","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Albania","Fresh beans","Harvested production in EU standard humidity (1000 t)","8.20",""
"2011","Albania","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Serbia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","15.49",""
"2011","Serbia","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2011","Serbia","Nuts","Harvested production in EU standard humidity (1000 t)","20.09",""
"2011","Turkey","Broad and field beans","Harvested production in EU standard humidity (1000 t)","220.00",""
"2011","Turkey","Fresh beans","Harvested production in EU standard humidity (1000 t)","657.00",""
"2011","Turkey","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2011","Bosnia and Herzegovina","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.00",""
"2011","Bosnia and Herzegovina","Fresh beans","Harvested production in EU standard humidity (1000 t)","1.31","e"
"2011","Bosnia and Herzegovina","Nuts","Harvested production in EU standard humidity (1000 t)","5.34","e"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Broad and field beans","Harvested production in EU standard humidity (1000 t)","5.00",""
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Nuts","Harvested production in EU standard humidity (1000 t)","0.40",""
"2012","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Broad and field beans","Harvested production in EU standard humidity (1000 t)","1 003.04",""
"2012","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fresh beans","Harvested production in EU standard humidity (1000 t)","922.81",""
"2012","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2012","European Union - 27 countries (from 2020)","Broad and field beans","Harvested production in EU standard humidity (1000 t)","667.51",""
"2012","European Union - 27 countries (from 2020)","Fresh beans","Harvested production in EU standard humidity (1000 t)","875.72",""
"2012","European Union - 27 countries (from 2020)","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2012","European Union - 28 countries (2013-2020)","Broad and field beans","Harvested production in EU standard humidity (1000 t)","1 003.51",""
"2012","European Union - 28 countries (2013-2020)","Fresh beans","Harvested production in EU standard humidity (1000 t)","924.05",""
"2012","European Union - 28 countries (2013-2020)","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Belgium","Broad and field beans","Harvested production in EU standard humidity (1000 t)","2.50",""
"2012","Belgium","Fresh beans","Harvested production in EU standard humidity (1000 t)","88.52",""
"2012","Belgium","Nuts","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2012","Bulgaria","Broad and field beans","Harvested production in EU standard humidity (1000 t)","1.60",""
"2012","Bulgaria","Fresh beans","Harvested production in EU standard humidity (1000 t)","2.00",""
"2012","Bulgaria","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Czechia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2012","Czechia","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2012","Czechia","Nuts","Harvested production in EU standard humidity (1000 t)","0.05",""
"2012","Denmark","Broad and field beans","Harvested production in EU standard humidity (1000 t)","8.80",""
"2012","Denmark","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2012","Denmark","Nuts","Harvested production in EU standard humidity (1000 t)",":","z"
"2012","Germany (until 1990 former territory of the FRG)","Broad and field beans","Harvested production in EU standard humidity (1000 t)","61.30",""
"2012","Germany (until 1990 former territory of the FRG)","Fresh beans","Harvested production in EU standard humidity (1000 t)","49.06",""
"2012","Germany (until 1990 former territory of the FRG)","Nuts","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2012","Estonia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2012","Estonia","Fresh beans","Harvested production in EU standard humidity (1000 t)",":","z"
"2012","Estonia","Nuts","Harvested production in EU standard humidity (1000 t)","0.00",""
"2012","Ireland","Broad and field beans","Harvested production in EU standard humidity (1000 t)","15.26","d"
"2012","Ireland","Fresh beans","Harvested production in EU standard humidity (1000 t)",":","z"
"2012","Ireland","Nuts","Harvested production in EU standard humidity (1000 t)","0.00",""
"2012","Greece","Broad and field beans","Harvested production in EU standard humidity (1000 t)","1.93",""
"2012","Greece","Fresh beans","Harvested production in EU standard humidity (1000 t)","70.94",""
"2012","Greece","Nuts","Harvested production in EU standard humidity (1000 t)","91.53",""
"2012","Spain","Broad and field beans","Harvested production in EU standard humidity (1000 t)","23.27",""
"2012","Spain","Fresh beans","Harvested production in EU standard humidity (1000 t)","50.15",""
"2012","Spain","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2012","France","Broad and field beans","Harvested production in EU standard humidity (1000 t)","273.54",""
"2012","France","Fresh beans","Harvested production in EU standard humidity (1000 t)","310.40",""
"2012","France","Nuts","Harvested production in EU standard humidity (1000 t)","56.73",""
"2012","Croatia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.47",""
"2012","Croatia","Fresh beans","Harvested production in EU standard humidity (1000 t)","1.24",""
"2012","Croatia","Nuts","Harvested production in EU standard humidity (1000 t)","1.36",""
"2012","Italy","Broad and field beans","Harvested production in EU standard humidity (1000 t)","107.81",""
"2012","Italy","Fresh beans","Harvested production in EU standard humidity (1000 t)","134.12",""
"2012","Italy","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Cyprus","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.62",""
"2012","Cyprus","Fresh beans","Harvested production in EU standard humidity (1000 t)","3.93",""
"2012","Cyprus","Nuts","Harvested production in EU standard humidity (1000 t)","0.39",""
"2012","Latvia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","7.50",""
"2012","Latvia","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2012","Latvia","Nuts","Harvested production in EU standard humidity (1000 t)","0.00",""
"2012","Lithuania","Broad and field beans","Harvested production in EU standard humidity (1000 t)","10.30",""
"2012","Lithuania","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.50",""
"2012","Lithuania","Nuts","Harvested production in EU standard humidity (1000 t)","0.00",""
"2012","Luxembourg","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.08",""
"2012","Luxembourg","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.05",""
"2012","Luxembourg","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Hungary","Broad and field beans","Harvested production in EU standard humidity (1000 t)","1.06",""
"2012","Hungary","Fresh beans","Harvested production in EU standard humidity (1000 t)","17.87",""
"2012","Hungary","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Malta","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.00",""
"2012","Malta","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.71",""
"2012","Malta","Nuts","Harvested production in EU standard humidity (1000 t)","0.00",""
"2012","Netherlands","Broad and field beans","Harvested production in EU standard humidity (1000 t)","5.00",""
"2012","Netherlands","Fresh beans","Harvested production in EU standard humidity (1000 t)","40.00",""
"2012","Netherlands","Nuts","Harvested production in EU standard humidity (1000 t)",":","z"
"2012","Austria","Broad and field beans","Harvested production in EU standard humidity (1000 t)","16.36",""
"2012","Austria","Fresh beans","Harvested production in EU standard humidity (1000 t)","7.32",""
"2012","Austria","Nuts","Harvested production in EU standard humidity (1000 t)","2.74",""
"2012","Poland","Broad and field beans","Harvested production in EU standard humidity (1000 t)","31.34",""
"2012","Poland","Fresh beans","Harvested production in EU standard humidity (1000 t)","59.90",""
"2012","Poland","Nuts","Harvested production in EU standard humidity (1000 t)","17.10",""
"2012","Portugal","Broad and field beans","Harvested production in EU standard humidity (1000 t)","1.93",""
"2012","Portugal","Fresh beans","Harvested production in EU standard humidity (1000 t)","12.46",""
"2012","Portugal","Nuts","Harvested production in EU standard humidity (1000 t)","34.56","d"
"2012","Romania","Broad and field beans","Harvested production in EU standard humidity (1000 t)","16.60",""
"2012","Romania","Fresh beans","Harvested production in EU standard humidity (1000 t)","24.27",""
"2012","Romania","Nuts","Harvested production in EU standard humidity (1000 t)","28.48",""
"2012","Slovenia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.38",""
"2012","Slovenia","Fresh beans","Harvested production in EU standard humidity (1000 t)","2.24",""
"2012","Slovenia","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Slovakia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.10",""
"2012","Slovakia","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2012","Slovakia","Nuts","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2012","Finland","Broad and field beans","Harvested production in EU standard humidity (1000 t)","22.24",""
"2012","Finland","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2012","Finland","Nuts","Harvested production in EU standard humidity (1000 t)","0.00",""
"2012","Sweden","Broad and field beans","Harvested production in EU standard humidity (1000 t)","57.52",""
"2012","Sweden","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.04",""
"2012","Sweden","Nuts","Harvested production in EU standard humidity (1000 t)","0.00",""
"2012","United Kingdom","Broad and field beans","Harvested production in EU standard humidity (1000 t)","336.00",""
"2012","United Kingdom","Fresh beans","Harvested production in EU standard humidity (1000 t)","48.33",""
"2012","United Kingdom","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Iceland","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.00",""
"2012","Iceland","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.00",""
"2012","Iceland","Nuts","Harvested production in EU standard humidity (1000 t)","0.00",""
"2012","Norway","Broad and field beans","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Norway","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.38",""
"2012","Norway","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Switzerland","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.95",""
"2012","Switzerland","Fresh beans","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Switzerland","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Montenegro","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.13",""
"2012","Montenegro","Fresh beans","Harvested production in EU standard humidity (1000 t)",":","z"
"2012","Montenegro","Nuts","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2012","North Macedonia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","10.98",""
"2012","North Macedonia","Fresh beans","Harvested production in EU standard humidity (1000 t)",":","z"
"2012","North Macedonia","Nuts","Harvested production in EU standard humidity (1000 t)","5.81",""
"2012","Albania","Broad and field beans","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Albania","Fresh beans","Harvested production in EU standard humidity (1000 t)","8.40",""
"2012","Albania","Nuts","Harvested production in EU standard humidity (1000 t)","11.95",""
"2012","Serbia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","10.43",""
"2012","Serbia","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2012","Serbia","Nuts","Harvested production in EU standard humidity (1000 t)","12.58",""
"2012","Turkey","Broad and field beans","Harvested production in EU standard humidity (1000 t)","218.00",""
"2012","Turkey","Fresh beans","Harvested production in EU standard humidity (1000 t)","661.00",""
"2012","Turkey","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2012","Bosnia and Herzegovina","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.00",""
"2012","Bosnia and Herzegovina","Fresh beans","Harvested production in EU standard humidity (1000 t)","1.03","e"
"2012","Bosnia and Herzegovina","Nuts","Harvested production in EU standard humidity (1000 t)","3.43","e"
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Broad and field beans","Harvested production in EU standard humidity (1000 t)","3.70",""
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Nuts","Harvested production in EU standard humidity (1000 t)","0.20",""
"2013","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Broad and field beans","Harvested production in EU standard humidity (1000 t)","1 043.27",""
"2013","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Fresh beans","Harvested production in EU standard humidity (1000 t)","1 069.51",""
"2013","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2013","European Union - 27 countries (from 2020)","Broad and field beans","Harvested production in EU standard humidity (1000 t)","633.14",""
"2013","European Union - 27 countries (from 2020)","Fresh beans","Harvested production in EU standard humidity (1000 t)","1 021.92",""
"2013","European Union - 27 countries (from 2020)","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2013","European Union - 28 countries (2013-2020)","Broad and field beans","Harvested production in EU standard humidity (1000 t)","1 044.75",""
"2013","European Union - 28 countries (2013-2020)","Fresh beans","Harvested production in EU standard humidity (1000 t)","1 070.89",""
"2013","European Union - 28 countries (2013-2020)","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2013","Belgium","Broad and field beans","Harvested production in EU standard humidity (1000 t)","2.40",""
"2013","Belgium","Fresh beans","Harvested production in EU standard humidity (1000 t)","105.79",""
"2013","Belgium","Nuts","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2013","Bulgaria","Broad and field beans","Harvested production in EU standard humidity (1000 t)","1.18",""
"2013","Bulgaria","Fresh beans","Harvested production in EU standard humidity (1000 t)","2.60",""
"2013","Bulgaria","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2013","Czechia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2013","Czechia","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2013","Czechia","Nuts","Harvested production in EU standard humidity (1000 t)","0.05",""
"2013","Denmark","Broad and field beans","Harvested production in EU standard humidity (1000 t)","9.88",""
"2013","Denmark","Fresh beans","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2013","Denmark","Nuts","Harvested production in EU standard humidity (1000 t)",":","z"
"2013","Germany (until 1990 former territory of the FRG)","Broad and field beans","Harvested production in EU standard humidity (1000 t)","59.70",""
"2013","Germany (until 1990 former territory of the FRG)","Fresh beans","Harvested production in EU standard humidity (1000 t)","53.62",""
"2013","Germany (until 1990 former territory of the FRG)","Nuts","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2013","Estonia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","0.60",""
"2013","Estonia","Fresh beans","Harvested production in EU standard humidity (1000 t)",":","z"
"2013","Estonia","Nuts","Harvested production in EU standard humidity (1000 t)","0.00",""
"2013","Ireland","Broad and field beans","Harvested production in EU standard humidity (1000 t)","19.73","d"
"2013","Ireland","Fresh beans","Harvested production in EU standard humidity (1000 t)",":","z"
"2013","Ireland","Nuts","Harvested production in EU standard humidity (1000 t)","0.00",""
"2013","Greece","Broad and field beans","Harvested production in EU standard humidity (1000 t)","5.47",""
"2013","Greece","Fresh beans","Harvested production in EU standard humidity (1000 t)","69.74",""
"2013","Greece","Nuts","Harvested production in EU standard humidity (1000 t)","85.09",""
"2013","Spain","Broad and field beans","Harvested production in EU standard humidity (1000 t)","28.40",""
"2013","Spain","Fresh beans","Harvested production in EU standard humidity (1000 t)","177.59",""
"2013","Spain","Nuts","Harvested production in EU standard humidity (1000 t)",":",""
"2013","France","Broad and field beans","Harvested production in EU standard humidity (1000 t)","245.55",""
"2013","France","Fresh beans","Harvested production in EU standard humidity (1000 t)","303.55",""
"2013","France","Nuts","Harvested production in EU standard humidity (1000 t)","54.18",""
"2013","Croatia","Broad and field beans","Harvested production in EU standard humidity (1000 t)","1.48",""
"2013","Croatia","Fresh beans","Harvested production in EU standard humidity (1000 t)","1.39",""
"2013","Croatia","Nuts","Harvested production in EU standard humidity (1000 t)","2.54",""
"2013","Italy","Broad and field beans","Harvested production in EU standard humidity (1000 t)","91.27",""
