"Name","BUURTCODE","env_impact_vegetables","env_impact_potato","env_impact_legumes","env_impact_fruits","env_impact_milk","env_impact_cereals","env_impact_meat","env_impact_fish","env_impact_fats","env_impact_sugar","total_impact"
"Archipelbuurt",46,60.5364168929312,7.53289255764862,0.824565485500082,20.204852004582,211.725774641374,122.329710812825,569.363706575879,14.394165202891,21.3462890159291,9.24318333816263,1037.50155652772
"Arendsdorp",78,58.8008960757154,7.35668270359586,0.797736414922414,20.0347018381133,211.863031508082,120.53101859317,554.98215498354,13.7475930189368,20.7489271536083,9.31896843453397,1018.18171072422
"Belgisch Park",71,56.8953586399664,7.96581752904683,0.791101460587294,19.1271063545212,216.306217178684,122.509032013776,589.422829099609,13.7086976141517,20.5460644753553,9.50878572372675,1056.78101008942
"Bezuidenhout-Midden",65,57.3947425111257,7.72198049442286,0.790455632217795,19.3713861723218,213.045335961047,121.199365613339,575.254350251071,13.7535019432474,20.5855156023494,9.37077578570458,1038.48740996685
"Bezuidenhout-Oost",66,59.2467444033737,7.792822503124,0.817510549217064,19.6590951684808,212.253147719268,122.323993482089,582.525613278048,14.3389290974451,21.1003943165483,9.25649604833841,1049.31474656593
"Bezuidenhout-West",64,57.1062112706728,7.64503601613863,0.787103109206774,19.360631067323,212.500265285898,119.940005668725,568.300944022327,13.5704664270691,20.2887053062807,9.33489715600213,1028.83426532964
"Binckhorst",60,50.055283369114,10.2885768962793,0.846250933681006,17.0817275177661,219.467141656544,131.359499131225,717.147256099894,13.6153448131969,20.866872184308,9.97216761114679,1190.70012021316
"Bloemenbuurt-Oost",51,57.2975978424425,7.90548261683968,0.79830587478483,19.2085665159855,214.706396144033,121.204173300149,583.98249290145,13.7822902206281,20.3939725359465,9.38448117692582,1048.66375912919
"Bloemenbuurt-West",50,57.1644686146118,7.9033952128441,0.796287568857692,19.1611452249093,214.431138166987,121.194341674592,584.016024298944,13.7670338956506,20.3958585005593,9.37929074754558,1048.2089839055
"Bohemen en Meer en Bos",92,60.2902562256069,7.89778867997759,0.839974540027926,19.7403444588069,213.338009987315,122.972607877603,589.542579897465,14.578777469786,21.2306192251298,9.21677641673328,1059.64773477845
"Bomenbuurt",52,57.2910923826974,7.92366011486602,0.798157227029923,19.1967444623673,214.845332123059,121.493542576457,585.568197122014,13.8053529661893,20.4519559055699,9.3976822777233,1050.77171715797
"Bosjes van Pex",81,58.0932192412321,7.83099342816663,0.80560213819875,19.3223137311371,213.361353251651,121.965486011094,583.07929265015,13.9821366664688,20.7628814251208,9.31597800853725,1048.51925655176
"Bosweide",108,51.3783803682376,8.07981172057429,0.726410154314634,17.7163209918647,214.853746931195,118.274818857499,585.56951207598,12.4396971615146,18.9591099908851,9.57923362942014,1037.57704188149
"Burgen en Horsten",69,55.2499996042662,8.28080267997497,0.78568703981241,18.3830519337405,214.979709513859,120.871927244817,602.325951184647,13.7074378434535,19.9881789434952,9.38365160084012,1063.95639758891
"Componistenbuurt",93,55.36266402925,8.34430167332,0.79214182992,18.2296532714364,214.26364278984,120.69873899697,605.7878785012,13.8447051741,19.9820704317067,9.291935653947,1066.59773235169
"De Bras",115,50.2581891851188,7.98671680414335,0.707784716653117,17.5943876996383,215.418498638211,116.956991658541,577.22042592146,11.991184530602,18.4972605239079,9.652979920815,1026.28441959909
"De Lanen",118,51.2946942214361,8.04296315082929,0.720025402009325,17.9813362255831,218.207852709774,118.972901718222,583.433502876603,12.2196458649876,18.923924009891,9.79173822636891,1039.5885844057
"De Reef",110,51.659960105224,9.53967625322682,0.771150823363636,17.4211386215165,223.715315491036,137.270333195757,697.803193381818,13.8498059469545,22.5878035789661,10.3966385269173,1185.01501592478
"De Rivieren",117,46.6175506193547,7.066538558745,0.67794479865,14.8774655701595,171.861190824,100.345611815581,512.5881140875,12.183391438125,17.0645365214667,7.34767448896125,890.630018722543
"De Uithof",99,51.7701487751864,8.73635114338265,0.757757104852174,17.2078107423813,214.21460107,118.526127272336,619.884091297971,13.4575007805435,19.0295130984822,9.33080919846685,1072.9147104836
"De Velden",119,53.4910244863859,8.16617440731827,0.754372458316173,18.268046567779,217.05671916932,120.783780259076,594.876498266329,13.0114176532216,19.6558211069741,9.63430088385274,1055.69815525857
"De Venen",111,51.2486502693292,8.09663807691433,0.724813787719231,17.706531825487,215.374849212479,118.49479970572,586.715893131396,12.4019916008248,18.9609843427569,9.61648311816821,1039.34163507079
"De Vissen",120,53.7180524239668,8.15005689061914,0.757318427954762,18.3210542782089,216.900407724082,120.568687790296,593.610764316113,13.0525695771975,19.6430809192366,9.60810258020831,1054.33009492788
"Dreven en Gaarden",98,49.5612520432188,8.67631357129816,0.725760326867268,16.9420267873653,216.288081845718,117.847488264714,614.569278777576,12.5966787354563,18.4610688735913,9.61205805536309,1065.28000728117
"Duindorp",100,51.1515757438961,8.61601455825109,0.744213031357935,17.3475166507499,216.874150104931,119.706879119014,615.374974251128,12.9028650337494,19.0407992298492,9.60575304750684,1071.36474077043
"Duinzigt",76,63.2394281242014,7.40170086052798,0.865010901960722,20.7564222015817,207.96531466411,121.117540887471,562.344351842304,14.9590226794659,21.5917970733419,8.93602072397868,1029.17660995894
"Duttendel",74,60.5669931507962,7.56196859640623,0.828010664150233,20.212902824219,211.838555009064,121.957729128674,569.750829160549,14.3986386528419,21.2390789922829,9.22738626567105,1037.58209244465
"Erasmus Veld",101,54.0247875608908,8.25638935479636,0.768781172697912,18.12801426764,214.703492636657,120.048103867723,599.091632108148,13.3659359139397,19.6695937749276,9.42401059027966,1057.4807412477
