"id","long","lat","order","hole","piece","group","Name","ClothConsumption"
"10",79494.112,454216.434,4037,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79444.897,454195.69,4038,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79437.543,454193.002,4039,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79414.776,454184.623,4040,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",80115.843,454790.688,4000,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79176.157,454537.488,4119,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79708.426,454904.859,3974,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79707.681,454908.467,3975,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79176.288,454539.543,4122,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79176.317,454540.006,4123,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79176.761,454540.03,4124,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79176.789,454540.716,4125,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79163.099,454566.695,4126,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79691.879,454892.22,3966,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79692.667,454891.092,3967,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79698.431,454883.757,3968,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79704.127,454875.873,3969,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79706.858,454875.332,3970,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79187.291,454520.167,4091,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79176.384,454537.455,4120,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79176.607,454539.51,4121,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79180.041,454528.57,4094,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79786.092,454964.518,3976,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79299.297,454310.272,4057,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79352.102,454727.092,3940,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
