"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2010","United Kingdom","Current prices, million euro","Total","1 136 464.8",""
"2010","United Kingdom","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","17 104.6",""
"2010","Iceland","Current prices, million euro","Total","5 100.7",""
"2010","Iceland","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","61.2",""
"2010","Norway","Current prices, million euro","Total","125 448.4",""
"2010","Norway","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","2 903.6",""
"2010","Switzerland","Current prices, million euro","Total","230 350.2",""
"2010","Switzerland","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings",":","c"
"2010","Montenegro","Current prices, million euro","Total","3 074.4",""
"2010","Montenegro","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings",":","c"
"2010","North Macedonia","Current prices, million euro","Total","5 256.4",""
"2010","North Macedonia","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","35.4",""
"2010","Albania","Current prices, million euro","Total","7 292.2",""
"2010","Albania","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings",":",""
"2010","Serbia","Current prices, million euro","Total","23 369.7",""
"2010","Serbia","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","249.0",""
"2010","Turkey","Current prices, million euro","Total","379 728.9",""
"2010","Turkey","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings",":","c"
"2010","Bosnia and Herzegovina","Current prices, million euro","Total","11 210.1",""
"2010","Bosnia and Herzegovina","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings",":",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Total","3 972.8",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","63.5",""
"2011","European Union - 27 countries (from 2020)","Current prices, million euro","Total","6 185 437.5",""
"2011","European Union - 27 countries (from 2020)","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","121 036.8",""
"2011","European Union - 28 countries (2013-2020)","Current prices, million euro","Total","7 353 582.9",""
"2011","European Union - 28 countries (2013-2020)","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","139 412.6",""
"2011","European Union - 15 countries (1995-2004)","Current prices, million euro","Total","6 723 261.1",""
"2011","European Union - 15 countries (1995-2004)","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","130 895.5",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Total","5 342 586.7",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","108 095.5",""
"2011","Euro area - 19 countries  (from 2015)","Current prices, million euro","Total","5 374 382.0",""
"2011","Euro area - 19 countries  (from 2015)","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","108 516.6",""
"2011","Euro area - 12 countries (2001-2006)","Current prices, million euro","Total","5 254 555.8",""
"2011","Euro area - 12 countries (2001-2006)","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","106 658.4",""
"2011","Belgium","Current prices, million euro","Total","186 615.3",""
"2011","Belgium","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","3 933.5",""
"2011","Bulgaria","Current prices, million euro","Total","27 537.0",""
"2011","Bulgaria","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","565.3",""
"2011","Czechia","Current prices, million euro","Total","82 998.5",""
"2011","Czechia","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","1 666.6",""
"2011","Denmark","Current prices, million euro","Total","114 906.9",""
"2011","Denmark","Current prices, million euro","Furniture and furnishings, carpets and other floor coverings","2 173.1",""
