TIME,GEO,"Double bed frame, pressboard (1 piece)",Sofa set (1 set),Kitchen table (1 piece) ,Pocket spring mattress (1 piece) ,Wardrobe (1 piece) ,Armchair (1 piece) 
2011,Latvia,397.2100916,858.6940052,120.8432984,221.5850654,168.4421073,152.9505202
2011,Lithuania,228.77,827.28,89.66,184.91,151.2,150.06
2011,Luxembourg,526.6820157,1138.588115,160.2325654,293.8114398,223.3463613,202.8052408
2011,Hungary,309.2668979,668.5772513,94.08832461,172.5256414,131.1486518,119.0869364
2011,Malta,365.58,1 058.89,269.79,160.33,302.89,185.97
2011,Netherlands,390.04,1 508.44,148.4901047,272.2798037,430.08,370.38
2011,Austria,504.207644,1090.002723,153.3951832,281.2740314,213.8158115,194.1512139
2011,Poland,289.723966,524.38,76.29,161.6235471,122.8612173,127.31
2011,Portugal,479.7789791,1037.192513,145.9632461,267.6464136,203.4565183,184.7446628
2011,Romania,320.0155105,607.85,62.29,178.5217932,152.78,126.46
2011,Slovenia,410.98,921.0100524,233.7,231.22,180.6660733,164.0502505
2011,Slovakia,287.46,783.49,114.94,213.33,145.77,167.95
2011,Finland,516.9105497,1117.464031,157.2597906,288.3603927,219.202644,199.0426204
2011,Sweden,536.4534817,1159.712199,163.2053403,299.2624869,227.4900785,206.5678613
2011,United Kingdom,545.7363743,1179.780079,166.0294764,304.4409817,231.4266099,210.1423507
2011,Iceland,540.8506414,1169.218037,164.543089,301.7154581,229.3547513,208.2610405
2011,Norway,545.7363743,1179.780079,166.0294764,304.4409817,231.4266099,210.1423507
2011,Switzerland,513.9791099,1111.126806,156.3679581,286.7250785,217.9595288,197.9138343
2011,Montenegro,302.4268717,653.7903927,92.0073822,168.7099084,128.2480497,116.4531021
2011,North Macedonia,287.2810995,621.0480628,87.39958115,160.2607853,121.825288,110.6210405
2011,Albania,339.5584424,734.061911,103.3039267,189.4238874,143.9941754,130.7510597
2011,Serbia,339.5584424,734.061911,103.3039267,189.4238874,143.9941754,130.7510597
2011,Turkey,204.48,1 360.55,89.92643979,126.2,125.3474476,113.8192678
2011,Bosnia and Herzegovina,275.5553403,595.6991623,83.83225131,153.7195288,116.8528272,106.105896
2011,Kosovo (under United Nations Security Council Resolution 1244/99),488.5732984,1056.204188,148.6387435,272.552356,207.1858639,188.1310212
2012,European Union - 27 countries (from 2020),493.9589359,1067.84693,150.2772169,275.5567531,209.4697135,187.1754941
